dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,3,21,2,3,2,8,1,7,18,10,105,11,1
2015-07-01,0,0,0,0,0,0,0,0,2,0,16,2,0
2015-08-01,2,28,1,2,0,3,1,1,16,10,103,3,1
2015-09-01,5,34,3,3,1,2,0,2,13,7,106,16,4
2015-10-01,5,66,2,3,2,27,2,9,40,20,206,18,3
2015-11-01,2,38,0,2,0,43,37,15,45,53,16,12,2
2015-12-01,2,10,0,2,0,15,19,4,20,25,27,10,1
2016-01-01,3,7,1,2,0,11,2,3,12,6,14,4,2
2016-02-01,2,13,0,2,0,33,32,7,33,40,5,13,1
2016-03-01,2,7,0,2,0,12,2,2,12,4,0,14,2
2016-04-01,2,8,0,2,0,29,9,4,31,14,17,8,0
2016-05-01,0,0,0,0,0,36,25,0,36,25,0,1,0
2016-06-01,2,2,1,1,0,20,37,1,21,38,18,7,3
2016-07-01,0,0,0,0,0,35,36,0,35,36,0,4,0
2016-08-01,0,0,0,0,0,27,1,0,27,1,0,1,0
2016-09-01,0,0,0,0,0,40,0,0,40,0,0,0,0
2016-10-01,1,4,0,1,0,23,85,2,26,90,20,1,2
2016-11-01,0,0,0,0,0,43,35,0,43,35,0,4,1
2016-12-01,2,2,0,2,0,20,40,1,20,42,15,2,0
2017-01-01,0,0,0,0,0,15,0,0,15,0,0,0,1
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,3,2
2017-03-01,0,0,0,0,0,0,0,0,1,2,4,3,0
2017-04-01,0,0,0,0,0,1,0,0,1,0,0,8,3
2017-05-01,0,0,0,0,0,0,0,0,1,0,32,0,0
2017-06-01,0,0,0,0,0,1,0,0,1,0,7,2,2
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,5,1
2017-10-01,0,0,0,0,0,0,0,0,1,0,1,0,0
2017-11-01,2,3,2,2,1,4,19,3,4,25,71,3,0
2017-12-01,3,140,1,1,0,37,6,33,59,71,482,19,4
2018-01-01,5,26,2,3,1,16,0,17,35,27,307,35,8
2018-02-01,1,1,0,1,0,1,0,1,2,2,44,18,5
2018-03-01,2,28,1,2,1,11,2,10,24,22,148,43,7
2018-04-01,1,7,0,1,0,1,0,1,6,3,36,46,5
2018-05-01,0,0,0,0,0,0,0,0,1,0,2,31,2
2018-06-01,0,0,0,0,0,0,0,0,2,0,8,23,4
2018-07-01,0,0,0,0,0,1,0,0,4,0,11,13,6
2018-08-01,2,8,0,1,0,3,0,3,9,7,38,25,5
2018-09-01,1,3,0,1,0,2,0,2,6,4,68,42,4
2018-10-01,1,1,1,1,1,1,0,1,12,4,66,26,7
2018-11-01,4,22,1,4,1,19,2,15,50,68,323,28,4
2018-12-01,4,27,2,3,0,28,3,23,52,37,272,25,2
2019-01-01,3,30,0,2,0,18,0,19,34,36,217,40,5
2019-02-01,4,33,0,3,0,23,1,24,38,39,131,16,1
2019-03-01,4,48,1,2,0,23,2,22,39,42,237,45,2
2019-04-01,2,28,0,2,0,18,0,17,29,32,176,42,4
2019-05-01,2,27,0,2,0,15,2,13,24,23,78,124,15
2019-06-01,2,17,0,2,0,5,0,6,20,16,176,66,11
2019-07-01,1,30,0,1,0,24,1,22,35,35,131,58,9
2019-08-01,3,42,1,2,0,39,3,35,62,53,140,76,9
2019-09-01,3,81,0,3,0,61,2,58,91,99,263,65,6
2019-10-01,4,53,2,3,1,45,6,39,66,57,144,74,12
2019-11-01,2,46,0,2,0,32,1,32,45,48,169,83,8
2019-12-01,3,10,0,3,0,24,9,8,34,18,64,56,9
2020-01-01,3,9,1,3,1,20,14,2,28,18,73,73,9
2020-02-01,3,7,1,3,1,15,6,5,30,15,98,62,5
2020-03-01,4,11,1,4,1,15,12,4,20,22,85,66,8
2020-04-01,6,81,2,4,0,66,18,62,82,119,400,130,13
2020-05-01,3,10,0,3,0,26,13,4,52,29,166,83,14
2020-06-01,3,4,1,3,0,17,12,4,29,19,96,96,13
2020-07-01,3,8,0,3,0,21,19,3,34,33,152,89,22
2020-08-01,3,3,2,3,0,15,11,2,24,23,73,82,18
