dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,12,74,3,6,2,4,0,3,5,4,31,1,3
2015-05-01,8,62,0,4,0,20,2,17,35,28,243,14,5
2015-06-01,6,57,1,4,0,23,4,16,30,21,209,0,8
2015-07-01,6,82,0,4,0,34,6,28,46,39,286,2,2
2015-08-01,12,64,6,7,3,19,1,19,37,26,282,10,7
2015-09-01,4,12,1,3,1,5,3,2,13,9,74,15,6
2015-10-01,6,99,1,3,1,38,5,32,55,59,422,24,10
2015-11-01,7,55,1,3,1,22,2,19,37,26,219,33,9
2015-12-01,6,63,2,4,1,13,1,14,19,18,181,19,7
2016-01-01,11,186,6,8,4,47,4,43,64,68,686,23,9
2016-02-01,6,89,0,4,0,33,4,30,56,58,351,20,6
2016-03-01,8,128,2,5,1,35,4,26,50,44,312,29,8
2016-04-01,13,198,2,9,0,68,11,62,103,90,595,35,9
2016-05-01,12,76,1,6,0,30,0,27,70,49,495,19,8
2016-06-01,4,59,0,2,0,13,2,12,35,36,296,42,6
2016-07-01,5,78,0,5,0,15,1,16,38,36,375,35,8
2016-08-01,9,41,3,5,1,20,2,11,55,30,384,19,7
2016-09-01,8,95,3,5,1,36,1,34,56,56,349,27,11
2016-10-01,13,145,5,8,2,44,6,46,63,66,479,26,5
2016-11-01,6,100,0,4,0,37,3,32,55,72,415,25,5
2016-12-01,10,153,4,7,3,54,2,52,75,85,410,22,11
2017-01-01,4,70,0,4,0,31,1,27,69,59,444,22,9
2017-02-01,7,171,1,4,0,64,2,61,109,112,758,29,9
2017-03-01,9,126,5,5,2,23,1,21,71,38,560,33,14
2017-04-01,8,196,2,5,2,46,1,45,81,94,758,20,12
2017-05-01,11,249,7,8,4,47,2,42,73,79,671,25,14
2017-06-01,7,219,1,4,0,35,4,34,71,69,537,23,5
2017-07-01,8,207,0,4,0,49,2,52,84,92,503,24,9
2017-08-01,9,285,2,6,2,73,2,63,135,105,1072,26,10
2017-09-01,8,48,3,6,2,13,1,14,41,40,548,30,5
2017-10-01,7,63,2,6,0,25,3,20,56,53,552,29,9
2017-11-01,14,95,7,8,3,26,3,24,57,41,527,21,13
2017-12-01,3,47,0,3,0,15,0,13,45,27,299,20,6
2018-01-01,9,42,4,6,2,17,2,10,57,31,394,25,11
2018-02-01,8,40,3,4,0,14,2,10,42,23,244,29,12
2018-03-01,12,121,5,7,2,33,5,35,54,76,674,37,11
2018-04-01,5,23,1,4,1,5,0,6,21,13,226,27,15
2018-05-01,6,7,3,2,1,5,0,1,28,9,196,35,11
2018-06-01,3,7,2,2,0,6,1,3,18,7,83,34,7
2018-07-01,8,66,2,3,0,20,2,20,49,40,323,39,9
2018-08-01,13,49,6,5,1,20,0,18,37,26,191,52,24
2018-09-01,9,37,1,4,0,13,1,8,36,18,238,32,2
2018-10-01,8,20,3,4,1,7,1,3,25,13,148,38,8
2018-11-01,7,15,3,2,1,9,3,4,22,10,129,29,12
2018-12-01,0,0,0,0,0,3,0,0,11,1,56,35,7
2019-01-01,1,2,1,1,0,1,0,0,18,2,66,28,14
2019-02-01,5,22,2,5,2,7,1,3,22,8,79,50,13
2019-03-01,6,64,3,3,0,9,1,1,24,5,59,38,15
2019-04-01,9,49,3,5,1,12,1,20,46,42,471,51,14
2019-05-01,8,21,1,5,1,6,0,6,26,16,164,38,18
2019-06-01,8,95,2,3,0,20,4,19,45,38,330,35,10
2019-07-01,9,39,3,4,1,13,1,12,53,30,347,66,18
2019-08-01,7,10,1,4,1,8,1,2,23,9,105,38,16
2019-09-01,2,5,2,2,0,3,0,0,23,10,166,31,13
2019-10-01,9,43,3,4,0,12,0,7,28,13,153,35,12
2019-11-01,7,24,3,4,0,11,0,5,36,14,194,46,12
2019-12-01,4,20,1,4,1,4,5,3,20,12,111,40,12
2020-01-01,14,301,2,7,2,74,13,70,112,138,1000,37,14
2020-02-01,12,61,6,5,1,11,1,10,36,39,357,34,13
2020-03-01,9,52,2,4,0,16,3,13,36,47,356,48,15
2020-04-01,3,3,2,3,1,2,2,0,20,7,123,54,16
2020-05-01,6,16,0,3,0,18,3,10,97,35,331,121,44
