dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,1,3,1,1,1,3,2,1,5,6,17,182,11
2016-06-01,1,118,0,1,0,2,1,0,2,1,14,2442,69
2016-07-01,1,114,0,1,0,4,5,0,4,5,10,489,29
2016-08-01,1,15,0,1,0,3,2,0,3,2,10,343,35
2016-09-01,2,48,1,2,1,0,1,0,0,1,0,269,20
2016-10-01,1,61,0,1,0,4,4,0,14,14,24,441,49
2016-11-01,1,9,0,1,0,0,0,0,1,0,1,158,17
2016-12-01,1,21,0,1,0,1,1,0,1,2,1,193,22
2017-01-01,1,39,0,1,0,2,1,0,2,1,11,261,21
2017-02-01,1,84,0,1,0,3,2,2,3,4,7,207,15
2017-03-01,1,56,0,1,0,2,1,0,2,1,3,272,33
2017-04-01,3,3,2,2,1,0,1,0,2,2,1,179,24
2017-05-01,2,3,1,2,1,0,0,0,3,2,9,177,20
2017-06-01,2,36,1,2,0,4,1,1,4,4,13,170,161
2017-07-01,4,45,3,3,1,7,3,3,20,14,115,166,59
2017-08-01,6,86,3,3,1,6,4,5,29,37,199,289,28
2017-09-01,6,30,4,4,2,5,2,3,28,25,114,246,30
2017-10-01,6,68,4,4,1,10,3,7,23,25,116,267,20
2017-11-01,6,72,5,4,2,9,2,7,22,20,108,304,32
2017-12-01,5,104,3,3,1,7,1,5,23,22,108,330,30
2018-01-01,6,63,5,4,1,13,0,14,29,28,100,367,33
2018-02-01,6,38,2,3,0,7,0,7,18,22,94,310,28
2018-03-01,7,56,3,4,1,13,2,10,34,33,146,380,34
2018-04-01,6,26,3,4,0,8,3,5,22,18,78,368,38
2018-05-01,6,23,5,4,1,6,1,6,23,26,134,350,40
2018-06-01,1,8,0,1,0,1,0,0,9,5,39,340,45
2018-07-01,2,10,1,2,0,1,0,1,11,12,91,359,30
2018-08-01,3,38,1,3,0,4,2,3,21,17,118,455,44
2018-09-01,4,24,3,3,1,3,0,3,10,7,51,374,43
2018-10-01,5,36,4,4,2,9,5,3,25,23,112,421,40
2018-11-01,4,26,3,4,2,4,0,3,23,19,127,477,52
2018-12-01,3,7,2,3,1,2,0,3,17,18,84,403,42
2019-01-01,1,13,0,1,0,2,0,0,16,12,136,317,49
2019-02-01,1,16,0,1,0,5,4,0,27,12,142,268,29
2019-03-01,1,2,0,1,0,0,0,0,22,9,57,411,51
2019-04-01,2,8,1,2,0,2,1,1,18,19,83,394,43
2019-05-01,1,6,0,1,0,1,0,1,15,13,41,343,56
2019-06-01,3,33,2,3,2,2,1,1,24,22,125,347,42
2019-07-01,3,59,2,3,0,7,6,3,24,63,278,401,67
2019-08-01,4,48,3,3,1,6,2,5,31,39,233,455,52
2019-09-01,5,38,4,4,1,4,0,3,18,15,85,298,47
2019-10-01,2,27,0,1,0,1,0,2,17,19,83,288,47
2019-11-01,2,24,1,2,0,1,0,1,8,9,47,348,48
2019-12-01,4,20,3,3,1,2,1,2,19,20,124,367,51
2020-01-01,5,20,4,4,1,6,1,5,19,17,64,219,28
2020-02-01,1,20,0,1,0,1,1,0,14,15,126,234,35
2020-03-01,3,19,1,3,0,3,1,2,21,14,80,265,30
2020-04-01,3,45,2,3,1,2,0,2,17,17,128,283,42
2020-05-01,1,51,0,1,0,1,0,0,27,22,190,219,37
2020-06-01,3,51,1,3,0,2,0,2,16,16,136,253,35
2020-07-01,3,51,1,3,1,2,0,2,24,18,180,270,35
2020-08-01,2,89,1,2,0,1,1,1,39,47,509,243,32
