dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,2,107,1,2,1,20,0,19,55,31,426,2,0
2016-12-01,4,156,2,4,2,134,3,132,338,249,1742,15,0
2017-01-01,2,35,0,2,0,27,1,25,78,39,739,80,0
2017-02-01,3,56,2,3,2,46,0,46,98,63,557,20,1
2017-03-01,2,9,0,2,0,9,0,8,17,12,48,2,0
2017-04-01,1,2,0,1,0,1,0,2,1,2,1,4,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-09-01,1,1,0,1,0,1,0,1,2,1,8,4,0
2017-10-01,1,1,0,1,0,1,0,1,3,1,5,0,1
2017-11-01,0,0,0,0,0,0,0,0,1,2,23,3,1
2017-12-01,1,6,0,1,0,4,0,4,10,7,50,3,1
2018-01-01,1,10,0,1,0,4,0,3,42,7,452,2,0
2018-02-01,1,49,0,1,0,24,0,25,46,39,576,9,1
2018-03-01,4,46,2,4,2,32,1,31,88,59,815,2,0
2018-04-01,3,67,0,3,0,19,0,19,73,30,712,7,0
2018-05-01,3,51,0,3,0,24,0,23,88,40,1054,0,0
2018-06-01,5,86,1,5,0,43,0,43,104,90,1184,3,1
2018-07-01,5,73,2,5,2,33,1,29,79,71,688,6,2
2018-08-01,3,64,0,3,0,38,0,35,70,63,677,5,0
2018-09-01,4,59,2,4,0,31,0,30,84,70,929,6,2
2018-10-01,5,83,1,5,1,49,1,50,97,87,1246,171,17
2018-11-01,3,51,1,3,1,33,2,32,56,55,699,11,0
2018-12-01,2,38,0,2,0,28,1,28,32,49,387,9,0
2019-01-01,5,63,3,4,1,39,1,38,63,82,1158,9,2
2019-02-01,2,31,0,2,0,17,0,16,29,28,374,8,1
2019-03-01,4,18,1,4,1,13,0,12,27,19,241,8,3
2019-04-01,3,16,2,3,1,7,0,7,16,11,144,13,2
2019-05-01,4,11,3,4,2,9,0,10,17,22,201,13,1
2019-06-01,2,62,0,2,0,19,1,18,23,26,312,6,2
2019-07-01,3,14,1,3,1,8,1,6,32,8,350,2,0
2019-08-01,2,23,0,2,0,15,0,16,50,38,406,3,1
2019-09-01,3,15,1,3,0,7,0,7,23,17,197,6,1
2019-10-01,1,6,0,1,0,4,0,3,13,8,269,5,1
2019-11-01,1,9,0,1,0,4,0,4,16,10,159,2,1
2019-12-01,3,4,2,2,0,4,0,5,8,8,49,7,0
2020-01-01,3,14,2,3,1,9,0,9,33,11,162,3,2
2020-02-01,2,11,1,2,0,4,0,4,17,13,155,8,1
2020-03-01,1,19,0,1,0,10,1,11,25,18,135,4,3
2020-04-01,1,22,0,1,0,11,0,10,25,10,191,8,2
2020-05-01,4,19,3,3,0,10,2,7,15,12,155,6,2
2020-06-01,1,12,0,1,0,5,0,6,7,6,33,6,0
2020-07-01,1,1,0,1,0,1,0,1,8,1,16,4,0
2020-08-01,3,26,1,3,1,13,0,13,30,18,145,8,0
