dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,1,2,0,1,0,0,0,0,479,448,3933,0,0
2015-07-01,2,56,1,2,1,1,0,0,8,8,37,34,7
2015-08-01,1,19,0,1,0,0,0,1,4,5,23,27,7
2015-09-01,1,23,0,1,0,2,2,0,10,10,62,55,19
2015-10-01,2,20,1,2,1,2,0,2,6,6,28,33,8
2015-11-01,1,8,0,1,0,0,0,0,9,6,29,30,11
2015-12-01,2,10,1,2,1,2,1,1,9,9,45,33,10
2016-01-01,1,25,0,1,0,0,0,0,4,5,26,29,12
2016-02-01,1,8,0,1,0,0,0,0,4,3,21,26,2
2016-03-01,1,3,0,1,0,0,0,0,7,6,46,39,6
2016-04-01,2,11,1,2,1,3,1,1,10,8,49,27,10
2016-05-01,0,0,0,0,0,0,1,0,3,6,42,41,13
2016-06-01,2,10,1,2,0,2,1,1,4,2,25,53,19
2016-07-01,0,0,0,0,0,2,1,0,7,5,40,26,14
2016-08-01,1,8,0,1,0,1,1,0,5,5,34,23,14
2016-09-01,1,9,0,1,0,1,1,0,10,7,66,58,13
2016-10-01,1,15,0,1,0,0,1,0,2,4,12,38,13
2016-11-01,1,1,0,1,0,0,0,0,7,4,38,25,13
2016-12-01,5,12,4,4,2,4,1,2,12,12,69,29,9
2017-01-01,3,47,1,3,1,1,0,1,7,5,45,35,15
2017-02-01,1,19,0,1,0,2,1,2,6,8,65,34,6
2017-03-01,2,69,1,2,1,2,1,1,8,10,61,56,19
2017-04-01,1,56,0,1,0,0,0,0,7,7,56,25,8
2017-05-01,2,75,1,2,0,2,0,2,6,7,51,53,11
2017-06-01,2,44,1,2,0,1,0,1,8,7,45,21,8
2017-07-01,1,25,0,1,0,1,1,0,12,11,63,48,15
2017-08-01,1,26,0,1,0,0,0,0,12,8,88,47,12
2017-09-01,2,6,1,2,0,1,0,1,17,9,65,45,10
2017-10-01,2,27,0,2,0,1,0,1,8,12,50,67,15
2017-11-01,1,12,0,1,0,0,0,0,9,14,93,44,10
2017-12-01,2,14,1,2,0,6,2,1,16,13,66,36,7
2018-01-01,2,6,1,2,0,0,1,1,7,7,36,37,8
2018-02-01,1,6,0,1,0,0,0,0,10,8,52,40,13
2018-03-01,1,3,0,1,0,0,0,0,5,11,51,23,8
2018-04-01,1,7,0,1,0,0,0,0,5,3,29,69,9
2018-05-01,1,13,0,1,0,0,1,0,2,9,32,39,10
2018-06-01,1,29,0,1,0,1,1,0,9,3,34,65,16
2018-07-01,1,11,0,1,0,0,0,0,9,12,65,29,9
2018-08-01,1,1,0,1,0,1,1,0,10,11,73,30,8
2018-09-01,1,7,0,1,0,0,0,0,6,5,19,53,9
2018-10-01,1,5,0,1,0,0,0,0,9,7,50,24,3
2018-11-01,1,2,0,1,0,0,0,0,10,9,49,35,14
2018-12-01,1,27,0,1,0,0,0,0,4,8,52,41,11
2019-01-01,2,15,1,2,0,1,0,1,4,4,20,41,13
2019-02-01,3,10,2,3,1,2,0,2,11,10,56,19,4
2019-03-01,2,3,1,2,0,1,0,1,4,5,18,26,9
2019-04-01,2,17,1,2,0,1,0,1,9,8,38,40,12
2019-05-01,1,31,0,1,0,1,0,0,5,5,74,39,7
2019-06-01,2,6,1,2,0,1,0,1,5,5,22,31,7
2019-07-01,1,54,0,1,0,1,0,0,7,6,25,39,15
2019-08-01,2,9,1,2,1,0,1,0,6,6,33,25,8
2019-09-01,1,4,0,1,0,1,0,0,6,6,46,24,10
2019-10-01,3,15,0,3,0,3,0,1,7,3,16,31,10
2019-11-01,2,11,1,2,0,1,0,1,6,6,48,101,20
2019-12-01,2,28,0,2,0,3,1,1,10,10,50,38,11
2020-01-01,1,11,0,1,0,1,1,0,3,5,11,21,8
2020-02-01,1,5,0,1,0,0,0,0,8,6,36,18,8
2020-03-01,1,17,0,1,0,1,2,1,8,11,49,24,12
2020-04-01,1,27,0,1,0,1,1,0,5,3,18,27,6
2020-05-01,1,14,0,1,0,0,0,0,8,7,35,26,3
2020-06-01,1,6,0,1,0,1,1,0,6,9,47,26,4
2020-07-01,1,19,0,1,0,4,3,0,12,6,37,17,7
2020-08-01,1,1,0,1,0,1,0,0,3,5,31,20,7
