dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,2,59,1,2,1,0,0,0,12,5,12,2,0
2015-12-01,2,34,1,1,0,1,0,1,12,4,27,93,12
2016-01-01,2,60,0,1,0,3,0,3,20,19,104,22,1
2016-02-01,2,54,0,1,0,6,3,3,39,24,184,16,1
2016-03-01,2,62,0,1,0,1,0,1,24,19,187,22,0
2016-04-01,1,82,0,1,0,0,0,0,8,8,63,13,1
2016-05-01,3,65,1,1,0,1,0,1,12,18,183,18,2
2016-06-01,2,27,1,2,1,1,0,1,10,2,51,12,2
2016-07-01,3,16,0,2,0,1,0,0,16,6,113,13,1
2016-08-01,2,6,0,2,0,0,0,0,1,2,4,17,1
2016-09-01,3,34,0,2,0,0,0,1,7,7,78,17,3
2016-10-01,2,33,0,1,0,1,1,0,16,24,86,21,0
2016-11-01,2,27,0,1,0,0,0,0,15,12,77,16,0
2016-12-01,2,73,0,1,0,2,0,2,10,20,94,13,0
2017-01-01,2,87,0,1,0,0,0,0,11,8,97,23,3
2017-02-01,2,59,0,1,0,0,0,0,10,5,62,24,1
2017-03-01,3,37,1,1,0,2,1,0,12,6,71,22,2
2017-04-01,3,55,1,2,1,2,0,3,30,23,122,25,5
2017-05-01,1,54,0,1,0,0,0,0,24,17,124,20,3
2017-06-01,2,36,0,1,0,0,0,0,25,17,69,14,1
2017-07-01,3,68,2,2,1,2,0,2,12,36,141,20,6
2017-08-01,3,55,1,2,1,2,1,1,30,26,167,11,2
2017-09-01,2,14,1,2,1,0,0,0,23,11,86,20,3
2017-10-01,4,20,1,3,1,1,0,1,15,13,89,15,1
2017-11-01,6,26,4,6,4,4,1,2,16,10,99,27,6
2017-12-01,0,0,0,0,0,0,0,0,5,1,24,11,0
2018-01-01,0,0,0,0,0,0,0,0,1,0,2,14,3
2018-02-01,2,10,1,1,0,1,0,0,5,1,26,15,3
2018-03-01,2,4,0,1,0,0,0,0,3,0,2,15,5
2018-04-01,1,3,0,1,0,0,0,0,6,1,53,9,4
2018-05-01,3,45,2,3,2,3,0,5,7,23,117,12,1
2018-06-01,1,6,0,1,0,0,0,0,6,1,29,25,1
2018-07-01,3,24,2,2,1,9,1,6,26,18,74,16,5
2018-08-01,1,7,0,1,0,0,0,0,3,2,3,9,1
2018-09-01,1,2,0,1,0,0,0,0,8,2,22,10,4
2018-10-01,4,25,2,3,2,4,0,3,18,9,93,17,2
2018-11-01,2,5,1,2,1,1,0,2,10,6,39,16,3
2018-12-01,1,1,0,1,0,0,0,0,1,0,8,7,3
2019-01-01,1,1,0,1,0,0,0,0,4,1,26,14,4
2019-02-01,2,2,0,2,0,1,0,1,2,3,15,10,2
2019-03-01,1,10,0,1,0,0,0,0,2,6,65,33,2
2019-04-01,1,3,0,1,0,0,0,0,4,3,12,51,6
2019-05-01,1,1,0,1,0,0,0,0,1,1,2,17,4
2019-06-01,4,12,2,4,2,0,0,0,6,3,17,23,3
2019-07-01,2,5,0,2,0,0,0,0,7,8,27,19,2
2019-08-01,1,7,0,1,0,0,0,0,0,1,4,5,0
2019-09-01,2,9,0,2,0,0,0,0,4,3,11,16,2
2019-10-01,3,14,1,3,1,0,0,0,9,20,120,12,1
2019-11-01,0,0,0,0,0,0,0,0,3,4,15,15,3
2019-12-01,1,2,0,1,0,0,0,0,2,7,22,6,0
2020-01-01,1,23,0,1,0,0,1,0,6,7,62,12,1
2020-02-01,1,47,0,1,0,0,0,0,3,0,16,20,1
2020-03-01,2,12,0,2,0,0,0,0,2,1,5,11,0
2020-04-01,3,30,0,2,0,0,1,0,18,18,109,12,1
2020-05-01,1,5,0,1,0,0,0,0,7,8,59,15,2
2020-06-01,2,27,0,1,0,0,0,0,6,2,14,9,5
2020-07-01,4,31,2,2,1,0,0,0,18,9,58,27,4
