dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-01-01,8,201,7,4,3,12,6,6,43,37,440,702,28
2017-02-01,1,68,0,1,0,0,0,0,11,10,146,37,1
2017-03-01,1,6,0,1,0,0,0,0,5,5,12,32,1
2017-04-01,3,13,2,2,0,2,0,2,13,11,127,21,2
2017-05-01,1,41,0,1,0,0,0,0,10,12,111,28,0
2017-06-01,2,17,1,2,0,1,0,1,8,7,62,35,1
2017-07-01,1,11,0,1,0,0,0,0,8,8,116,43,1
2017-08-01,2,99,1,2,0,1,0,1,21,22,184,61,2
2017-09-01,1,295,0,1,0,0,0,0,14,14,184,55,2
2017-10-01,3,183,2,3,1,4,2,2,26,25,365,63,6
2017-11-01,2,305,1,2,1,4,2,2,46,46,671,242,11
2017-12-01,3,130,2,2,0,3,0,2,53,53,657,135,7
2018-01-01,5,125,4,4,2,5,3,2,41,40,356,286,3
2018-02-01,4,137,3,4,2,5,4,2,52,52,506,276,14
2018-03-01,8,137,7,8,6,12,3,9,76,75,691,253,15
2018-04-01,7,150,4,5,2,12,2,10,81,76,614,377,15
2018-05-01,3,280,2,2,0,3,1,2,81,83,699,375,13
2018-06-01,9,267,8,8,6,20,7,12,105,107,903,166,10
2018-07-01,3,160,1,3,1,4,3,2,86,86,1009,221,5
2018-08-01,3,79,1,3,0,7,3,3,66,67,688,186,9
2018-09-01,13,182,10,12,6,24,6,16,194,183,1810,1155,32
2018-10-01,5,86,2,5,1,13,7,8,69,72,738,224,10
2018-11-01,8,71,3,8,2,23,6,15,79,80,648,221,8
2018-12-01,8,91,6,6,2,20,4,16,93,91,702,190,13
2019-01-01,6,119,2,6,2,14,2,10,69,66,575,217,13
2019-02-01,5,136,1,5,0,21,8,15,78,83,522,258,13
2019-03-01,3,80,1,3,1,16,8,7,85,80,762,228,11
2019-04-01,7,60,4,5,2,14,3,10,66,65,563,219,12
2019-05-01,4,83,2,4,2,21,7,13,88,84,682,235,6
2019-06-01,3,154,1,3,1,38,7,32,99,102,775,165,6
2019-07-01,6,157,3,6,2,37,5,28,106,103,601,200,10
2019-08-01,4,59,2,4,2,21,2,18,68,67,460,306,11
2019-09-01,7,80,1,7,0,17,1,18,74,75,692,148,8
2019-10-01,7,94,4,7,3,34,2,30,93,85,631,224,21
2019-11-01,8,122,5,7,2,27,2,24,71,69,408,189,22
2019-12-01,4,79,1,4,0,29,4,25,59,61,314,152,15
2020-01-01,6,167,3,6,3,28,6,25,90,92,889,197,11
2020-02-01,8,134,5,7,3,14,2,12,76,73,372,194,17
2020-03-01,4,162,1,4,0,8,3,5,97,94,591,214,15
2020-04-01,10,93,6,8,3,17,1,13,110,113,740,223,11
2020-05-01,12,119,7,7,2,26,2,23,101,102,739,208,7
2020-06-01,3,116,0,3,0,24,3,22,107,109,756,166,13
2020-07-01,7,108,3,5,1,23,3,19,71,71,306,180,17
2020-08-01,6,74,4,4,2,7,2,5,55,58,381,173,12
