dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,15,167,15,7,7,45,22,23,172,145,1373,4477,264
2016-01-01,4,120,2,4,1,1,1,0,37,52,323,448,26
2016-02-01,5,72,3,5,2,7,2,4,44,38,204,181,16
2016-03-01,6,112,4,4,0,13,2,12,36,39,191,178,20
2016-04-01,4,27,2,4,1,5,1,2,29,22,256,223,21
2016-05-01,5,50,2,4,1,9,3,5,27,27,215,197,26
2016-06-01,5,94,3,4,0,7,2,7,21,22,201,95,18
2016-07-01,1,59,0,1,0,2,0,2,19,14,138,103,9
2016-08-01,4,37,2,3,0,21,8,12,44,45,359,91,15
2016-09-01,2,36,0,2,0,13,3,10,36,36,372,95,13
2016-10-01,1,18,0,1,0,0,0,0,6,4,28,91,15
2016-11-01,2,57,0,2,0,6,1,4,16,21,107,69,11
2016-12-01,1,37,0,1,0,6,4,3,22,17,109,170,33
2017-01-01,1,42,0,1,0,3,0,1,17,22,170,139,17
2017-02-01,3,17,1,3,0,4,0,4,19,14,118,145,19
2017-03-01,2,26,1,2,0,1,0,1,17,16,112,186,37
2017-04-01,2,36,1,2,0,3,0,1,21,22,86,210,20
2017-05-01,2,20,0,2,0,5,0,4,21,12,128,167,22
2017-06-01,1,36,0,1,0,4,0,4,10,11,52,138,26
2017-07-01,0,0,0,0,0,1,1,0,13,9,46,113,16
2017-08-01,1,51,0,1,0,8,0,7,18,18,47,147,17
2017-09-01,1,2,0,1,0,2,1,0,13,7,57,119,29
2017-10-01,2,28,1,2,0,5,3,3,14,15,83,123,20
2017-11-01,2,8,1,2,0,5,1,3,13,10,29,130,23
2017-12-01,4,100,2,3,0,7,0,8,15,24,75,135,24
2018-01-01,1,24,0,1,0,1,2,0,14,5,52,142,26
2018-02-01,1,14,0,1,0,1,1,0,7,8,64,97,18
2018-03-01,1,2,0,1,0,0,0,0,7,4,48,145,28
2018-04-01,1,6,0,1,0,0,0,0,12,23,71,97,22
2018-05-01,1,1,0,1,0,2,1,0,8,3,44,116,15
2018-06-01,2,2,2,1,0,2,0,2,8,5,32,154,24
2018-07-01,0,0,0,0,0,1,0,0,12,8,60,88,19
2018-08-01,1,72,0,1,0,19,0,19,28,22,38,90,18
2018-09-01,3,28,2,3,0,10,0,9,15,13,52,91,23
2018-10-01,2,20,0,2,0,18,2,17,33,32,66,107,17
2018-11-01,2,15,0,2,0,8,0,6,15,8,14,150,11
2018-12-01,3,16,1,3,0,20,4,14,24,20,60,91,16
2019-01-01,4,9,2,3,0,16,6,8,19,15,71,99,23
2019-02-01,1,9,0,1,0,16,12,9,20,24,57,74,16
2019-03-01,2,14,0,2,0,9,2,7,19,18,69,104,29
2019-04-01,2,19,1,2,0,20,18,2,21,24,71,91,23
2019-05-01,3,7,2,3,1,18,13,2,20,18,70,102,23
2019-06-01,2,24,1,2,0,25,16,10,31,31,51,83,20
2019-07-01,3,22,1,2,0,15,5,13,18,19,28,106,17
2019-08-01,3,35,0,2,0,21,7,14,31,30,81,126,25
2019-09-01,2,18,0,2,0,13,1,11,30,18,115,94,28
2019-10-01,3,18,1,3,0,11,0,11,19,22,53,113,20
2019-11-01,2,32,0,2,0,12,0,13,17,17,30,143,24
2019-12-01,2,25,0,2,0,16,1,14,30,23,64,120,17
2020-01-01,2,6,0,2,0,6,0,4,14,9,24,111,24
2020-02-01,3,8,1,2,0,7,1,6,11,9,10,92,15
2020-03-01,3,5,1,3,1,8,0,5,14,10,18,179,29
2020-04-01,4,35,2,3,0,11,12,6,21,55,243,118,27
2020-05-01,1,7,0,1,0,0,0,0,6,7,28,121,24
2020-06-01,1,21,0,1,0,2,0,0,6,5,37,140,24
2020-07-01,1,1,0,1,0,4,2,1,11,9,49,219,51
