dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-01-01,4,56,3,2,1,6,2,3,21,16,89,54,4
2015-02-01,1,35,0,1,0,0,0,0,10,10,95,256,5
2015-03-01,3,8,2,3,2,3,0,2,9,6,29,94,5
2015-04-01,4,44,3,2,1,9,4,7,33,30,182,25,3
2015-05-01,1,16,0,1,0,0,0,0,5,8,46,24,3
2015-06-01,2,11,1,2,1,0,0,0,9,5,40,22,0
2015-07-01,1,5,0,1,0,1,0,0,2,0,14,13,2
2015-08-01,1,8,0,1,0,0,0,1,5,11,63,17,1
2015-09-01,1,5,0,1,0,1,1,0,3,2,15,17,4
2015-10-01,3,13,2,2,1,3,1,2,5,7,21,21,4
2015-11-01,1,6,0,1,0,0,0,0,6,1,29,19,0
2015-12-01,1,10,0,1,0,0,0,0,8,3,15,14,1
2016-01-01,1,20,0,1,0,0,0,0,9,8,49,13,4
2016-02-01,3,10,2,2,1,3,1,2,8,8,38,41,7
2016-03-01,3,17,2,2,1,1,0,1,6,6,16,28,4
2016-04-01,1,11,0,1,0,0,0,0,7,1,30,19,4
2016-05-01,3,18,2,1,0,3,0,2,7,14,38,21,3
2016-06-01,1,11,0,1,0,1,2,0,3,6,45,25,1
2016-07-01,2,13,1,2,1,1,0,1,4,5,31,57,4
2016-08-01,1,12,0,1,0,1,1,0,6,6,40,31,7
2016-09-01,3,35,2,2,1,3,0,1,10,4,31,29,6
2016-10-01,3,15,2,3,2,2,0,3,7,8,40,41,3
2016-11-01,2,7,1,2,1,1,0,1,4,11,36,37,2
2016-12-01,1,12,0,1,0,0,0,0,9,6,25,55,10
2017-01-01,2,6,1,2,1,1,0,1,5,3,7,38,3
2017-02-01,3,16,2,1,0,5,1,3,9,9,59,44,3
2017-03-01,5,19,4,3,2,4,3,3,9,9,42,51,13
2017-04-01,2,15,0,1,0,0,0,0,13,10,51,69,11
2017-05-01,2,12,1,1,0,1,0,1,5,5,30,59,10
2017-06-01,0,0,0,0,0,0,0,0,7,4,44,40,6
2017-07-01,5,25,3,2,1,4,1,3,11,11,55,53,8
2017-08-01,3,12,2,2,1,2,0,2,14,10,84,42,12
2017-09-01,4,9,3,2,1,3,0,3,7,5,43,40,4
2017-10-01,1,29,0,1,0,0,0,0,12,13,90,64,5
2017-11-01,3,10,1,2,1,3,0,2,12,9,56,93,10
2017-12-01,3,16,2,2,0,3,0,3,13,8,38,66,11
2018-01-01,2,14,1,1,0,1,0,0,12,6,43,68,2
2018-02-01,7,50,3,2,1,9,1,9,24,28,91,308,15
2018-03-01,7,60,6,3,2,15,3,9,28,30,134,413,22
2018-04-01,3,25,1,3,0,2,0,3,11,13,49,122,13
2018-05-01,3,24,2,1,0,2,1,2,10,13,68,76,9
2018-06-01,3,28,1,2,1,2,0,2,11,9,46,78,7
2018-07-01,6,35,5,3,2,8,0,7,14,13,40,65,8
2018-08-01,7,48,4,3,1,6,2,5,21,19,125,75,8
2018-09-01,3,22,1,2,0,4,1,2,21,12,99,115,12
2018-10-01,3,26,0,2,0,4,1,3,19,22,125,92,9
2018-11-01,3,12,1,2,1,3,0,3,21,19,128,87,6
2018-12-01,3,13,2,2,1,2,0,2,19,13,78,85,10
2019-01-01,3,55,1,1,0,12,1,11,38,28,147,103,7
2019-02-01,2,85,0,1,0,6,1,5,27,39,153,73,4
2019-03-01,7,41,5,4,3,11,4,6,34,25,202,128,15
2019-04-01,2,14,0,1,0,2,1,0,16,17,88,110,9
2019-05-01,5,32,3,4,1,4,3,4,19,19,115,82,15
2019-06-01,4,20,1,1,0,4,1,4,21,17,101,96,7
2019-07-01,2,15,1,1,0,1,0,1,22,35,186,107,14
2019-08-01,2,36,1,2,1,2,1,1,19,19,115,98,13
2019-09-01,4,48,3,2,1,3,0,3,31,26,148,89,16
2019-10-01,3,35,1,3,0,3,0,3,25,21,162,97,6
2019-11-01,2,23,1,1,0,2,0,2,24,15,126,177,11
2019-12-01,2,12,1,2,1,1,1,1,16,36,141,106,8
2020-01-01,1,14,0,1,0,1,0,0,20,15,76,82,8
2020-02-01,3,23,2,2,0,3,2,1,23,18,69,78,7
2020-03-01,1,20,0,1,0,0,0,1,21,30,180,102,10
2020-04-01,2,26,1,1,0,1,0,1,18,32,168,120,18
2020-05-01,2,26,1,2,1,2,1,1,16,15,116,126,6
2020-06-01,3,27,2,2,1,3,1,1,25,23,175,107,12
2020-07-01,3,18,2,2,0,2,0,2,15,11,55,144,11
2020-08-01,2,18,1,2,0,1,0,2,12,11,47,98,11
