dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,8,163,2,3,0,27,1,24,27,25,10,0,0
2016-11-01,11,202,3,3,0,78,2,72,78,74,10,0,0
2016-12-01,8,162,0,3,0,69,5,67,69,72,25,0,0
2017-01-01,11,158,3,4,1,34,1,34,34,35,18,2,0
2017-02-01,11,190,1,4,0,75,2,69,75,71,50,0,0
2017-03-01,14,319,2,3,0,152,27,125,152,152,117,0,0
2017-04-01,17,246,3,4,1,83,4,78,101,97,303,663,17
2017-05-01,17,176,7,4,1,71,3,67,86,81,238,423,25
2017-06-01,18,131,5,3,0,73,4,68,95,92,240,331,19
2017-07-01,8,59,1,3,0,27,0,27,45,32,164,157,12
2017-08-01,12,109,1,3,0,50,5,47,63,70,101,132,4
2017-09-01,14,136,4,5,2,64,4,57,75,74,156,145,6
2017-10-01,16,181,3,3,0,77,4,71,94,89,215,217,16
2017-11-01,18,115,5,5,2,66,6,56,100,77,286,483,29
2017-12-01,22,129,4,8,2,72,4,69,111,109,355,269,17
2018-01-01,19,86,6,4,0,51,3,47,74,75,297,147,22
2018-02-01,16,134,2,5,1,67,10,60,93,97,308,197,8
2018-03-01,16,84,4,4,1,59,5,56,85,83,314,403,22
2018-04-01,17,117,1,3,0,64,1,62,91,91,300,244,18
2018-05-01,18,59,2,4,1,54,5,46,92,84,369,169,7
2018-06-01,19,94,4,6,2,67,5,62,105,99,275,157,15
2018-07-01,16,61,3,3,0,40,1,37,90,63,310,141,15
2018-08-01,21,152,6,4,1,102,6,97,150,151,510,166,11
2018-09-01,22,156,6,4,1,125,7,116,173,162,382,196,17
2018-10-01,24,92,4,5,0,76,4,69,129,107,334,176,14
2018-11-01,15,66,2,4,1,54,7,49,102,87,499,204,15
2018-12-01,17,65,4,3,0,45,1,38,73,58,285,115,17
2019-01-01,15,83,2,5,1,53,11,46,104,93,417,124,17
2019-02-01,19,116,3,4,0,85,8,80,123,118,364,135,8
2019-03-01,20,101,6,4,1,63,5,55,103,89,228,121,20
2019-04-01,21,96,4,4,1,60,4,57,100,112,436,137,16
2019-05-01,22,101,7,4,0,55,6,46,105,92,325,84,17
2019-06-01,19,91,2,4,0,55,2,49,94,92,326,74,12
2019-07-01,21,86,3,4,0,64,6,58,97,104,360,91,18
2019-08-01,15,60,1,4,0,37,3,31,65,61,283,88,11
2019-09-01,18,83,2,4,0,73,5,72,100,102,280,71,12
2019-10-01,19,105,2,4,0,92,5,77,133,112,344,64,12
2019-11-01,19,79,0,4,0,60,8,47,99,81,281,84,16
2019-12-01,21,106,4,5,1,71,8,69,110,108,227,89,9
2020-01-01,20,95,1,5,0,46,5,37,73,69,166,81,10
2020-02-01,19,123,1,3,0,74,7,59,113,90,198,70,7
2020-03-01,26,126,9,5,2,67,23,69,118,129,335,75,17
2020-04-01,22,118,4,7,1,82,5,73,111,128,345,74,13
2020-05-01,18,62,1,4,0,35,3,29,49,60,92,67,13
2020-06-01,20,87,3,4,0,43,2,41,58,63,53,54,17
2020-07-01,21,90,3,3,0,50,5,43,54,59,40,56,10
2020-08-01,12,31,1,3,0,24,3,26,28,52,117,60,6
