dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-08-01,18,287,18,8,8,66,7,62,130,123,197,567,54
2017-09-01,14,62,7,9,5,3,0,2,57,37,251,295,64
2017-10-01,13,186,2,5,0,2,2,0,100,93,431,109,26
2017-11-01,12,79,3,4,0,9,0,5,64,41,264,111,23
2017-12-01,14,62,2,4,1,31,0,33,86,63,514,76,17
2018-01-01,12,40,4,5,0,44,3,36,102,59,400,81,22
2018-02-01,19,84,8,7,3,40,4,31,140,110,548,95,18
2018-03-01,23,185,6,8,1,53,8,47,282,210,1006,112,24
2018-04-01,18,128,3,4,0,44,2,38,144,108,487,100,18
2018-05-01,19,103,5,7,2,36,6,35,113,98,479,78,19
2018-06-01,18,132,2,6,0,26,7,20,157,144,663,45,14
2018-07-01,18,197,3,5,0,41,5,28,157,120,452,80,17
2018-08-01,16,209,1,5,0,35,3,22,143,105,520,66,13
2018-09-01,22,237,4,6,0,48,12,46,151,128,570,51,13
2018-10-01,22,329,5,7,0,39,5,31,140,147,476,56,9
2018-11-01,14,207,1,3,0,31,3,29,116,82,409,49,11
2018-12-01,16,120,2,7,2,24,2,20,84,53,249,61,20
2019-01-01,17,229,4,5,1,29,2,22,95,68,343,43,16
2019-02-01,18,267,3,4,1,28,4,28,97,96,359,32,9
2019-03-01,17,348,1,4,0,56,4,45,121,104,255,47,15
2019-04-01,18,383,2,4,0,56,3,46,134,108,248,33,11
2019-05-01,23,573,5,5,1,60,7,62,155,145,313,37,15
2019-06-01,22,181,4,6,0,65,7,64,121,108,277,49,11
2019-07-01,21,116,4,5,0,68,7,60,120,107,191,42,15
2019-08-01,23,248,6,3,0,82,3,78,137,124,402,55,9
2019-09-01,18,192,1,4,0,118,9,103,160,146,504,38,7
2019-10-01,16,113,1,4,0,110,14,90,259,238,872,160,17
2019-11-01,23,247,6,3,0,171,19,156,292,291,831,375,43
2019-12-01,21,126,3,6,1,106,12,83,201,151,627,103,19
2020-01-01,21,149,1,5,0,95,7,95,213,184,437,48,8
2020-02-01,23,242,4,5,0,100,7,92,259,207,491,81,11
2020-03-01,19,254,1,3,0,119,11,98,276,235,546,59,10
2020-04-01,22,247,3,3,0,140,7,128,299,282,654,95,19
2020-05-01,20,184,2,5,1,118,9,110,268,240,650,88,12
2020-06-01,21,209,2,3,0,81,11,78,222,228,497,74,8
2020-07-01,21,136,4,3,0,61,6,55,188,175,404,89,20
2020-08-01,21,119,3,4,0,89,6,75,198,164,368,64,22
