dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,36,92,11,10,3,6,0,6,6,6,42,11,3
2016-06-01,39,107,16,13,2,11,0,10,13,10,39,9,2
2016-07-01,44,128,23,19,7,13,0,14,14,15,87,14,7
2016-08-01,57,152,22,21,4,27,3,21,28,25,94,15,12
2016-09-01,51,131,18,15,4,29,5,25,30,32,162,15,15
2016-10-01,39,105,15,13,6,16,0,14,18,16,92,12,6
2016-11-01,28,57,7,7,1,7,1,8,8,9,84,12,5
2016-12-01,74,189,30,25,7,111,13,58,128,72,998,23,50
2017-01-01,52,131,14,19,1,63,10,47,71,60,945,37,33
2017-02-01,71,174,24,25,7,85,7,66,98,79,1128,52,46
2017-03-01,62,134,21,17,9,70,7,54,83,68,722,76,49
2017-04-01,60,136,23,19,4,80,16,49,94,70,737,71,54
2017-05-01,70,144,21,21,5,69,7,52,83,69,1302,99,62
2017-06-01,68,152,13,23,5,78,17,64,97,93,772,65,53
2017-07-01,70,158,21,22,6,73,8,59,95,79,901,93,53
2017-08-01,88,275,31,24,5,123,16,108,143,150,1618,101,53
2017-09-01,67,266,21,28,6,120,11,110,130,133,1244,70,47
2017-10-01,79,293,38,19,3,154,46,127,168,181,1647,81,51
2017-11-01,51,250,17,20,4,130,32,111,141,154,1575,111,52
2017-12-01,40,183,17,20,7,89,6,73,103,92,1261,157,57
2018-01-01,69,257,26,31,7,130,19,102,159,141,1887,126,57
2018-02-01,63,249,24,26,4,125,13,103,153,131,1535,117,58
2018-03-01,66,198,22,27,1,109,18,75,128,108,1552,166,71
2018-04-01,47,155,16,19,3,82,17,62,102,92,1296,147,50
2018-05-01,49,154,25,20,5,98,33,71,107,112,1396,149,96
2018-06-01,49,203,20,23,5,107,15,77,131,114,1965,165,77
2018-07-01,66,190,21,26,7,93,16,68,110,105,1549,155,64
2018-08-01,70,303,21,19,1,128,23,120,172,180,2168,154,65
2018-09-01,52,153,16,21,3,79,15,68,115,109,1480,128,58
2018-10-01,58,221,25,29,11,125,20,95,151,133,1978,136,67
2018-11-01,65,204,23,29,4,97,14,94,116,133,1938,164,67
2018-12-01,30,89,9,19,1,44,50,39,58,101,1433,192,46
2019-01-01,37,200,15,19,4,95,18,83,124,118,1585,205,78
2019-02-01,51,193,23,18,4,101,13,82,146,120,1599,208,74
2019-03-01,69,274,27,34,11,137,14,116,206,195,2353,200,66
2019-04-01,47,191,15,20,5,91,20,89,121,145,1583,212,71
2019-05-01,41,112,16,23,3,65,13,48,90,99,1347,212,89
2019-06-01,45,172,16,17,2,84,11,77,104,113,1342,175,82
2019-07-01,48,139,12,18,4,62,10,63,88,83,1177,196,72
2019-08-01,39,143,11,21,4,66,7,67,92,87,1130,352,75
2019-09-01,57,146,25,22,9,70,7,62,86,88,1039,279,69
2019-10-01,40,125,11,19,3,67,8,58,82,83,976,160,80
2019-11-01,41,103,19,14,4,60,13,46,67,69,828,191,97
2019-12-01,38,111,17,19,4,67,11,54,83,91,1131,178,73
2020-01-01,43,147,11,15,3,79,6,74,113,107,1244,144,70
2020-02-01,40,106,19,16,3,62,17,53,79,94,942,176,83
2020-03-01,41,132,19,17,3,79,15,57,109,108,1391,190,88
2020-04-01,37,126,14,14,2,58,10,55,85,89,905,182,86
2020-05-01,34,95,16,14,3,53,12,49,73,86,913,164,93
2020-06-01,35,116,14,20,4,59,9,56,78,96,1055,204,85
2020-07-01,37,127,18,18,8,70,3,64,96,87,1098,190,95
2020-08-01,31,104,12,13,2,58,4,54,82,85,726,155,68
