dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,5,186,3,5,3,5,0,4,8,4,7,0,2
2016-07-01,4,211,3,4,2,99,2,98,226,156,472,79,10
2016-08-01,7,165,4,7,4,75,1,67,160,102,646,122,14
2016-09-01,8,182,5,7,3,92,2,87,158,115,587,89,14
2016-10-01,12,237,8,9,3,97,8,90,212,158,1287,103,18
2016-11-01,18,218,12,10,4,94,12,70,255,137,1662,159,26
2016-12-01,29,386,15,13,2,147,18,118,299,235,2384,191,32
2017-01-01,35,454,25,19,11,193,10,176,413,364,3028,196,44
2017-02-01,35,290,17,20,7,126,19,113,283,211,2187,184,48
2017-03-01,37,290,25,19,8,128,17,104,241,166,1777,232,64
2017-04-01,31,231,17,18,11,97,16,92,212,194,1977,204,58
2017-05-01,34,170,22,13,3,98,13,73,198,145,1869,214,50
2017-06-01,28,122,14,17,9,74,6,46,179,89,1430,158,58
2017-07-01,43,271,27,25,12,140,25,106,256,214,2464,301,69
2017-08-01,42,257,25,18,8,128,22,111,223,174,2967,316,66
2017-09-01,34,207,22,15,9,113,19,77,174,149,2448,226,63
2017-10-01,36,331,19,15,7,167,23,146,249,310,3695,324,76
2017-11-01,39,305,21,20,12,134,20,116,228,232,3147,315,82
2017-12-01,44,243,27,21,9,107,14,97,205,177,2649,257,71
2018-01-01,38,171,19,20,10,93,14,76,179,153,2116,259,83
2018-02-01,44,221,21,21,10,97,15,89,178,369,3347,276,87
2018-03-01,46,396,28,26,14,212,52,155,308,433,4178,384,129
2018-04-01,45,277,22,21,7,140,24,108,235,185,2134,389,110
2018-05-01,37,161,16,20,8,77,9,59,149,137,1640,399,102
2018-06-01,31,271,13,15,3,104,11,115,164,195,1928,270,96
2018-07-01,34,202,16,17,4,87,8,82,161,190,2433,287,91
2018-08-01,33,145,15,19,7,74,7,56,177,170,1921,323,93
2018-09-01,29,132,13,18,8,57,3,54,115,110,1337,285,86
2018-10-01,51,250,27,24,9,118,18,98,178,191,2294,303,107
2018-11-01,31,168,16,20,8,56,13,64,110,125,1429,289,83
2018-12-01,32,134,15,17,5,73,12,43,136,141,1780,265,102
2019-01-01,35,179,18,16,8,75,9,46,144,123,2005,297,104
2019-02-01,25,135,9,14,4,51,1,55,115,114,1674,295,78
2019-03-01,36,189,16,20,5,81,15,94,170,227,2065,305,85
2019-04-01,23,135,7,10,2,59,15,49,152,148,1436,231,79
2019-05-01,28,144,15,13,3,90,22,55,225,220,2174,279,81
2019-06-01,24,81,9,12,4,45,3,35,114,138,1464,229,89
2019-07-01,28,103,8,13,4,54,5,48,147,150,1470,293,89
2019-08-01,29,174,10,14,4,86,19,65,153,160,1655,208,91
2019-09-01,31,252,13,18,6,103,21,93,213,247,2106,213,100
2019-10-01,27,168,11,12,4,85,16,61,149,143,1681,213,104
2019-11-01,38,252,11,17,2,116,17,91,169,174,1968,185,83
2019-12-01,37,304,12,15,2,132,20,115,207,217,2723,194,54
2020-01-01,37,268,10,20,5,104,13,98,215,238,2830,329,73
2020-02-01,26,228,7,13,4,112,12,99,203,226,2527,187,82
2020-03-01,29,223,7,11,2,88,9,92,167,169,1867,187,69
2020-04-01,32,279,11,11,2,124,15,94,207,212,2349,209,77
2020-05-01,27,294,7,15,4,112,17,103,194,220,2553,180,67
2020-06-01,25,382,6,12,1,155,18,146,240,271,2954,158,46
2020-07-01,24,318,7,15,3,114,14,108,196,208,2337,172,35
2020-08-01,22,325,8,14,4,130,12,129,185,224,2227,161,45
