dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-01-01,4,42,4,2,2,1,1,0,1,1,8,99,5
2015-02-01,3,204,0,1,0,0,0,0,0,0,0,28,1
2015-03-01,2,67,0,1,0,0,0,0,0,0,0,32,2
2015-04-01,2,74,0,1,0,0,0,0,0,0,0,56,2
2015-05-01,5,76,2,1,0,0,0,0,0,0,0,17,0
2015-06-01,4,78,1,1,0,0,0,0,0,0,0,23,1
2015-07-01,3,62,0,1,0,0,0,0,0,0,0,19,0
2015-08-01,3,45,0,1,0,0,0,0,0,0,0,28,4
2015-09-01,3,48,0,1,0,0,0,0,0,0,0,21,2
2015-10-01,3,57,0,1,0,0,0,0,0,0,0,20,1
2015-11-01,4,28,0,1,0,0,0,0,0,0,0,12,1
2015-12-01,4,45,1,1,0,0,0,0,0,0,0,33,2
2016-01-01,4,23,0,1,0,0,0,0,0,0,0,16,3
2016-02-01,6,63,1,1,0,0,0,0,0,0,0,20,3
2016-03-01,7,54,3,3,1,1,1,0,1,1,6,18,0
2016-04-01,8,60,2,3,1,0,0,0,0,0,0,17,2
2016-05-01,5,51,1,1,0,1,1,0,1,1,2,12,2
2016-06-01,4,26,1,2,1,0,0,0,0,0,0,13,1
2016-07-01,7,47,2,4,1,0,0,0,0,0,0,21,6
2016-08-01,11,36,3,3,0,1,0,0,1,0,2,39,6
2016-09-01,8,55,2,3,1,1,0,1,1,1,0,25,3
2016-10-01,6,45,1,2,0,0,0,0,0,0,0,18,2
2016-11-01,8,32,3,3,2,1,1,0,1,1,4,22,4
2016-12-01,10,34,2,3,1,1,1,0,1,1,2,12,1
2017-01-01,9,90,1,3,0,0,0,0,0,0,0,24,2
2017-02-01,10,91,3,4,2,1,1,0,1,1,2,10,4
2017-03-01,10,84,0,4,0,0,0,0,0,0,0,10,1
2017-04-01,12,122,3,3,0,0,0,0,0,0,0,17,3
2017-05-01,10,88,0,3,0,1,0,0,1,0,4,25,3
2017-06-01,11,69,1,5,1,1,1,0,1,1,6,28,4
2017-07-01,8,61,1,2,0,2,2,0,2,2,4,21,2
2017-08-01,11,102,1,4,0,0,0,0,0,0,0,15,4
2017-09-01,11,39,1,3,0,0,0,0,0,0,0,23,1
2017-10-01,10,42,1,2,0,2,0,0,2,0,2,16,3
2017-11-01,11,70,1,3,0,3,2,2,3,4,2,21,6
2017-12-01,7,37,0,2,0,1,0,0,1,0,4,15,4
2018-01-01,8,49,0,2,0,0,0,0,0,0,0,27,4
2018-02-01,9,47,0,2,0,1,1,0,1,1,2,18,2
2018-03-01,7,29,1,2,1,0,0,0,0,0,0,23,2
2018-04-01,8,33,0,2,0,0,0,0,0,0,0,18,2
2018-05-01,12,99,2,4,1,48,5,44,55,53,38,20,6
2018-06-01,10,94,1,5,0,90,4,87,2727,2586,23158,14,1
2018-07-01,11,70,3,5,0,72,2,68,88,83,168,19,5
2018-08-01,8,71,1,4,0,70,2,71,86,80,131,31,4
2018-09-01,7,93,0,4,0,98,3,93,112,108,123,28,4
2018-10-01,6,101,0,4,0,103,2,99,120,105,102,24,6
2018-11-01,9,66,3,6,1,68,2,66,78,75,139,18,3
2018-12-01,9,51,2,4,0,47,1,44,60,53,217,12,3
2019-01-01,7,97,2,4,0,65,1,63,73,69,98,9,0
2019-02-01,9,127,0,5,0,122,3,120,142,147,308,14,2
2019-03-01,10,93,2,4,0,88,4,85,98,100,143,19,2
2019-04-01,7,37,0,4,0,42,2,38,48,42,75,17,1
2019-05-01,13,60,4,5,2,63,0,60,72,66,79,30,5
2019-06-01,9,58,1,4,0,66,2,58,74,63,131,37,3
2019-07-01,11,75,1,4,1,73,3,75,77,80,259,13,3
2019-08-01,12,105,1,3,0,117,5,105,122,112,274,32,0
2019-09-01,10,54,1,4,1,51,2,54,57,60,53,18,2
2019-10-01,6,55,0,3,0,58,1,55,71,60,59,10,2
2019-11-01,9,40,2,4,1,39,1,40,50,42,75,17,3
2019-12-01,8,38,2,3,0,39,1,38,63,52,148,36,2
2020-01-01,8,44,1,3,0,47,2,44,50,46,11,8,1
2020-02-01,9,59,3,3,1,60,1,59,69,66,126,14,3
2020-03-01,7,44,1,4,1,43,0,44,47,49,79,31,2
2020-04-01,5,39,0,3,0,42,0,39,49,42,72,32,2
2020-05-01,7,18,2,4,1,20,0,18,24,19,29,18,4
2020-06-01,10,32,3,5,1,33,4,32,38,41,136,12,4
2020-07-01,7,37,1,3,0,42,4,37,47,42,90,24,5
2020-08-01,12,53,3,4,1,53,1,53,58,56,60,14,3
