dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,21,82,21,7,7,42,6,34,70,46,424,427,52
2016-04-01,6,31,1,3,0,19,2,16,28,24,124,97,8
2016-05-01,4,14,2,4,1,6,0,9,18,13,89,85,9
2016-06-01,8,15,3,5,1,11,2,7,14,12,90,39,10
2016-07-01,3,4,1,2,0,3,1,3,6,6,21,46,9
2016-08-01,3,9,0,3,0,11,3,5,17,15,111,52,7
2016-09-01,4,17,1,4,1,13,4,10,22,15,90,48,13
2016-10-01,11,55,7,7,2,40,0,36,60,53,210,42,8
2016-11-01,11,55,5,7,2,37,1,39,77,72,310,52,14
2016-12-01,5,25,1,5,0,24,0,22,39,32,81,58,9
2017-01-01,10,40,6,8,3,45,7,36,72,65,338,55,15
2017-02-01,18,58,10,7,1,53,4,54,136,108,613,83,20
2017-03-01,14,35,6,9,2,33,4,30,80,59,353,57,19
2017-04-01,9,27,5,5,1,25,1,24,66,50,423,47,11
2017-05-01,10,29,6,5,1,32,4,27,76,58,423,40,14
2017-06-01,11,31,2,5,0,35,8,24,77,60,533,66,8
2017-07-01,12,17,3,5,0,20,1,14,48,30,292,52,25
2017-08-01,12,28,5,6,2,30,8,26,78,72,483,49,11
2017-09-01,6,14,1,5,0,14,1,12,36,35,253,38,10
2017-10-01,15,26,8,6,1,31,3,26,63,55,436,65,18
2017-11-01,11,17,3,5,0,21,1,15,39,30,198,51,16
2017-12-01,6,20,1,4,0,16,1,18,33,34,170,30,11
2018-01-01,4,21,1,3,0,20,1,21,45,42,207,33,9
2018-02-01,4,6,3,4,2,11,4,6,37,19,215,44,13
2018-03-01,6,24,2,4,0,24,0,20,57,39,302,35,12
2018-04-01,7,12,3,4,1,14,2,10,38,23,221,49,6
2018-05-01,9,24,4,5,0,23,3,24,44,42,312,37,8
2018-06-01,5,16,0,4,0,25,7,16,44,34,327,35,9
2018-07-01,11,48,4,5,1,52,7,43,79,68,635,39,13
2018-08-01,10,29,4,4,0,33,7,27,66,58,397,37,17
2018-09-01,7,20,0,5,0,21,4,18,43,28,247,28,7
2018-10-01,6,21,2,5,0,8,1,5,22,13,82,14,11
2018-11-01,9,15,2,6,1,8,1,10,33,23,116,20,5
2018-12-01,4,16,1,4,0,9,0,3,27,9,153,21,12
2019-01-01,10,17,5,6,1,12,5,12,31,30,179,30,12
2019-02-01,6,40,0,6,0,24,4,20,40,41,206,29,13
2019-03-01,10,59,3,6,0,53,6,44,80,75,375,28,11
2019-04-01,12,51,5,7,2,25,8,19,47,44,196,24,8
2019-05-01,14,117,3,9,2,41,7,34,85,76,261,34,6
2019-06-01,12,117,1,7,0,30,4,31,43,50,225,25,7
2019-07-01,9,197,0,6,0,73,22,52,124,109,318,36,9
2019-08-01,8,144,1,5,0,56,6,47,74,76,163,20,4
2019-09-01,11,147,1,6,0,71,24,48,87,99,188,19,8
2019-10-01,12,183,2,7,1,81,16,61,107,95,259,17,7
2019-11-01,9,134,2,5,0,37,9,27,86,77,179,18,3
2019-12-01,9,140,1,6,1,43,11,29,92,88,186,31,6
2020-01-01,13,110,5,9,2,38,6,30,74,65,160,20,9
2020-02-01,15,112,2,9,0,43,16,32,82,78,211,19,11
2020-03-01,11,71,2,8,1,31,4,25,52,38,114,18,3
2020-04-01,9,83,0,8,0,40,8,34,62,60,132,24,7
2020-05-01,6,48,0,6,0,29,5,17,41,29,84,9,4
2020-06-01,6,35,0,6,0,16,5,15,23,27,112,23,2
2020-07-01,7,41,0,6,0,32,12,18,52,44,123,16,8
2020-08-01,5,34,0,4,0,33,12,13,52,37,108,14,6
