dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,1,29,0,1,0,0,0,0,2,2,28,17,2
2015-03-01,1,12,0,1,0,0,0,0,2,1,51,41,1
2015-04-01,1,16,0,1,0,0,0,0,5,5,62,20,1
2015-05-01,2,69,1,2,1,2,1,1,18,18,272,128,10
2015-06-01,2,30,1,1,0,5,1,3,12,9,66,44,11
2015-07-01,2,30,0,1,0,2,1,2,10,12,97,52,14
2015-08-01,4,29,2,2,1,2,1,1,19,18,117,49,11
2015-09-01,11,152,8,5,3,11,2,9,44,45,411,96,22
2015-10-01,6,51,2,4,1,10,3,6,30,18,107,99,20
2015-11-01,9,50,6,6,4,9,1,8,26,27,151,74,27
2015-12-01,9,80,4,6,3,8,1,8,36,42,346,82,27
2016-01-01,11,155,4,7,2,27,7,20,63,62,557,76,30
2016-02-01,7,53,2,6,1,11,5,4,47,42,390,105,27
2016-03-01,7,40,4,4,1,6,3,5,31,33,206,110,28
2016-04-01,7,26,3,2,0,6,1,5,21,20,130,73,22
2016-05-01,2,2,2,1,0,5,3,0,22,23,143,53,11
2016-06-01,2,15,0,2,0,2,0,2,14,10,76,54,20
2016-07-01,11,105,7,5,3,14,7,9,41,51,448,159,31
2016-08-01,4,5,0,3,0,2,0,1,23,16,137,76,26
2016-09-01,1,2,0,1,0,1,0,0,25,16,169,57,23
2016-10-01,8,115,4,4,2,10,5,7,40,58,429,94,17
2016-11-01,5,71,2,2,0,2,0,1,37,34,290,118,39
2016-12-01,6,44,4,4,2,9,5,5,25,26,188,69,25
2017-01-01,6,19,3,5,2,5,1,3,19,11,66,65,13
2017-02-01,5,54,3,4,2,7,4,2,31,42,185,59,16
2017-03-01,5,22,2,3,0,5,1,2,24,17,86,64,27
2017-04-01,11,75,6,8,4,26,11,15,46,46,192,72,23
2017-05-01,12,68,6,10,2,16,6,9,34,33,122,90,33
2017-06-01,5,79,0,4,0,7,4,7,36,44,89,66,23
2017-07-01,4,21,2,4,1,4,0,2,15,8,210,47,20
2017-08-01,6,29,1,5,0,4,1,4,18,17,63,45,15
2017-09-01,0,0,0,0,0,5,3,0,43,41,110,36,11
2017-10-01,0,0,0,0,0,6,10,0,69,79,247,41,19
2017-11-01,9,28,6,5,2,9,1,4,40,37,127,70,30
2017-12-01,4,29,2,3,1,6,3,7,19,17,66,63,27
2018-01-01,11,125,7,7,3,13,2,9,29,31,150,59,21
2018-02-01,8,23,2,6,1,5,0,2,15,11,52,58,13
2018-03-01,5,34,2,4,1,4,3,6,13,20,78,71,24
2018-04-01,6,45,4,4,2,12,4,3,21,15,24,59,27
2018-05-01,3,26,1,3,1,4,3,2,18,16,57,51,14
2018-06-01,5,17,1,3,0,3,1,0,12,10,51,50,16
2018-07-01,4,30,2,3,0,1,3,4,10,18,28,81,15
2018-08-01,5,60,0,4,0,6,2,4,26,30,54,63,19
2018-09-01,4,33,2,3,1,3,0,2,16,9,26,55,11
2018-10-01,5,25,2,4,0,0,0,1,8,12,13,48,21
2018-11-01,4,12,1,3,0,0,0,0,10,5,31,50,18
2018-12-01,2,3,0,2,0,1,0,0,4,2,14,30,20
2019-01-01,6,27,3,4,1,8,1,3,12,13,49,46,25
2019-02-01,6,20,2,4,0,3,3,3,13,11,29,63,20
2019-03-01,6,107,2,4,1,1,0,3,27,37,126,34,14
2019-04-01,7,46,2,5,1,3,1,1,15,15,48,51,20
2019-05-01,2,5,0,1,0,4,0,1,6,2,11,52,37
2019-06-01,2,8,0,2,0,2,3,0,8,7,27,50,22
2019-07-01,3,7,1,1,0,2,0,0,5,1,5,54,12
2019-08-01,5,50,2,5,2,1,2,4,4,13,33,38,17
2019-09-01,2,78,0,2,0,0,0,0,16,15,23,53,24
2019-10-01,4,18,2,3,1,5,2,1,15,13,40,57,19
2019-11-01,2,2,1,2,0,4,0,0,10,1,30,60,24
2019-12-01,0,0,0,0,0,0,0,0,1,0,2,74,23
2020-01-01,4,15,2,3,0,3,3,3,10,18,31,64,23
2020-02-01,6,17,3,5,2,4,1,3,10,9,28,55,27
2020-03-01,0,0,0,0,0,2,0,0,10,8,53,53,29
2020-04-01,2,9,1,1,0,4,4,1,8,9,44,54,20
2020-05-01,2,54,0,2,0,0,1,0,18,19,35,43,19
2020-06-01,3,184,1,3,0,1,2,2,35,41,79,41,14
2020-07-01,5,130,3,5,2,8,2,5,31,31,85,577,76
2020-08-01,5,23,2,4,1,6,0,5,18,11,43,114,34
