dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,1,91,0,1,0,0,0,0,1,1,4,23,7
2015-07-01,1,54,0,1,0,0,0,0,0,0,0,16,1
2015-08-01,2,34,1,2,1,2,0,2,2,2,6,11,3
2015-09-01,1,64,0,1,0,0,0,0,2,1,6,7,4
2015-10-01,2,32,1,2,1,1,1,0,7,5,4,12,0
2015-11-01,2,2,1,2,1,1,1,0,2,1,22,9,1
2015-12-01,1,1,1,1,0,1,0,1,2,1,1,10,3
2016-01-01,1,149,0,1,0,0,0,0,2,1,4,11,2
2016-02-01,1,1,1,1,1,1,0,0,1,1,4,5,1
2016-03-01,2,48,1,2,1,1,0,1,1,1,4,9,1
2016-04-01,2,59,1,2,0,2,1,1,2,2,4,4,2
2016-05-01,2,99,1,2,1,1,0,1,1,2,16,9,0
2016-06-01,4,49,3,4,2,2,0,2,2,2,2,7,3
2016-07-01,4,35,2,3,0,3,1,2,5,4,14,4,2
2016-08-01,3,123,0,3,0,3,1,2,3,3,4,2,1
2016-09-01,3,42,1,3,1,3,1,2,9,7,18,7,3
2016-10-01,2,49,0,2,0,10,0,9,22,18,50,18,3
2016-11-01,3,135,1,3,1,25,4,22,35,40,114,7,1
2016-12-01,3,37,1,2,0,7,1,3,7,4,25,6,6
2017-01-01,2,119,0,2,0,9,3,9,11,17,32,6,4
2017-02-01,2,96,0,2,0,5,1,5,5,7,13,4,1
2017-03-01,3,123,0,3,0,15,2,11,16,13,38,11,2
2017-04-01,3,97,1,2,0,12,2,12,16,17,26,6,4
2017-05-01,4,85,2,4,1,17,1,16,22,22,41,4,3
2017-06-01,2,124,0,2,0,9,0,8,12,10,12,9,1
2017-07-01,3,55,0,3,0,9,0,9,11,12,12,12,1
2017-08-01,5,109,3,5,2,16,0,16,50,33,201,19,13
2017-09-01,2,112,0,2,0,25,2,24,46,52,144,17,2
2017-10-01,3,123,1,3,1,27,3,21,38,29,51,12,1
2017-11-01,6,143,4,4,2,36,4,33,57,59,170,24,7
2017-12-01,7,188,4,7,3,62,7,47,102,78,370,119,18
2018-01-01,24,381,19,16,11,162,17,145,366,284,2517,214,42
2018-02-01,25,382,15,14,7,159,18,140,279,291,2344,104,31
2018-03-01,15,281,6,10,3,83,6,80,167,176,1723,70,17
2018-04-01,12,159,4,8,2,66,10,54,137,146,1502,44,21
2018-05-01,14,190,3,9,1,59,11,50,91,99,945,51,11
2018-06-01,10,161,3,8,3,54,8,41,113,88,833,52,14
2018-07-01,21,191,9,12,2,78,6,73,143,141,853,50,13
2018-08-01,19,230,7,12,3,72,13,58,112,93,636,42,14
2018-09-01,11,160,3,6,0,49,2,49,88,91,523,44,7
2018-10-01,10,130,2,7,1,49,4,41,74,64,409,33,13
2018-11-01,9,118,1,6,0,34,9,29,60,50,350,46,9
2018-12-01,13,147,3,9,3,54,6,44,85,69,627,22,6
2019-01-01,13,152,0,7,0,52,8,46,96,97,804,43,15
2019-02-01,12,171,5,8,3,65,10,51,110,89,668,54,15
2019-03-01,18,126,8,10,3,48,8,37,100,81,619,66,11
2019-04-01,16,194,5,9,2,59,10,53,91,95,546,41,15
2019-05-01,13,191,2,10,1,62,11,51,89,99,900,32,9
2019-06-01,11,184,2,7,1,60,4,58,90,97,698,28,5
2019-07-01,15,180,6,8,2,76,13,56,102,86,657,24,11
2019-08-01,14,248,0,8,0,94,11,87,126,129,649,28,12
2019-09-01,13,257,5,9,2,74,5,67,106,109,771,19,13
2019-10-01,12,182,3,8,1,73,13,59,109,98,539,24,13
2019-11-01,13,191,4,8,2,52,6,58,76,97,640,14,9
2019-12-01,8,137,1,5,1,58,6,41,80,70,502,21,3
2020-01-01,13,140,5,8,3,56,6,49,92,98,749,21,6
2020-02-01,10,126,2,7,2,48,5,51,80,72,472,8,5
2020-03-01,8,95,2,7,1,35,2,29,54,42,300,20,7
2020-04-01,11,148,3,8,2,51,5,43,71,81,470,26,12
2020-05-01,10,204,3,8,1,51,7,51,74,72,408,19,10
2020-06-01,7,107,0,4,0,36,3,25,47,37,308,14,4
2020-07-01,10,178,3,6,1,66,10,50,90,93,649,15,9
2020-08-01,8,175,2,5,1,64,9,57,105,93,669,17,11
