dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,312,2334,126,159,44,72,59,1,81,64,149,3,2
2016-05-01,281,1508,119,142,46,244,198,1,287,213,829,3,4
2016-06-01,241,1634,89,118,33,67,72,1,97,82,418,8,6
2016-07-01,260,1925,99,122,35,209,189,1,236,215,583,8,4
2016-08-01,209,1641,72,107,29,123,112,6,148,130,366,9,2
2016-09-01,238,4213,87,123,36,85,79,9,110,96,340,10,2
2016-10-01,268,2299,105,150,54,179,173,6,215,209,842,10,6
2016-11-01,259,1730,98,137,39,27,16,7,48,41,365,6,7
2016-12-01,212,2035,72,119,34,188,167,8,218,201,505,4,4
2017-01-01,232,2330,90,131,37,202,166,20,241,220,943,5,1
2017-02-01,227,2821,77,127,35,196,173,25,226,230,803,1,2
2017-03-01,259,2967,84,134,33,290,245,31,335,327,810,2,1
2017-04-01,202,2499,72,113,27,312,240,21,333,278,1297,4,4
2017-05-01,209,2328,74,119,32,211,220,32,237,279,857,4,1
2017-06-01,190,2273,65,98,25,263,275,70,285,446,1269,5,3
2017-07-01,210,2518,71,112,27,321,239,87,348,353,999,3,4
2017-08-01,208,3375,67,123,33,611,442,157,632,621,1941,8,7
2017-09-01,198,7104,68,109,31,446,218,233,466,472,1303,11,3
2017-10-01,237,3406,80,117,29,268,135,155,299,315,734,8,6
2017-11-01,176,2555,67,95,32,181,77,105,200,206,526,9,3
2017-12-01,168,2943,60,79,17,280,122,141,300,281,742,5,5
2018-01-01,185,3509,63,96,23,505,323,155,536,504,1109,16,4
2018-02-01,181,2815,63,92,21,420,294,153,440,469,717,14,5
2018-03-01,201,4018,62,101,23,606,359,164,637,554,955,10,6
2018-04-01,180,3060,67,103,31,434,371,147,446,537,713,9,4
2018-05-01,176,3140,62,87,19,479,303,183,507,511,858,10,5
2018-06-01,163,2621,49,82,17,315,167,160,331,345,588,7,3
2018-07-01,156,2330,50,71,16,395,274,104,415,399,543,4,4
2018-08-01,220,6175,86,107,31,506,391,135,515,544,880,9,4
2018-09-01,235,3626,92,116,38,464,290,161,478,460,505,4,3
2018-10-01,295,2533,110,150,57,402,315,84,418,408,462,14,8
2018-11-01,247,2693,82,127,34,357,259,101,372,378,484,25,3
2018-12-01,195,2452,48,102,16,482,339,149,487,502,456,10,2
2019-01-01,291,3466,113,158,45,527,318,192,550,530,436,25,7
2019-02-01,282,1849,95,126,29,264,137,134,285,287,363,100,12
2019-03-01,282,2434,112,157,52,570,505,74,591,604,576,58,16
2019-04-01,295,2128,103,154,40,503,434,61,525,516,474,33,11
2019-05-01,243,2780,70,118,23,524,448,84,540,547,654,21,14
2019-06-01,207,2440,50,111,19,603,497,57,617,567,572,17,8
2019-07-01,191,2462,55,112,20,538,466,75,557,559,485,20,10
2019-08-01,201,3034,69,133,36,599,553,86,616,652,407,29,11
2019-09-01,203,3135,62,110,25,620,556,66,633,633,588,30,11
2019-10-01,244,6585,78,136,30,988,857,138,996,1010,729,27,15
2019-11-01,250,3493,81,135,32,915,841,78,929,935,623,28,8
2019-12-01,238,2879,76,123,36,762,706,67,775,787,451,19,13
2020-01-01,232,3028,68,115,19,815,752,60,832,832,347,20,20
2020-02-01,243,4087,79,119,26,318,85,231,361,364,551,19,8
2020-03-01,245,4998,81,124,29,219,19,204,228,230,386,18,11
2020-04-01,276,5119,86,151,36,274,19,251,294,288,755,28,13
2020-05-01,262,4233,77,147,34,172,25,154,191,196,581,27,19
2020-06-01,227,4454,65,124,24,182,15,159,193,187,473,27,16
2020-07-01,228,10358,64,111,26,192,26,173,207,214,788,33,17
2020-08-01,212,3713,48,97,12,160,43,115,177,175,514,17,15
