dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,15,191,15,3,3,87,3,82,220,125,687,2,2
2015-03-01,17,192,4,4,1,85,6,79,162,150,928,1,1
2015-04-01,20,188,5,5,2,88,2,87,151,128,874,590,42
2015-05-01,12,89,0,3,0,41,1,40,78,78,489,66,6
2015-06-01,13,60,1,4,1,24,1,24,63,38,359,30,2
2015-07-01,13,66,2,4,1,27,1,24,50,48,355,26,3
2015-08-01,16,95,3,5,2,49,3,46,84,91,532,25,2
2015-09-01,12,98,0,4,0,42,1,39,72,78,471,19,1
2015-10-01,11,64,1,5,1,21,1,23,36,45,212,50,4
2015-11-01,8,62,0,3,0,31,0,30,40,42,303,33,3
2015-12-01,6,36,0,3,0,18,0,17,33,22,251,24,6
2016-01-01,9,50,2,2,0,25,1,25,31,28,184,26,6
2016-02-01,7,22,1,4,1,12,0,11,14,11,101,14,3
2016-03-01,7,30,2,2,0,14,0,14,14,14,96,20,1
2016-04-01,3,11,1,2,0,6,0,6,7,6,32,34,1
2016-05-01,2,6,1,1,0,3,0,3,3,3,26,17,4
2016-06-01,5,12,0,2,0,6,0,6,6,6,26,13,1
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,14,1
2016-08-01,0,0,0,0,0,0,0,0,1,0,0,14,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,10,2
2016-10-01,0,0,0,0,0,1,0,0,1,0,2,16,4
2016-11-01,0,0,0,0,0,0,0,0,1,0,3,8,1
2016-12-01,0,0,0,0,0,0,0,0,1,0,1,6,3
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,16,1
2017-02-01,0,0,0,0,0,0,1,0,5,6,37,9,1
2017-03-01,0,0,0,0,0,0,0,0,1,2,14,13,1
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-05-01,0,0,0,0,0,0,1,0,5,6,31,13,1
2017-06-01,0,0,0,0,0,0,0,0,4,3,18,10,2
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,8,3
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,6,2
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,9,1
2017-11-01,0,0,0,0,0,1,0,0,1,0,0,13,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,12,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,14,1
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,11,2
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,4,2
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,9,1
2018-05-01,2,2,1,2,1,1,0,1,1,1,0,13,2
2018-06-01,3,7,2,2,0,6,0,6,7,7,14,15,2
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,10,1
2018-08-01,1,2,1,1,0,1,0,1,1,1,10,4,1
2018-09-01,0,0,0,0,0,0,0,0,2,0,3,8,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,10,2
2018-11-01,1,2,1,1,0,1,0,1,1,1,0,19,1
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,9,1
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-02-01,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,11,1
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,12,2
2019-05-01,0,0,0,0,0,0,0,0,1,0,0,12,1
2019-06-01,0,0,0,0,0,1,0,0,1,1,3,4,1
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-08-01,0,0,0,0,0,0,0,0,1,0,0,18,2
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,8,3
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,11,1
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-04-01,2,3,1,1,0,2,0,2,4,2,0,24,8
