dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,3,26,1,2,1,15,1,13,15,14,135,5,0
2016-07-01,4,33,2,3,1,17,0,17,18,17,166,1,0
2016-08-01,8,66,3,3,0,31,1,30,32,33,305,1,0
2016-09-01,6,48,0,3,0,37,3,33,37,36,316,6,0
2016-10-01,7,59,2,3,1,45,1,45,51,46,214,3,0
2016-11-01,5,23,0,3,0,16,1,11,16,14,83,5,0
2016-12-01,10,89,3,5,1,43,6,38,43,44,294,1,0
2017-01-01,8,101,1,5,0,11,2,13,23,25,137,13,0
2017-02-01,7,82,2,3,0,27,2,25,52,51,254,2,0
2017-03-01,8,47,2,4,1,3,0,3,5,4,24,3,0
2017-04-01,6,45,0,4,0,2,0,1,2,1,14,2,0
2017-05-01,10,54,2,4,0,7,0,6,7,6,18,55,1
2017-06-01,7,57,0,3,0,5,1,3,10,5,22,4,0
2017-07-01,4,11,0,3,0,9,2,3,13,7,120,3,1
2017-08-01,8,63,1,4,0,12,0,12,17,13,69,8,0
2017-09-01,10,82,3,5,1,3,0,4,15,10,60,1,0
2017-10-01,9,83,3,3,0,20,4,14,26,22,215,2,2
2017-11-01,12,51,3,4,0,13,4,12,21,22,222,1,1
2017-12-01,9,53,1,3,0,13,0,11,20,12,97,4,0
2018-01-01,10,52,0,3,0,23,2,23,25,26,111,4,0
2018-02-01,9,49,1,4,0,22,6,16,29,23,39,2,2
2018-03-01,14,78,3,5,1,26,5,19,40,25,72,9,3
2018-04-01,12,85,0,5,0,27,2,25,39,28,76,4,0
2018-05-01,17,224,4,6,1,139,14,122,184,145,403,10,2
2018-06-01,15,128,1,5,0,30,0,34,37,41,107,28,3
2018-07-01,15,64,3,4,0,27,3,21,39,26,100,15,2
2018-08-01,15,54,4,5,0,46,1,44,59,52,186,802,47
2018-09-01,13,85,2,6,1,91,6,71,119,90,341,100,12
2018-10-01,15,109,2,5,0,106,13,96,156,130,387,90,8
2018-11-01,12,41,1,5,0,48,5,38,72,49,193,44,4
2018-12-01,10,38,1,4,0,43,5,36,49,49,190,106,7
2019-01-01,11,56,2,4,0,57,6,52,69,61,325,73,7
2019-02-01,12,48,2,6,2,66,18,47,72,78,339,92,5
2019-03-01,12,82,2,4,0,76,8,75,107,109,472,94,17
2019-04-01,13,60,1,5,0,61,4,56,77,70,262,110,7
2019-05-01,13,64,1,4,0,69,5,64,93,80,311,96,14
2019-06-01,12,58,3,6,2,67,3,58,93,71,240,99,4
2019-07-01,11,36,3,5,0,44,6,36,61,54,144,84,12
2019-08-01,11,45,1,4,1,61,6,45,75,57,95,79,10
2019-09-01,16,40,5,7,2,40,0,40,54,45,121,83,9
2019-10-01,13,48,2,5,0,43,1,48,58,57,230,69,14
2019-11-01,7,11,2,4,0,16,1,10,22,15,87,127,13
2019-12-01,11,13,3,6,1,25,1,13,33,16,96,82,10
2020-01-01,13,40,4,7,2,37,1,40,45,45,133,57,5
2020-02-01,10,30,3,5,0,42,7,30,53,46,117,337,19
2020-03-01,13,38,3,5,0,42,2,38,53,45,160,95,14
2020-04-01,14,48,3,6,2,51,6,48,61,60,96,62,9
2020-05-01,13,56,4,6,1,72,9,56,82,70,97,71,3
2020-06-01,12,44,1,3,0,48,1,43,55,50,32,44,3
2020-07-01,9,42,1,3,0,45,4,40,69,68,151,38,6
2020-08-01,17,40,4,6,2,49,7,37,70,60,72,37,8
