dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,1,146,1,1,1,2,1,0,8,7,84,20,2
2017-01-01,8,101,7,6,5,12,1,10,30,21,128,31,7
2017-02-01,4,78,2,4,1,11,4,5,41,38,286,17,3
2017-03-01,8,161,5,7,4,30,4,21,87,72,460,52,10
2017-04-01,11,123,9,9,6,19,8,10,61,46,439,37,10
2017-05-01,10,196,3,8,2,13,12,9,96,94,994,30,12
2017-06-01,12,222,7,8,4,17,2,14,99,82,851,44,8
2017-07-01,5,94,0,4,0,0,1,0,60,36,515,47,5
2017-08-01,5,25,1,4,1,2,1,1,57,28,441,53,8
2017-09-01,12,111,6,8,4,11,3,8,102,98,1089,47,12
2017-10-01,8,92,4,7,4,7,1,5,63,47,584,65,13
2017-11-01,8,59,3,8,3,11,0,7,84,46,811,37,10
2017-12-01,8,42,5,6,3,3,5,3,60,77,729,59,10
2018-01-01,12,173,6,10,5,26,4,19,134,113,1163,72,12
2018-02-01,15,163,10,13,8,12,5,8,120,96,1026,58,12
2018-03-01,4,15,2,4,2,3,1,3,117,73,1048,76,10
2018-04-01,6,32,1,6,1,6,3,2,123,97,1052,88,9
2018-05-01,6,54,1,4,0,10,4,2,106,90,1138,81,14
2018-06-01,3,40,1,3,1,6,1,2,81,61,904,63,13
2018-07-01,9,102,4,7,1,12,1,10,89,73,863,68,8
2018-08-01,7,44,2,5,2,10,5,4,113,91,1187,57,10
2018-09-01,2,29,0,2,0,5,3,0,78,63,794,51,7
2018-10-01,12,163,6,9,3,27,15,20,158,399,3282,82,12
2018-11-01,7,51,5,7,4,10,3,4,82,69,891,92,15
2018-12-01,7,101,2,6,2,19,7,15,88,111,1126,75,12
2019-01-01,16,109,7,11,5,21,4,16,116,108,1273,107,18
2019-02-01,14,130,9,9,4,20,4,15,119,96,1237,108,17
2019-03-01,9,98,5,6,1,18,6,7,108,89,1440,128,15
2019-04-01,7,33,3,7,3,11,3,4,83,106,1111,74,10
2019-05-01,17,124,11,10,6,22,8,23,96,102,1179,73,14
2019-06-01,8,60,6,8,4,10,3,6,85,80,947,61,14
2019-07-01,10,90,5,5,1,16,3,13,76,82,854,78,9
2019-08-01,9,78,3,7,2,14,2,10,75,74,719,89,21
2019-09-01,14,98,5,10,3,15,3,11,87,90,1054,58,11
2019-10-01,15,188,4,10,3,46,6,37,124,112,1072,73,15
2019-11-01,11,87,2,8,0,19,5,17,67,75,597,69,11
2019-12-01,7,99,1,7,1,15,3,11,65,68,562,66,11
2020-01-01,10,78,1,6,0,19,6,15,66,76,668,75,13
2020-02-01,10,85,4,8,3,13,2,12,66,73,582,76,11
2020-03-01,10,88,2,7,1,19,3,17,64,89,467,94,19
2020-04-01,17,115,8,8,2,34,8,29,71,71,349,97,21
2020-05-01,12,99,4,9,3,27,5,23,72,60,281,94,21
2020-06-01,13,58,5,10,3,17,4,13,43,47,308,127,23
2020-07-01,16,70,7,8,2,28,2,21,60,55,288,117,23
2020-08-01,4,33,0,4,0,5,3,4,40,33,257,76,10
