dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,7,36,3,4,3,3,0,3,8,7,36,1,0
2015-04-01,4,90,1,4,1,3,0,3,4,5,6,1,2
2015-05-01,2,82,0,2,0,1,0,0,3,0,12,1,0
2015-06-01,4,101,2,3,1,0,0,0,7,6,39,1,0
2015-07-01,3,39,0,2,0,0,1,0,0,2,6,0,0
2015-08-01,3,77,0,2,0,0,0,0,0,1,1,3,1
2015-09-01,4,100,0,3,0,0,0,0,1,0,9,1,0
2015-10-01,4,73,1,2,0,0,0,0,0,0,0,2,0
2015-11-01,6,107,2,4,2,1,0,1,30,29,102,3,1
2015-12-01,4,77,0,3,0,0,0,0,13,8,51,4,1
2016-01-01,3,178,0,2,0,0,0,0,10,12,81,3,0
2016-02-01,3,43,0,2,0,0,0,0,6,1,32,6,2
2016-03-01,5,82,0,3,0,1,0,1,9,6,60,1,1
2016-04-01,4,87,0,2,0,0,0,0,0,2,8,6,0
2016-05-01,4,128,0,2,0,0,0,0,2,2,9,4,1
2016-06-01,3,138,0,1,0,0,0,0,8,5,71,2,1
2016-07-01,6,62,2,2,0,2,0,2,19,10,90,5,2
2016-08-01,5,79,0,2,0,1,0,1,8,5,54,6,1
2016-09-01,5,103,0,2,0,4,0,2,15,15,120,3,1
2016-10-01,6,67,0,3,0,1,1,1,4,6,49,4,0
2016-11-01,9,78,3,4,1,8,1,8,20,15,206,7,3
2016-12-01,9,144,2,3,0,12,1,11,24,19,138,5,3
2017-01-01,6,207,0,2,0,4,1,3,35,24,364,7,1
2017-02-01,6,109,0,2,0,0,0,0,34,24,321,1,0
2017-03-01,5,183,0,2,0,0,0,0,16,38,343,6,2
2017-04-01,5,74,0,2,0,0,0,0,15,7,130,3,1
2017-05-01,5,253,0,2,0,1,0,1,35,23,236,3,0
2017-06-01,6,86,0,3,0,0,0,0,4,2,19,4,2
2017-07-01,5,65,0,3,0,0,0,0,11,8,104,6,2
2017-08-01,6,142,1,3,1,3,1,1,12,10,119,6,1
2017-09-01,6,121,0,2,0,2,0,3,20,19,151,3,0
2017-10-01,6,149,0,2,0,4,0,4,44,35,346,4,0
2017-11-01,5,74,0,2,0,0,0,0,14,18,143,7,1
2017-12-01,5,94,0,2,0,0,0,0,6,7,73,5,1
2018-01-01,4,85,0,1,0,3,0,3,7,5,32,11,0
2018-02-01,3,26,0,1,0,0,0,0,5,0,31,9,3
2018-03-01,4,74,0,1,0,0,0,0,5,1,46,11,0
2018-04-01,6,88,0,2,0,0,0,0,12,4,73,8,2
2018-05-01,5,74,0,2,0,3,0,3,17,24,245,12,1
2018-06-01,4,23,0,2,0,1,0,1,13,5,63,5,2
2018-07-01,3,79,0,2,0,0,0,0,13,14,124,9,1
2018-08-01,4,74,0,2,0,1,0,0,21,15,200,10,2
2018-09-01,5,70,1,3,1,2,0,3,25,13,136,11,1
2018-10-01,5,50,1,3,0,5,1,4,23,20,214,9,2
2018-11-01,4,56,1,2,0,1,0,1,15,7,119,15,0
2018-12-01,5,92,1,2,0,2,1,0,14,9,176,18,2
2019-01-01,5,99,2,3,0,0,0,1,11,5,44,18,2
2019-02-01,3,38,0,2,0,0,0,0,6,10,59,7,0
2019-03-01,4,33,1,3,0,2,0,2,8,6,65,14,3
2019-04-01,2,48,0,1,0,0,0,0,8,9,56,15,1
2019-05-01,3,63,0,1,0,0,0,0,24,16,127,8,0
2019-06-01,4,90,0,2,0,1,0,1,16,8,47,13,2
2019-07-01,4,83,0,2,0,1,0,1,19,12,231,6,1
2019-08-01,5,63,1,3,1,1,0,1,3,3,27,10,1
2019-09-01,5,61,1,4,1,3,0,3,17,5,53,10,3
2019-10-01,5,98,1,3,1,2,1,1,16,15,160,12,2
2019-11-01,3,77,0,2,0,0,0,0,8,17,145,17,3
2019-12-01,4,51,1,3,0,1,0,1,13,6,62,9,3
2020-01-01,5,63,0,2,0,0,0,0,4,2,38,21,1
2020-02-01,2,41,0,1,0,0,0,0,4,1,11,11,1
2020-03-01,4,45,0,2,0,1,0,1,8,4,48,9,2
2020-04-01,3,46,0,1,0,1,0,0,6,0,22,15,1
2020-05-01,2,46,0,1,0,0,0,0,6,11,60,11,3
2020-06-01,4,52,0,2,0,0,0,0,6,6,44,8,0
2020-07-01,3,46,0,1,0,0,0,0,4,3,25,8,0
2020-08-01,2,80,0,1,0,0,0,0,9,38,199,5,2
