dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,1,104,1,1,1,0,0,0,20,12,0,0,0
2016-03-01,2,93,1,1,0,12,1,10,20,20,11,1,1
2016-04-01,1,181,0,1,0,65,0,65,71,70,2,0,0
2016-05-01,1,109,0,1,0,30,0,29,31,32,23,0,0
2016-06-01,1,156,0,1,0,41,0,42,42,44,5,0,0
2016-07-01,2,147,0,1,0,37,3,35,39,41,1,0,1
2016-08-01,2,162,0,1,0,31,0,31,33,37,6,10,1
2016-09-01,2,45,0,1,0,13,0,13,16,15,17,4,0
2016-10-01,1,34,0,1,0,14,0,14,17,16,22,2,1
2016-11-01,1,64,0,1,0,14,0,14,19,18,15,3,0
2016-12-01,2,85,1,2,1,4,0,4,7,7,4,1,0
2017-01-01,2,45,0,2,0,8,3,5,18,14,23,2,0
2017-02-01,1,65,0,1,0,17,1,15,28,27,67,4,0
2017-03-01,2,112,0,2,0,8,2,7,10,14,33,2,2
2017-04-01,1,55,0,1,0,12,1,11,17,16,24,6,1
2017-05-01,1,97,0,1,0,17,2,14,28,27,63,4,2
2017-06-01,3,73,1,2,1,23,6,18,34,35,61,9,2
2017-07-01,4,72,2,4,2,28,6,21,31,30,79,6,2
2017-08-01,2,64,0,1,0,6,2,5,16,12,27,5,3
2017-09-01,2,75,0,2,0,8,1,7,14,19,43,4,1
2017-10-01,3,114,1,3,0,7,1,6,17,20,57,681,33
2017-11-01,4,69,1,3,0,8,0,8,27,28,116,277,19
2017-12-01,3,50,1,3,0,4,1,3,16,13,63,49,8
2018-01-01,3,93,1,3,1,10,3,7,40,39,115,107,19
2018-02-01,1,38,0,1,0,2,1,0,12,10,39,87,7
2018-03-01,4,73,0,4,0,4,1,3,32,28,74,105,21
2018-04-01,3,17,2,2,0,2,0,3,14,10,83,66,11
2018-05-01,2,37,0,2,0,1,0,1,21,18,89,51,12
2018-06-01,3,24,1,3,0,2,0,2,17,15,83,55,6
2018-07-01,3,12,2,3,2,4,2,2,26,18,78,63,8
2018-08-01,6,12,4,4,1,8,3,4,30,16,149,105,13
2018-09-01,7,28,5,7,2,14,8,7,37,49,176,81,15
2018-10-01,2,7,0,2,0,2,0,1,14,8,46,47,6
2018-11-01,4,10,2,3,0,3,0,4,23,19,90,63,12
2018-12-01,2,11,0,2,0,1,0,1,9,8,43,39,3
2019-01-01,3,11,2,3,0,2,0,2,10,13,56,64,9
2019-02-01,2,2,1,1,0,2,0,2,13,8,57,43,5
2019-03-01,2,6,0,2,0,2,0,2,16,9,49,55,11
2019-04-01,1,13,0,1,0,0,0,0,9,15,33,56,6
2019-05-01,4,14,2,3,0,4,0,3,22,15,87,53,6
2019-06-01,2,6,0,2,0,2,1,1,18,15,62,50,3
2019-07-01,1,24,0,1,0,0,1,0,35,26,147,59,14
2019-08-01,2,20,0,2,0,1,0,1,17,16,60,54,0
2019-09-01,2,9,0,2,0,2,0,1,25,14,63,46,1
2019-10-01,1,1,1,1,0,2,0,1,12,6,26,48,4
2019-11-01,3,21,0,3,0,1,1,2,13,33,59,51,6
2019-12-01,3,3,1,3,0,3,0,3,13,12,33,63,11
2020-01-01,0,0,0,0,0,3,2,0,17,10,43,31,4
2020-02-01,1,26,0,1,0,0,1,0,7,13,52,37,5
2020-03-01,1,1,0,1,0,1,0,0,22,13,61,42,6
2020-04-01,1,2,0,1,0,2,0,2,18,10,37,31,7
2020-05-01,0,0,0,0,0,0,0,0,19,4,28,44,4
2020-06-01,3,37,1,3,0,6,1,6,23,49,102,48,11
2020-07-01,3,8,1,3,0,10,2,6,24,19,59,59,14
2020-08-01,3,15,1,3,1,8,1,6,30,24,64,42,7
