dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,3,91,3,3,3,2,0,2,51,28,93,40,3
2015-11-01,6,135,5,4,2,7,0,6,42,22,89,25,4
2015-12-01,5,35,3,5,2,3,0,1,9,2,36,27,2
2016-01-01,7,48,4,4,2,7,0,9,16,23,86,9,3
2016-02-01,7,154,2,4,1,15,2,13,60,55,254,12,7
2016-03-01,12,147,6,9,4,41,17,20,77,75,298,44,5
2016-04-01,7,216,2,5,1,28,15,15,88,89,406,41,4
2016-05-01,6,172,1,6,1,12,4,8,59,67,240,27,1
2016-06-01,11,172,4,9,3,15,3,11,45,50,172,19,7
2016-07-01,8,64,6,7,3,6,2,7,18,18,99,16,9
2016-08-01,8,79,2,6,0,11,1,9,41,52,217,27,3
2016-09-01,8,56,2,7,1,11,1,11,33,28,173,41,5
2016-10-01,8,76,3,6,2,15,3,13,59,47,255,19,9
2016-11-01,6,44,1,6,1,6,0,4,35,29,159,34,6
2016-12-01,5,27,2,4,0,6,0,3,13,7,57,19,4
2017-01-01,9,52,3,4,0,13,5,12,20,31,90,13,1
2017-02-01,7,30,2,3,1,9,3,5,25,21,79,21,9
2017-03-01,7,20,4,4,1,9,3,6,29,18,140,15,9
2017-04-01,4,99,0,2,0,6,2,3,19,18,121,18,2
2017-05-01,9,87,4,5,2,9,1,7,45,38,235,24,3
2017-06-01,6,74,1,3,1,15,4,13,27,42,116,20,5
2017-07-01,9,27,5,6,3,12,0,9,23,16,99,17,7
2017-08-01,8,41,2,2,0,18,3,12,35,30,153,25,2
2017-09-01,5,11,3,4,2,6,2,7,13,16,95,23,3
2017-10-01,10,18,5,7,1,13,1,13,26,27,103,36,5
2017-11-01,4,19,2,3,0,5,0,5,16,19,89,23,7
2017-12-01,4,8,1,2,0,5,0,2,12,4,52,19,7
2018-01-01,3,28,1,3,1,4,0,3,17,8,59,17,1
2018-02-01,6,8,4,5,2,5,1,2,19,12,98,14,10
2018-03-01,6,25,1,5,1,7,3,8,18,27,96,21,2
2018-04-01,8,18,5,5,1,9,3,6,17,13,44,23,5
2018-05-01,5,13,3,3,0,10,0,7,16,13,41,10,4
2018-06-01,7,10,3,3,1,7,1,4,13,7,74,20,3
2018-07-01,9,51,3,3,0,14,3,12,22,23,113,24,3
2018-08-01,8,18,4,4,1,10,1,11,21,24,93,16,5
2018-09-01,5,24,1,3,0,6,3,5,18,21,127,17,1
2018-10-01,8,58,2,5,2,21,1,22,31,31,164,21,4
2018-11-01,5,33,2,2,0,13,2,12,20,17,72,18,4
2018-12-01,4,9,2,3,0,6,1,3,13,10,68,22,2
2019-01-01,9,45,2,4,1,13,0,7,18,12,86,20,1
2019-02-01,4,38,0,2,0,8,1,11,27,18,127,24,3
2019-03-01,10,55,4,7,2,18,2,16,33,34,233,15,3
2019-04-01,10,53,3,7,2,9,4,7,20,38,218,20,3
2019-05-01,5,24,0,3,0,8,1,6,15,14,115,30,3
2019-06-01,6,86,0,3,0,21,2,18,30,26,143,13,2
2019-07-01,6,34,1,4,1,12,0,12,26,22,111,19,5
2019-08-01,6,17,3,4,1,9,1,10,15,19,39,25,1
2019-09-01,6,16,2,3,0,10,1,9,16,14,79,18,2
2019-10-01,7,16,2,4,0,10,1,6,14,9,48,33,4
2019-11-01,4,8,0,3,0,5,0,7,14,13,54,19,5
2019-12-01,3,5,0,2,0,6,0,4,21,8,78,21,5
2020-01-01,5,6,2,3,0,5,0,3,10,3,40,24,2
2020-02-01,2,4,1,2,0,5,1,3,12,4,56,16,8
2020-03-01,3,15,1,2,0,7,4,4,14,14,81,16,3
2020-04-01,5,14,2,2,0,5,0,0,14,2,67,15,4
2020-05-01,3,54,1,2,0,12,3,8,33,16,81,27,2
2020-06-01,7,32,2,5,1,11,2,16,21,34,131,24,6
2020-07-01,7,33,4,4,0,5,5,4,26,33,91,17,5
2020-08-01,1,1,0,1,0,2,0,1,10,6,19,22,5
