dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,4,8,1,2,0,2,0,1,4,1,12,2,2
2015-05-01,2,10,0,1,0,0,0,0,0,0,0,1,0
2015-06-01,3,183,0,2,0,2,2,1,6,6,12,3,0
2015-07-01,8,134,4,5,3,0,0,0,8,9,27,0,0
2015-08-01,3,6,0,1,0,0,0,0,0,0,0,3,1
2015-09-01,4,10,0,2,0,0,0,0,1,1,2,1,1
2015-10-01,8,73,3,5,2,1,1,0,15,12,34,1,0
2015-11-01,8,87,1,4,0,1,1,0,14,15,57,3,0
2015-12-01,6,83,2,4,1,0,0,0,11,10,37,2,0
2016-01-01,9,108,1,5,0,0,0,0,12,13,53,3,0
2016-02-01,8,76,0,5,0,0,0,0,20,18,64,3,2
2016-03-01,9,122,0,6,0,1,1,0,30,31,84,2,1
2016-04-01,7,34,1,5,1,0,0,0,9,9,37,1,0
2016-05-01,3,4,0,2,0,0,0,0,3,1,6,4,0
2016-06-01,6,53,1,4,0,0,0,0,13,12,21,3,1
2016-07-01,7,36,0,5,0,0,0,0,10,11,15,6,0
2016-08-01,7,91,1,5,1,0,0,0,29,28,69,1,1
2016-09-01,9,152,1,6,1,0,0,0,34,33,81,7,2
2016-10-01,7,67,2,5,0,3,0,2,51,26,58,0,3
2016-11-01,12,79,3,10,2,6,5,2,30,28,86,6,0
2016-12-01,9,41,2,6,1,1,0,0,15,12,30,8,1
2017-01-01,7,122,0,4,0,0,0,0,30,21,113,8,1
2017-02-01,9,150,1,6,1,0,0,0,35,34,85,8,2
2017-03-01,12,70,3,7,2,2,0,1,27,29,86,3,5
2017-04-01,8,83,2,5,0,1,2,0,22,20,59,7,6
2017-05-01,8,38,1,6,1,0,0,0,16,13,45,4,2
2017-06-01,10,85,2,6,1,0,0,0,32,24,53,5,3
2017-07-01,9,113,0,6,0,0,0,0,38,40,69,9,1
2017-08-01,6,52,0,5,0,0,0,0,16,13,25,4,4
2017-09-01,9,49,1,7,0,0,0,0,22,24,34,7,5
2017-10-01,6,33,1,5,1,0,0,0,11,11,23,8,2
2017-11-01,10,67,1,6,0,0,0,0,19,17,16,7,1
2017-12-01,6,49,2,4,2,0,0,0,5,4,1,12,1
2018-01-01,6,74,1,4,1,0,0,0,13,6,32,10,4
2018-02-01,8,49,0,5,0,0,0,0,18,19,40,7,0
2018-03-01,6,35,1,3,0,0,0,0,16,16,25,11,4
2018-04-01,5,37,1,4,1,0,0,0,8,5,4,12,2
2018-05-01,7,14,2,5,1,1,0,0,11,5,35,9,4
2018-06-01,5,22,0,5,0,0,0,0,7,6,29,4,2
2018-07-01,9,104,2,6,1,0,0,0,14,9,49,6,1
2018-08-01,8,133,0,6,0,0,0,0,36,29,56,8,3
2018-09-01,7,116,1,6,1,2,0,2,38,35,82,4,1
2018-10-01,10,142,2,9,2,0,0,1,26,24,68,17,7
2018-11-01,8,86,1,5,0,2,0,2,20,19,40,6,1
2018-12-01,8,37,2,5,0,0,1,0,19,32,102,8,3
2019-01-01,6,30,0,5,0,0,0,0,17,16,38,6,8
2019-02-01,7,53,0,5,0,0,0,0,16,12,27,21,7
2019-03-01,8,101,0,6,0,0,0,0,27,27,52,11,8
2019-04-01,9,92,1,6,0,0,0,0,32,27,43,15,10
2019-05-01,10,124,3,6,2,0,0,0,27,30,75,8,4
2019-06-01,9,127,1,7,1,0,0,0,38,34,57,29,8
2019-07-01,9,103,0,6,0,0,0,0,35,26,74,11,7
2019-08-01,7,57,0,5,0,0,0,0,20,22,31,11,2
2019-09-01,6,59,1,4,0,0,0,0,20,20,9,12,4
2019-10-01,11,46,3,6,1,0,0,0,15,10,19,13,5
2019-11-01,10,199,0,6,0,0,0,0,36,39,89,16,4
2019-12-01,8,161,0,5,0,0,0,0,39,37,62,17,3
2020-01-01,15,210,6,10,4,0,0,0,55,57,134,27,9
2020-02-01,9,140,1,5,0,0,0,0,49,44,48,20,10
2020-03-01,11,181,2,7,2,0,0,0,54,55,63,17,11
2020-04-01,13,227,4,7,2,0,0,0,69,64,80,22,11
2020-05-01,10,68,1,6,1,0,0,0,27,21,52,29,9
2020-06-01,9,86,0,6,0,0,0,0,26,24,48,13,5
2020-07-01,8,39,1,4,0,0,0,0,14,11,18,24,9
2020-08-01,8,54,1,5,1,0,0,0,24,18,17,15,11
