dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,1,2,0,1,0,1,0,0,2,1,11,9,3
2015-12-01,1,6,0,1,0,0,0,0,4,4,20,4,0
2016-01-01,2,2,1,2,1,1,0,1,2,1,4,0,1
2016-02-01,1,1,0,1,0,0,1,0,3,3,17,2,1
2016-03-01,3,16,2,3,2,6,2,4,6,6,20,4,3
2016-04-01,1,3,0,1,0,0,0,0,1,1,4,5,0
2016-05-01,1,5,0,1,0,0,0,0,3,4,10,3,0
2016-06-01,1,4,0,1,0,0,0,0,3,3,6,2,0
2016-07-01,1,24,0,1,0,0,0,0,1,1,4,5,3
2016-08-01,1,19,0,1,0,0,0,0,2,1,8,8,0
2016-09-01,1,32,0,1,0,0,0,0,12,8,198,14,4
2016-10-01,2,32,1,2,1,1,0,1,27,22,168,12,3
2016-11-01,1,41,0,1,0,2,0,0,28,24,186,18,3
2016-12-01,3,8,1,3,0,3,1,1,11,6,57,11,1
2017-01-01,4,27,2,2,0,2,1,4,13,19,128,27,6
2017-02-01,1,20,0,1,0,0,0,0,9,10,61,33,0
2017-03-01,1,26,0,1,0,0,0,0,15,9,105,29,2
2017-04-01,1,24,0,1,0,0,0,0,12,13,88,18,0
2017-05-01,4,22,3,3,1,5,1,3,29,24,134,28,4
2017-06-01,3,45,2,2,0,2,0,2,25,28,267,26,3
2017-07-01,2,79,1,2,0,1,0,1,24,20,250,29,4
2017-08-01,3,31,2,3,0,2,0,2,16,17,88,66,4
2017-09-01,2,42,1,2,1,2,0,2,24,19,164,37,6
2017-10-01,2,13,1,2,0,5,0,4,17,14,136,41,4
2017-11-01,4,44,2,4,2,5,2,5,16,26,185,168,4
2017-12-01,1,26,0,1,0,1,1,0,20,17,102,44,5
2018-01-01,4,31,3,4,2,3,0,3,34,24,295,49,4
2018-02-01,3,67,1,3,1,3,1,2,21,23,170,51,3
2018-03-01,3,28,1,3,1,3,0,2,18,13,120,57,6
2018-04-01,3,17,0,3,0,1,0,2,12,13,79,51,5
2018-05-01,6,37,3,4,0,9,0,8,31,32,206,50,7
2018-06-01,6,18,5,6,3,5,1,5,20,14,184,44,6
2018-07-01,2,8,1,2,0,1,0,1,11,10,95,46,4
2018-08-01,1,17,0,1,0,1,0,0,20,12,189,72,4
2018-09-01,4,6,2,3,1,6,1,4,16,11,78,33,6
2018-10-01,3,16,1,2,0,20,2,12,40,18,235,63,5
2018-11-01,7,76,4,5,2,41,5,35,77,80,812,49,8
2018-12-01,6,34,1,4,0,22,2,23,41,34,306,64,3
2019-01-01,8,32,4,6,1,12,2,10,32,27,281,56,8
2019-02-01,4,45,2,4,2,23,1,23,48,48,304,76,5
2019-03-01,3,28,0,3,0,18,3,16,35,35,167,81,10
2019-04-01,4,36,1,3,1,11,0,9,35,28,207,69,5
2019-05-01,2,6,0,2,0,7,1,3,21,16,105,56,11
2019-06-01,4,20,2,4,1,11,2,10,19,21,111,84,5
2019-07-01,2,7,0,2,0,4,1,5,12,13,77,50,2
2019-08-01,3,5,2,3,1,5,1,4,13,7,84,56,9
2019-09-01,3,13,2,3,0,8,0,7,30,24,143,49,3
2019-10-01,2,10,0,2,0,10,0,9,23,16,86,49,6
2019-11-01,4,11,2,4,2,6,0,7,19,18,76,59,4
2019-12-01,1,9,0,1,0,4,0,3,14,7,87,73,3
2020-01-01,5,13,3,3,0,10,0,8,22,17,107,147,18
2020-02-01,5,22,3,5,3,17,1,18,27,39,131,104,8
2020-03-01,5,37,3,5,2,32,1,31,55,46,228,128,10
2020-04-01,5,26,2,4,1,24,1,23,51,53,277,102,7
2020-05-01,6,16,3,4,0,14,0,15,32,28,128,106,13
2020-06-01,5,16,3,5,2,6,0,4,12,9,65,91,6
2020-07-01,5,12,4,5,3,8,5,9,18,25,124,74,16
2020-08-01,8,21,4,7,1,17,1,17,37,40,220,112,14
