dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,2,63,1,2,1,1,0,1,6,2,29,13,2
2016-01-01,4,35,3,2,1,4,0,3,19,15,174,25,3
2016-02-01,3,51,1,2,1,3,2,2,23,15,239,44,6
2016-03-01,4,81,2,4,2,20,5,15,54,43,330,70,12
2016-04-01,3,60,1,3,0,2,0,1,20,11,139,46,11
2016-05-01,7,64,6,4,3,9,2,6,33,22,327,35,9
2016-06-01,9,104,3,8,2,11,1,8,28,39,407,36,8
2016-07-01,7,70,1,6,1,17,1,12,42,37,625,35,8
2016-08-01,9,71,4,7,2,18,0,18,41,40,660,23,10
2016-09-01,7,76,2,6,2,16,2,12,61,49,710,17,8
2016-10-01,5,46,1,5,0,11,1,12,28,37,371,11,12
2016-11-01,4,44,1,4,1,7,1,9,18,26,267,19,7
2016-12-01,3,53,0,3,0,2,0,2,33,27,263,7,3
2017-01-01,3,48,0,3,0,8,2,6,21,29,318,13,5
2017-02-01,4,66,0,4,0,5,0,6,31,24,264,18,5
2017-03-01,3,60,0,3,0,11,1,8,44,20,356,10,7
2017-04-01,3,49,0,3,0,8,0,12,20,24,327,12,3
2017-05-01,2,28,0,2,0,5,0,3,21,16,215,10,3
2017-06-01,1,7,0,1,0,1,1,3,11,17,128,9,2
2017-07-01,1,10,0,1,0,4,0,3,13,11,180,14,1
2017-08-01,3,25,1,2,0,4,0,5,13,16,153,26,3
2017-09-01,5,48,3,5,3,21,3,8,25,12,250,29,4
2017-10-01,3,59,1,3,1,14,1,14,33,31,431,28,10
2017-11-01,4,61,0,4,0,11,1,14,34,34,400,15,10
2017-12-01,2,9,0,2,0,4,1,2,4,6,42,15,10
2018-01-01,3,43,1,3,1,12,0,10,29,19,229,19,11
2018-02-01,4,43,2,3,1,7,0,8,15,18,195,19,5
2018-03-01,5,45,1,4,0,12,1,10,28,25,211,14,2
2018-04-01,8,65,4,4,0,14,1,15,35,36,253,23,14
2018-05-01,5,88,2,5,2,10,2,8,39,43,299,18,8
2018-06-01,2,22,1,1,0,5,1,7,11,12,81,15,5
2018-07-01,5,14,3,3,0,5,0,2,10,4,84,9,4
2018-08-01,2,16,1,2,0,5,1,4,13,7,131,17,6
2018-09-01,5,15,2,3,1,7,2,6,12,9,78,14,9
2018-10-01,5,20,1,3,1,8,2,4,19,11,142,19,16
2018-11-01,5,24,2,3,0,4,1,3,15,8,108,20,5
2018-12-01,4,20,0,1,0,6,4,4,10,11,169,13,10
2019-01-01,6,15,1,4,0,5,1,4,12,10,120,24,14
2019-02-01,10,19,5,3,1,11,0,7,15,64,417,27,14
2019-03-01,6,16,2,4,1,11,2,9,16,12,75,23,10
2019-04-01,4,5,2,3,0,7,0,5,13,7,62,19,16
2019-05-01,4,4,2,2,0,4,1,4,16,8,66,9,10
2019-06-01,2,5,0,2,0,5,1,5,11,19,141,24,15
2019-07-01,2,2,2,2,0,3,0,2,10,7,77,36,8
2019-08-01,2,5,0,2,0,12,1,5,22,11,82,31,2
2019-09-01,4,12,3,2,0,9,1,12,21,21,127,27,10
2019-10-01,11,25,2,4,0,28,7,25,50,50,282,21,20
2019-11-01,3,6,0,2,0,9,1,6,16,10,98,19,12
2019-12-01,4,11,2,3,0,16,0,11,25,14,138,21,14
2020-01-01,9,21,4,4,1,23,3,21,39,37,279,20,10
2020-02-01,5,17,0,4,0,16,3,15,39,30,210,24,12
2020-03-01,3,7,1,3,0,14,2,7,32,30,290,32,16
2020-04-01,4,14,1,4,1,6,1,14,25,40,226,31,14
2020-05-01,8,15,1,5,1,14,2,13,30,27,202,26,17
2020-06-01,6,12,2,3,0,11,0,12,25,20,179,24,12
2020-07-01,5,7,2,4,2,11,1,7,23,15,105,15,9
2020-08-01,1,1,0,1,0,0,1,1,11,10,48,17,11
