dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,8,43,3,3,2,0,0,0,263,225,2391,9,1
2015-05-01,4,72,1,2,0,0,0,0,29,27,207,3,4
2015-06-01,9,115,2,2,1,0,0,0,42,32,371,1,2
2015-07-01,9,88,3,4,2,0,0,0,40,34,472,3,1
2015-08-01,9,107,2,3,0,0,0,0,33,31,491,6,1
2015-09-01,9,129,1,4,1,0,0,0,52,54,550,5,1
2015-10-01,8,146,1,5,1,0,0,0,55,48,638,6,4
2015-11-01,8,69,0,5,0,0,0,0,36,31,260,3,3
2015-12-01,12,294,3,8,2,0,0,0,53,45,677,5,4
2016-01-01,12,213,2,6,0,0,0,0,80,74,1002,5,3
2016-02-01,14,160,3,7,1,0,0,0,64,63,785,3,1
2016-03-01,18,111,8,8,2,0,0,0,64,38,1145,4,7
2016-04-01,10,88,0,5,0,0,0,0,26,34,707,3,3
2016-05-01,9,72,0,6,0,0,0,0,28,21,500,4,2
2016-06-01,8,34,1,6,1,0,0,0,19,11,296,1,2
2016-07-01,9,94,1,5,1,0,0,0,35,24,671,8,3
2016-08-01,12,89,0,7,0,0,0,0,47,33,829,5,2
2016-09-01,13,128,2,5,1,0,0,0,46,41,520,4,2
2016-10-01,8,119,1,5,1,1,0,1,45,24,378,9,4
2016-11-01,7,53,0,3,0,0,0,0,43,69,756,6,0
2016-12-01,9,58,0,4,0,0,0,0,45,32,451,4,1
2017-01-01,10,118,2,5,0,0,0,0,50,61,849,4,4
2017-02-01,12,46,3,5,1,0,0,0,28,29,362,7,7
2017-03-01,10,48,2,6,1,0,0,0,53,49,579,6,5
2017-04-01,12,47,2,5,0,0,0,0,51,43,538,5,4
2017-05-01,9,63,2,6,0,0,0,0,43,48,539,5,2
2017-06-01,12,107,3,5,1,1,0,1,78,75,1213,3,3
2017-07-01,8,132,0,5,0,0,0,0,124,127,1423,3,2
2017-08-01,9,127,2,5,1,0,0,0,86,84,461,5,2
2017-09-01,7,60,1,4,0,0,0,0,19,29,241,4,2
2017-10-01,8,29,1,5,1,0,0,0,16,13,150,8,5
2017-11-01,8,54,1,5,1,0,0,0,26,20,246,9,1
2017-12-01,8,45,0,5,0,0,0,0,31,32,443,9,0
2018-01-01,9,28,1,4,0,0,0,0,15,22,228,5,1
2018-02-01,10,57,3,4,0,0,0,0,26,19,215,5,4
2018-03-01,17,93,6,8,1,0,0,0,58,49,642,6,9
2018-04-01,8,42,1,5,1,0,0,0,30,28,259,7,3
2018-05-01,9,48,1,6,0,0,0,0,48,47,545,7,2
2018-06-01,10,113,2,5,1,0,0,0,37,30,415,9,8
2018-07-01,13,205,1,5,1,0,0,0,53,33,656,5,3
2018-08-01,14,87,2,8,1,0,0,0,44,48,528,8,4
2018-09-01,6,34,1,5,0,0,0,0,24,23,274,6,2
2018-10-01,6,27,2,5,1,1,0,1,44,38,343,5,1
2018-11-01,6,17,2,5,2,1,0,1,25,13,168,9,6
2018-12-01,8,22,1,6,1,0,0,0,13,19,74,5,4
2019-01-01,7,29,0,4,0,0,0,0,25,18,269,10,8
2019-02-01,8,73,2,5,1,0,0,0,20,22,237,12,7
2019-03-01,8,31,2,5,0,0,0,0,17,6,193,13,3
2019-04-01,8,44,1,4,0,0,0,0,28,32,434,16,3
2019-05-01,3,3,1,3,0,0,0,0,12,6,94,10,5
2019-06-01,2,2,0,1,0,0,0,0,13,6,68,9,2
2019-07-01,7,19,3,3,2,0,0,0,24,23,188,10,4
2019-08-01,11,30,5,6,2,0,0,0,32,30,245,9,3
2019-09-01,6,10,1,2,0,0,0,0,19,8,109,9,9
2019-10-01,8,39,1,6,1,0,0,0,28,21,265,10,6
2019-11-01,7,24,2,5,1,0,0,0,24,20,218,4,2
2019-12-01,2,20,0,2,0,0,0,0,21,10,96,11,4
2020-01-01,9,34,1,5,0,0,0,0,59,40,344,9,5
2020-02-01,14,55,3,8,2,0,0,0,82,71,648,27,10
2020-03-01,22,65,14,9,3,0,0,0,81,87,1277,21,23
2020-04-01,5,21,0,3,0,0,0,0,22,14,224,17,6
2020-05-01,10,31,3,6,2,0,0,0,31,35,360,23,7
2020-06-01,11,52,3,6,2,3,0,2,100,80,1059,13,8
2020-07-01,14,37,2,8,0,0,0,0,78,56,502,14,8
2020-08-01,12,20,3,7,0,1,1,0,41,49,773,11,8
