dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,5,118,0,2,0,0,0,0,2,1,0,0,0
2016-10-01,4,90,0,2,0,0,0,0,1,0,0,0,0
2016-11-01,3,14,0,1,0,0,0,0,2,2,0,0,0
2016-12-01,3,39,0,2,0,0,0,0,0,1,0,0,0
2017-01-01,2,23,0,2,0,0,0,0,1,0,0,0,0
2017-02-01,7,120,0,3,0,0,0,0,2,3,0,0,0
2017-03-01,3,81,0,2,0,0,0,0,1,1,0,0,0
2017-04-01,6,107,2,2,0,0,0,0,1,1,0,0,0
2017-05-01,4,82,0,2,0,0,0,0,21,0,16,0,0
2017-06-01,7,152,1,3,0,0,0,0,13,5,13,0,0
2017-07-01,4,90,0,2,0,0,0,0,10,1,11,5,0
2017-08-01,8,142,1,3,0,0,0,0,14,9,5,7,0
2017-09-01,8,133,1,4,1,0,0,0,26,19,49,11,0
2017-10-01,7,89,0,4,0,0,0,0,22,21,44,8,0
2017-11-01,8,96,3,5,2,0,0,0,29,15,49,13,4
2017-12-01,7,88,1,4,1,1,0,1,20,18,37,6,4
2018-01-01,8,105,0,4,0,0,0,0,17,19,33,16,1
2018-02-01,12,137,4,6,2,1,1,0,38,32,75,7,3
2018-03-01,8,90,1,4,1,2,2,0,35,17,81,22,5
2018-04-01,7,79,0,3,0,0,0,0,20,28,53,17,2
2018-05-01,7,41,1,3,0,0,0,0,27,20,51,16,1
2018-06-01,6,30,1,3,1,0,0,0,22,14,46,13,2
2018-07-01,5,96,0,2,0,0,0,0,18,24,35,18,3
2018-08-01,3,12,0,1,0,0,0,0,8,2,12,13,1
2018-09-01,5,28,0,1,0,0,0,0,8,5,22,11,0
2018-10-01,9,97,3,4,2,0,0,0,19,23,97,15,1
2018-11-01,7,97,0,2,0,0,0,0,50,38,124,15,4
2018-12-01,2,4,0,2,0,0,0,0,7,2,15,14,2
2019-01-01,6,72,0,2,0,0,0,0,33,24,59,17,3
2019-02-01,6,166,0,3,0,0,0,0,12,11,48,12,2
2019-03-01,9,128,2,4,1,1,1,0,25,26,54,20,4
2019-04-01,7,141,2,4,2,1,0,1,29,37,78,15,1
2019-05-01,8,126,1,4,1,0,0,0,24,57,103,12,1
2019-06-01,6,135,1,3,0,0,0,0,27,54,117,12,1
2019-07-01,7,137,3,5,3,0,0,0,50,39,80,19,2
2019-08-01,6,93,0,3,0,0,0,0,34,37,78,12,3
2019-09-01,6,51,0,3,0,0,0,0,17,13,41,11,6
2019-10-01,6,72,0,3,0,0,0,0,28,23,59,11,3
2019-11-01,5,31,1,3,0,0,0,0,31,25,27,11,4
2019-12-01,6,51,1,3,1,0,0,0,30,20,41,11,2
2020-01-01,5,57,0,3,0,0,0,0,22,18,57,18,2
2020-02-01,5,35,0,3,0,0,0,0,19,6,16,11,1
2020-03-01,6,34,0,3,0,0,0,0,19,14,13,7,4
2020-04-01,7,51,1,5,1,0,0,0,24,20,29,8,2
2020-05-01,7,50,2,5,0,0,0,0,15,22,51,4,2
2020-06-01,5,28,0,4,0,0,0,0,5,4,3,4,2
2020-07-01,6,18,1,3,0,0,0,0,13,14,38,4,2
2020-08-01,7,198,2,5,1,0,0,0,10,10,15,7,3
