dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,6,104,2,1,0,0,0,0,8,4,6,17,2
2016-12-01,5,47,0,1,0,2,2,0,25,18,148,25,3
2017-01-01,8,40,4,4,2,3,1,2,34,20,183,27,6
2017-02-01,9,28,4,5,3,2,0,1,27,15,152,24,8
2017-03-01,5,72,0,2,0,5,2,3,23,27,187,38,8
2017-04-01,6,18,2,2,0,3,0,1,27,14,113,27,4
2017-05-01,1,6,0,1,0,0,0,0,15,9,92,29,6
2017-06-01,3,5,0,1,0,0,0,0,16,9,70,25,5
2017-07-01,2,5,1,2,1,2,0,1,14,14,66,14,7
2017-08-01,0,0,0,0,0,0,0,0,9,0,20,22,5
2017-09-01,5,7,3,2,0,2,0,1,23,6,63,22,4
2017-10-01,1,1,0,1,0,0,0,0,14,5,68,24,10
2017-11-01,1,4,0,1,0,2,0,0,16,1,35,17,9
2017-12-01,1,2,0,1,0,0,0,0,8,3,35,24,5
2018-01-01,2,25,0,1,0,1,0,0,13,11,64,38,10
2018-02-01,5,101,0,1,0,0,3,2,12,26,91,22,3
2018-03-01,3,46,1,2,0,2,1,1,16,9,47,24,6
2018-04-01,3,84,1,2,0,0,0,0,13,10,43,36,13
2018-05-01,4,15,0,2,0,0,0,0,10,7,46,43,13
2018-06-01,2,7,0,2,0,0,0,0,12,4,27,26,6
2018-07-01,0,0,0,0,0,0,0,0,8,0,18,20,0
2018-08-01,3,3,1,2,1,2,0,1,11,12,37,32,10
2018-09-01,2,5,1,2,1,1,0,0,11,5,47,23,8
2018-10-01,6,13,5,4,2,7,0,5,27,8,82,42,16
2018-11-01,0,0,0,0,0,0,0,0,8,3,23,33,8
2018-12-01,2,2,1,2,0,1,0,0,6,5,16,30,9
2019-01-01,1,3,0,1,0,0,0,0,7,1,18,22,7
2019-02-01,1,1,1,1,1,2,0,0,13,0,30,29,7
2019-03-01,1,1,1,1,0,1,0,0,14,9,53,41,14
2019-04-01,0,0,0,0,0,0,0,0,4,2,12,48,12
2019-05-01,1,2,1,1,0,2,1,0,11,1,21,42,10
2019-06-01,0,0,0,0,0,0,0,0,8,0,23,42,10
2019-07-01,0,0,0,0,0,0,0,0,7,1,22,38,14
2019-08-01,1,1,1,1,1,1,0,0,7,1,15,33,8
2019-09-01,0,0,0,0,0,0,0,0,2,1,5,34,7
2019-10-01,4,6,3,3,0,5,0,1,14,4,37,40,11
2019-11-01,3,33,3,3,2,4,0,1,13,4,97,53,9
2019-12-01,6,131,1,4,0,26,7,30,38,48,192,50,11
2020-01-01,3,108,0,1,0,10,2,17,15,34,93,44,9
2020-02-01,4,108,0,3,0,9,1,8,26,46,210,34,13
2020-03-01,4,64,2,3,1,14,0,11,41,22,189,48,11
2020-04-01,7,126,2,4,0,16,2,15,37,50,253,92,25
2020-05-01,5,177,1,5,1,15,0,14,38,26,166,66,15
2020-06-01,9,143,2,4,0,14,1,14,41,72,316,59,13
2020-07-01,5,53,1,5,1,3,1,3,18,99,286,79,16
2020-08-01,4,58,2,2,0,7,0,5,25,13,75,45,20
