dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,1,56,0,1,0,3,0,3,3,3,0,0,0
2016-08-01,2,35,1,1,0,5,1,4,5,5,0,0,0
2016-09-01,3,47,1,1,0,6,1,5,6,6,0,0,0
2016-10-01,3,147,0,1,0,24,5,19,85,51,230,0,3
2016-11-01,4,183,1,1,0,46,2,44,87,83,238,31,10
2016-12-01,8,111,5,5,4,34,3,31,65,60,294,19,10
2017-01-01,10,171,6,5,2,43,3,38,66,72,229,23,18
2017-02-01,6,65,2,5,1,15,0,15,34,37,213,23,19
2017-03-01,14,167,8,9,5,31,3,28,57,50,376,27,17
2017-04-01,8,36,2,5,1,12,1,11,30,21,143,18,12
2017-05-01,8,35,3,4,2,13,1,10,41,26,312,27,25
2017-06-01,9,32,7,5,3,19,9,5,60,43,281,18,23
2017-07-01,12,94,5,4,0,23,7,22,69,71,449,20,17
2017-08-01,7,33,4,4,1,14,1,8,47,20,247,30,21
2017-09-01,11,57,2,7,1,19,2,20,47,50,249,26,23
2017-10-01,7,12,3,5,3,15,1,4,54,18,220,31,22
2017-11-01,5,48,2,2,0,17,1,22,38,53,209,23,25
2017-12-01,5,16,1,2,0,14,2,9,28,28,100,19,18
2018-01-01,2,8,1,2,0,5,0,1,28,14,146,21,31
2018-02-01,0,0,0,0,0,2,1,0,18,4,77,25,13
2018-03-01,12,32,7,7,0,22,3,31,56,55,228,18,20
2018-04-01,3,13,1,2,0,7,0,5,39,11,129,32,20
2018-05-01,2,4,0,2,0,3,0,2,30,10,153,39,17
2018-06-01,2,13,1,2,0,18,3,13,33,95,499,21,24
2018-07-01,6,18,4,5,1,10,2,8,35,18,158,25,29
2018-08-01,5,9,3,2,0,10,1,9,64,35,280,24,19
2018-09-01,2,7,0,2,0,14,3,6,51,55,277,23,22
2018-10-01,2,7,0,2,0,10,4,7,95,126,460,19,15
2018-11-01,6,23,4,3,0,23,16,17,138,128,895,28,29
2018-12-01,5,32,1,3,0,35,3,29,128,142,749,23,19
2019-01-01,6,39,3,3,0,42,6,38,127,129,771,41,35
2019-02-01,9,38,4,5,0,30,2,30,94,103,691,35,33
2019-03-01,10,15,3,7,2,16,1,14,81,74,491,41,28
2019-04-01,5,48,2,3,0,34,3,31,84,103,641,35,32
2019-05-01,12,49,4,4,0,33,3,29,107,97,537,46,36
2019-06-01,11,54,7,5,2,40,7,31,83,89,513,17,32
2019-07-01,4,37,1,2,0,39,3,37,111,105,659,36,24
2019-08-01,11,44,6,6,3,48,5,44,125,121,646,25,32
2019-09-01,4,16,1,2,0,18,0,16,57,54,306,11,27
2019-10-01,3,28,1,1,0,31,5,28,96,82,282,10,26
2019-11-01,5,44,2,3,0,45,2,44,113,123,631,17,38
2019-12-01,5,35,1,4,0,42,3,35,142,90,365,7,19
2020-01-01,5,25,2,4,1,28,7,25,82,108,599,15,30
2020-02-01,5,22,2,2,0,23,4,22,91,86,464,22,26
2020-03-01,6,21,2,3,0,26,1,21,96,85,371,27,39
2020-04-01,5,16,3,5,2,15,1,16,69,93,445,26,34
2020-05-01,2,8,0,2,0,11,1,8,52,37,271,24,31
2020-06-01,10,25,5,5,0,23,1,25,98,87,326,23,25
2020-07-01,4,14,0,2,0,20,2,14,87,49,223,14,13
2020-08-01,7,19,4,3,0,21,3,19,69,63,304,24,28
