dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,1,42,1,1,1,0,0,0,12,8,27,20,0
2016-01-01,4,259,3,4,3,0,0,0,23,26,95,317,31
2016-02-01,5,102,2,3,0,0,0,0,24,22,263,89,17
2016-03-01,7,146,4,4,2,0,0,0,42,45,269,65,12
2016-04-01,2,39,0,1,0,0,0,0,20,18,163,175,6
2016-05-01,2,26,0,1,0,0,0,0,16,18,185,64,5
2016-06-01,2,21,1,1,0,0,0,0,18,17,134,50,11
2016-07-01,4,33,2,2,0,0,0,0,14,13,105,51,4
2016-08-01,1,36,0,1,0,0,0,0,14,15,212,78,4
2016-09-01,9,80,6,5,2,0,0,0,47,44,485,54,14
2016-10-01,4,24,0,2,0,0,0,0,24,27,214,56,8
2016-11-01,5,34,1,1,0,0,0,0,27,24,295,61,11
2016-12-01,3,4,1,2,1,0,0,0,24,24,249,57,10
2017-01-01,3,15,0,1,0,0,0,0,22,15,119,44,7
2017-02-01,5,31,3,4,3,0,0,0,24,28,208,46,5
2017-03-01,7,19,3,2,0,0,0,0,28,27,182,124,13
2017-04-01,3,34,2,3,1,0,0,0,26,27,140,65,11
2017-05-01,5,33,2,3,1,0,0,0,32,31,318,70,14
2017-06-01,2,48,0,1,0,0,0,0,28,27,200,52,11
2017-07-01,4,46,1,2,0,0,0,0,34,32,225,51,4
2017-08-01,4,16,2,2,1,0,0,0,36,35,311,76,6
2017-09-01,1,5,0,1,0,0,0,0,10,15,88,38,5
2017-10-01,1,23,0,1,0,0,0,0,5,7,100,49,8
2017-11-01,2,26,0,2,0,0,0,0,26,21,150,65,11
2017-12-01,3,32,1,2,1,0,0,0,18,23,142,50,8
2018-01-01,4,47,2,1,0,0,0,0,34,30,233,54,14
2018-02-01,2,18,1,1,0,0,0,0,18,20,140,41,7
2018-03-01,0,0,0,0,0,0,0,0,12,14,84,63,7
2018-04-01,3,9,2,2,1,0,0,0,12,5,54,75,5
2018-05-01,3,9,1,2,1,0,0,0,15,13,60,40,11
2018-06-01,1,26,0,1,0,0,0,0,9,17,85,51,7
2018-07-01,1,7,0,1,0,0,0,0,13,13,158,31,8
2018-08-01,1,7,0,1,0,0,0,0,12,12,119,46,6
2018-09-01,1,17,0,1,0,0,0,0,6,10,59,47,6
2018-10-01,2,55,0,1,0,0,0,0,12,9,81,34,3
2018-11-01,1,21,0,1,0,0,0,0,6,7,51,31,9
2018-12-01,2,9,0,1,0,0,0,0,4,5,8,23,3
2019-01-01,2,2,1,2,1,0,0,0,4,4,32,37,5
2019-02-01,1,15,0,1,0,0,0,0,5,2,37,31,4
2019-03-01,3,18,1,1,0,0,0,0,11,10,41,33,2
2019-04-01,2,7,1,2,1,0,0,0,3,2,3,27,7
2019-05-01,0,0,0,0,0,0,0,0,3,2,14,32,6
2019-06-01,2,100,0,2,0,0,0,0,30,33,178,28,4
2019-07-01,3,40,1,3,1,0,0,0,11,14,52,39,5
2019-08-01,2,3,0,2,0,0,0,0,2,2,16,47,4
2019-09-01,2,6,1,2,1,0,0,0,7,1,39,47,6
2019-10-01,2,23,1,1,0,0,0,0,6,11,53,43,4
2019-11-01,2,7,0,2,0,0,0,0,9,5,38,50,6
2019-12-01,4,30,2,3,0,0,0,0,17,19,91,36,4
2020-01-01,3,20,2,2,1,0,0,0,9,9,47,29,8
2020-02-01,3,26,2,2,1,0,0,0,12,16,89,22,5
2020-03-01,1,10,0,1,0,0,0,0,4,3,36,27,12
2020-04-01,4,7,1,4,1,0,0,0,8,4,43,61,6
2020-05-01,3,14,0,3,0,0,0,0,8,10,86,36,3
2020-06-01,1,6,0,1,0,0,0,0,7,7,49,37,8
2020-07-01,4,23,1,3,0,0,0,0,10,11,51,53,6
2020-08-01,1,2,0,1,0,0,0,0,4,4,20,34,5
