dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,4,143,4,4,4,5,2,3,8,6,81,101,5
2016-10-01,9,112,7,7,5,20,5,15,33,28,85,128,11
2016-11-01,3,88,1,3,1,3,0,2,6,5,22,42,4
2016-12-01,9,129,7,4,1,12,2,11,23,28,154,387,16
2017-01-01,8,125,6,3,1,29,3,25,39,34,266,165,11
2017-02-01,7,80,5,5,3,17,0,18,24,29,136,64,7
2017-03-01,5,156,2,2,0,7,0,5,12,9,83,70,3
2017-04-01,1,35,0,1,0,1,1,1,5,4,12,27,2
2017-05-01,2,8,1,1,0,1,1,1,2,4,21,46,1
2017-06-01,6,13,2,4,1,9,0,7,17,9,115,45,4
2017-07-01,3,35,1,3,0,9,3,3,17,12,133,26,4
2017-08-01,6,51,4,2,0,10,2,10,17,21,79,371,16
2017-09-01,5,80,3,4,2,6,3,6,15,19,111,54,6
2017-10-01,15,53,13,9,6,31,6,23,44,36,261,40,21
2017-11-01,4,40,2,3,1,8,1,9,22,33,267,29,3
2017-12-01,3,78,1,2,0,24,6,18,38,33,179,36,4
2018-01-01,6,89,2,5,2,33,6,27,57,54,243,133,8
2018-02-01,3,21,1,2,0,7,0,7,10,16,72,33,1
2018-03-01,3,13,1,2,0,19,7,12,22,25,141,38,2
2018-04-01,5,14,2,5,1,11,4,7,19,17,65,53,4
2018-05-01,1,1,0,1,0,10,4,0,11,5,18,33,2
2018-06-01,3,8,1,3,0,7,10,2,14,15,93,23,4
2018-07-01,4,7,2,3,1,9,2,5,13,9,81,26,3
2018-08-01,3,5,0,2,0,7,3,3,11,7,66,36,5
2018-09-01,5,21,2,4,1,14,5,11,21,23,91,37,6
2018-10-01,12,46,8,6,2,27,5,20,36,42,228,55,12
2018-11-01,4,27,1,3,0,22,14,12,35,34,163,34,4
2018-12-01,3,51,0,3,0,7,0,7,14,13,43,38,3
2019-01-01,6,33,3,5,1,12,0,10,16,11,79,33,2
2019-02-01,5,20,3,3,1,16,6,6,17,15,67,39,5
2019-03-01,7,29,3,3,0,17,10,10,22,30,135,36,3
2019-04-01,6,13,0,4,0,13,12,3,15,16,70,38,4
2019-05-01,3,8,0,2,0,7,4,3,8,10,54,47,3
2019-06-01,6,23,3,3,0,12,0,13,14,16,87,30,2
2019-07-01,2,11,0,2,0,5,0,5,8,7,49,22,1
2019-08-01,3,28,0,3,0,10,2,8,13,14,55,28,7
2019-09-01,4,7,1,3,0,4,0,4,6,4,27,24,3
2019-10-01,6,12,3,3,0,20,10,9,21,23,73,28,5
2019-11-01,4,8,1,3,1,18,10,4,22,15,65,28,6
2019-12-01,3,17,0,2,0,18,14,7,24,30,125,18,4
2020-01-01,1,12,0,1,0,7,4,2,15,10,48,22,7
2020-02-01,2,14,0,2,0,10,9,3,12,14,42,62,3
2020-03-01,2,4,0,2,0,11,7,3,12,12,39,23,2
2020-04-01,2,2,1,2,0,11,5,2,12,11,49,37,5
2020-05-01,3,20,1,2,0,16,3,19,16,24,74,107,7
2020-06-01,4,42,2,3,1,26,3,21,34,31,176,84,4
2020-07-01,2,17,0,2,0,18,9,10,21,23,51,41,1
2020-08-01,2,12,0,2,0,13,2,9,16,15,30,70,3
