dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,2,170,2,2,2,72,0,72,73,73,128,0,2
2015-06-01,6,63,4,5,3,27,0,27,28,27,22,7,1
2015-07-01,4,61,0,3,0,30,0,30,38,38,20,3,0
2015-08-01,2,38,0,2,0,16,0,16,16,16,4,0,0
2015-09-01,2,20,0,2,0,9,0,9,11,9,0,0,1
2015-10-01,4,49,2,3,1,24,0,23,27,24,22,1,3
2015-11-01,4,70,2,3,0,35,1,35,44,45,11,44,1
2015-12-01,5,66,1,4,0,34,3,30,52,54,212,6,1
2016-01-01,7,60,4,6,3,27,1,27,34,33,46,7,3
2016-02-01,4,15,0,3,0,9,1,6,13,9,27,7,4
2016-03-01,9,66,3,5,1,31,4,28,35,40,54,10,6
2016-04-01,8,20,3,5,0,14,1,14,19,21,52,4,4
2016-05-01,7,15,2,4,0,14,0,12,21,17,57,7,7
2016-06-01,7,12,3,4,1,12,3,11,16,16,30,6,2
2016-07-01,8,27,1,3,0,24,1,22,40,34,44,16,0
2016-08-01,10,24,3,4,0,24,0,22,33,30,61,44,9
2016-09-01,8,19,4,4,1,20,1,18,26,25,62,20,6
2016-10-01,6,14,2,3,1,12,1,12,20,20,54,14,4
2016-11-01,4,8,2,2,0,8,1,7,11,11,46,18,5
2016-12-01,8,23,3,4,1,27,7,22,32,41,110,11,6
2017-01-01,5,7,0,3,0,4,0,5,7,7,28,19,5
2017-02-01,5,8,1,3,0,10,1,7,21,16,143,13,1
2017-03-01,6,12,0,4,0,13,1,12,16,20,44,16,6
2017-04-01,8,22,3,6,2,25,2,22,36,36,162,11,2
2017-05-01,6,11,1,3,0,12,2,10,27,21,197,14,5
2017-06-01,6,21,3,3,0,26,2,21,38,37,379,13,7
2017-07-01,8,21,3,3,0,22,4,20,41,37,230,18,6
2017-08-01,6,11,3,3,1,12,2,11,32,32,246,15,6
2017-09-01,9,15,2,5,1,17,2,13,28,34,170,9,2
2017-10-01,6,17,1,3,1,17,1,17,24,26,98,13,4
2017-11-01,9,19,5,4,1,19,4,14,30,28,166,14,9
2017-12-01,5,7,1,2,0,8,1,5,14,13,114,10,6
2018-01-01,7,9,1,3,0,7,3,8,11,16,107,19,1
2018-02-01,7,14,1,2,0,13,3,12,20,26,83,12,1
2018-03-01,10,16,3,4,0,19,3,14,27,24,84,15,6
2018-04-01,10,16,2,5,1,11,0,14,14,18,43,13,6
2018-05-01,3,3,1,2,0,6,3,2,12,11,75,11,7
2018-06-01,6,9,2,3,0,8,0,7,14,13,39,18,2
2018-07-01,7,9,3,5,3,9,1,8,11,11,53,12,7
2018-08-01,3,5,0,2,0,6,0,5,8,7,14,17,2
2018-09-01,4,7,1,2,0,5,2,5,9,10,34,17,8
2018-10-01,4,6,2,4,1,7,2,4,11,10,27,11,6
2018-11-01,4,5,2,3,0,5,1,3,7,7,30,9,8
2018-12-01,1,1,0,1,0,3,3,1,6,7,32,20,2
2019-01-01,5,17,1,3,1,13,2,12,15,16,57,21,7
2019-02-01,4,8,1,3,1,6,1,5,13,12,93,24,3
2019-03-01,3,6,0,2,0,5,0,3,11,6,63,19,5
2019-04-01,5,6,1,2,0,5,1,4,8,9,45,18,5
2019-05-01,9,14,6,5,2,9,1,10,15,19,96,18,7
2019-06-01,5,10,1,3,1,8,2,5,13,12,105,25,4
2019-07-01,6,7,2,4,0,5,0,5,14,12,114,12,7
2019-08-01,4,4,1,3,0,5,1,3,9,8,37,15,7
2019-09-01,5,11,0,3,0,10,2,8,16,16,75,21,5
2019-10-01,4,8,1,3,0,6,2,5,12,13,123,29,8
2019-11-01,6,9,2,3,0,6,1,6,8,10,66,31,12
2019-12-01,4,7,1,3,0,10,2,6,18,14,66,23,10
2020-01-01,8,16,2,4,1,12,0,14,16,20,59,25,6
2020-02-01,6,9,2,4,1,7,1,6,12,11,66,25,9
2020-03-01,9,12,4,5,2,14,3,11,20,18,73,35,8
2020-04-01,9,23,3,6,2,18,2,16,26,28,150,35,7
2020-05-01,7,10,3,4,0,10,0,9,15,14,30,32,10
2020-06-01,8,10,2,4,1,18,2,8,23,14,77,41,7
2020-07-01,10,37,3,4,1,27,8,29,36,45,106,28,9
2020-08-01,7,21,1,4,1,17,0,16,23,22,36,38,8
