dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,2,40,2,2,2,0,0,0,456,394,3804,10,0
2015-07-01,2,62,1,2,1,2,2,0,10,18,161,22,2
2015-08-01,1,10,0,1,0,3,1,0,8,7,194,24,4
2015-09-01,3,39,2,3,1,0,0,0,6,14,157,14,2
2015-10-01,4,29,2,3,1,0,0,0,5,6,61,12,0
2015-11-01,4,22,2,4,0,2,3,1,12,14,433,14,4
2015-12-01,1,20,0,1,0,3,2,0,13,5,187,11,2
2016-01-01,1,14,0,1,0,0,0,0,5,5,134,9,0
2016-02-01,1,26,0,1,0,0,0,0,4,12,73,15,1
2016-03-01,1,27,0,1,0,2,0,0,14,10,242,12,4
2016-04-01,2,29,0,2,0,0,1,0,14,12,259,14,3
2016-05-01,1,27,0,1,0,1,1,0,9,15,222,9,0
2016-06-01,1,17,0,1,0,0,0,0,7,5,164,16,1
2016-07-01,1,23,0,1,0,1,1,0,9,14,245,21,3
2016-08-01,1,7,0,1,0,0,0,0,6,3,48,20,0
2016-09-01,5,50,3,4,1,4,3,3,18,24,425,23,2
2016-10-01,1,24,0,1,0,0,0,0,9,8,274,25,4
2016-11-01,1,59,0,1,0,0,0,0,6,8,109,15,1
2016-12-01,1,39,0,1,0,0,0,0,8,8,262,18,0
2017-01-01,1,23,0,1,0,0,0,0,6,7,77,15,0
2017-02-01,1,33,0,1,0,0,0,0,11,5,151,18,1
2017-03-01,3,34,1,3,1,1,0,1,11,15,237,9,4
2017-04-01,2,14,1,2,1,1,0,0,9,9,118,19,2
2017-05-01,2,20,0,2,0,1,1,1,7,11,148,19,2
2017-06-01,3,25,1,3,0,1,0,1,6,7,130,10,1
2017-07-01,1,10,0,1,0,0,0,0,4,4,68,20,1
2017-08-01,2,2,1,2,0,2,0,1,9,5,91,15,3
2017-09-01,4,16,2,4,1,1,0,1,9,8,135,15,3
2017-10-01,5,38,0,5,0,3,2,2,14,20,373,22,3
2017-11-01,4,38,2,4,2,8,1,6,16,10,383,23,4
2017-12-01,1,30,0,1,0,0,0,0,4,6,83,25,4
2018-01-01,2,27,1,2,0,1,0,1,10,8,111,30,3
2018-02-01,1,31,0,1,0,0,0,0,12,12,143,20,1
2018-03-01,2,8,1,1,0,1,0,1,13,7,93,17,3
2018-04-01,1,38,0,1,0,0,1,0,6,17,135,16,0
2018-05-01,1,5,0,1,0,0,0,0,7,4,75,14,3
2018-06-01,3,30,2,3,1,3,1,2,7,7,315,20,2
2018-07-01,1,22,0,1,0,0,0,0,3,7,128,18,1
2018-08-01,1,16,0,1,0,0,0,0,7,5,116,24,4
2018-09-01,4,47,2,3,1,5,1,4,13,23,301,23,2
2018-10-01,1,24,0,1,0,0,0,0,11,9,176,30,2
2018-11-01,3,23,2,3,1,2,0,1,14,9,212,25,3
2018-12-01,2,23,0,2,0,1,0,2,11,12,231,9,1
2019-01-01,2,35,0,2,0,2,1,1,5,9,121,17,2
2019-02-01,1,24,0,1,0,0,0,0,9,2,98,19,0
2019-03-01,4,52,2,3,0,2,0,2,10,14,145,28,6
2019-04-01,3,23,1,3,1,2,1,1,5,6,83,26,2
2019-05-01,2,52,0,2,0,1,0,1,9,11,201,33,3
2019-06-01,2,48,0,2,0,1,0,1,9,2,402,11,2
2019-07-01,1,27,0,1,0,0,0,0,8,10,166,10,3
2019-08-01,2,20,1,2,1,1,0,1,9,6,147,14,1
2019-09-01,4,34,2,3,0,3,0,3,15,21,382,16,3
2019-10-01,3,27,2,1,0,2,0,2,18,11,280,34,3
2019-11-01,1,31,0,1,0,0,0,0,6,12,276,18,1
2019-12-01,1,6,0,1,0,0,0,0,7,8,182,16,2
2020-01-01,3,10,2,3,1,1,0,1,9,3,83,20,3
2020-02-01,1,21,0,1,0,0,0,0,11,16,308,15,3
2020-03-01,2,24,1,1,0,1,0,1,10,6,118,25,4
2020-04-01,2,23,1,1,0,2,0,1,5,2,83,23,3
2020-05-01,4,46,2,2,0,7,4,4,19,25,694,19,5
2020-06-01,2,25,0,1,0,1,0,1,12,11,195,15,3
2020-07-01,1,51,0,1,0,0,0,0,8,4,54,10,3
2020-08-01,3,22,2,3,1,0,0,0,5,9,99,11,1
