dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,1,9,0,1,0,1,0,0,1,0,11,0,0
2016-03-01,1,146,0,1,0,0,0,0,0,0,0,7,1
2016-04-01,4,74,3,3,2,7,2,6,9,9,63,32,3
2016-05-01,3,34,1,3,1,3,0,2,5,3,32,16,2
2016-06-01,3,158,1,3,0,15,0,15,26,18,170,12,0
2016-07-01,2,33,0,2,0,3,0,4,3,8,31,9,1
2016-08-01,1,1,0,1,0,0,0,0,1,0,0,7,0
2016-09-01,3,105,1,2,0,15,0,14,22,20,108,12,3
2016-10-01,4,54,1,3,0,3,0,3,3,3,4,15,2
2016-11-01,5,87,2,4,1,12,0,13,19,21,46,14,2
2016-12-01,2,62,0,2,0,5,0,4,8,5,39,7,1
2017-01-01,4,42,1,3,1,9,1,7,11,10,71,34,1
2017-02-01,4,112,0,3,0,25,1,24,39,39,133,17,1
2017-03-01,3,53,1,3,1,7,0,7,10,8,45,8,2
2017-04-01,3,13,1,3,0,3,1,4,4,8,25,6,0
2017-05-01,6,50,2,5,1,12,0,11,14,12,91,23,1
2017-06-01,6,137,0,5,0,34,2,32,56,45,605,25,0
2017-07-01,6,156,0,5,0,34,2,31,45,41,328,9,1
2017-08-01,5,129,1,4,0,33,1,33,47,45,276,9,2
2017-09-01,8,84,2,5,1,26,1,25,31,31,237,11,2
2017-10-01,1,6,0,1,0,1,0,0,2,0,21,13,0
2017-11-01,1,5,0,1,0,0,0,0,0,0,0,9,0
2017-12-01,6,13,2,3,0,2,0,2,3,2,15,16,0
2018-01-01,3,7,1,3,0,2,0,0,3,1,9,9,0
2018-02-01,0,0,0,0,0,0,0,0,1,1,4,14,0
2018-03-01,3,11,0,2,0,2,1,0,2,2,25,13,1
2018-04-01,4,8,1,3,1,1,2,0,1,2,16,14,0
2018-05-01,5,60,2,3,1,8,2,7,12,13,68,8,2
2018-06-01,4,20,2,3,0,8,1,7,9,8,48,7,3
2018-07-01,4,78,0,4,0,24,2,24,34,31,119,16,0
2018-08-01,3,69,1,3,0,12,0,10,28,26,225,29,2
2018-09-01,3,36,1,2,0,11,1,12,13,21,78,8,0
2018-10-01,3,128,1,3,1,32,7,25,41,37,127,12,1
2018-11-01,5,169,3,5,3,41,6,32,53,42,192,15,2
2018-12-01,3,110,1,3,1,26,4,26,37,38,145,25,1
2019-01-01,2,31,0,2,0,12,0,9,14,11,52,16,2
2019-02-01,8,84,5,4,0,28,0,27,41,39,251,23,6
2019-03-01,5,37,3,3,0,12,2,11,23,19,176,164,5
2019-04-01,10,154,5,6,2,37,2,34,48,44,257,35,5
2019-05-01,2,88,0,2,0,29,3,23,38,31,183,22,2
2019-06-01,12,139,9,9,5,40,2,38,54,50,644,28,7
2019-07-01,6,141,1,4,0,45,1,41,59,51,726,46,2
2019-08-01,6,174,1,5,0,58,5,58,68,80,734,44,2
2019-09-01,8,88,2,6,0,28,4,26,32,33,363,34,5
2019-10-01,7,159,2,5,1,46,2,44,56,55,803,37,1
2019-11-01,7,139,1,7,1,45,5,37,63,51,725,21,2
2019-12-01,8,121,3,6,1,37,2,40,44,58,678,28,4
2020-01-01,12,94,4,7,1,29,1,22,30,23,379,49,4
2020-02-01,5,116,0,4,0,25,1,26,32,34,356,36,2
2020-03-01,9,256,3,6,2,77,1,76,92,95,1203,34,3
2020-04-01,13,284,8,7,3,64,0,66,91,89,1053,39,10
2020-05-01,10,170,2,6,1,53,2,51,63,61,738,43,4
2020-06-01,4,47,0,3,0,17,0,19,20,21,246,37,1
2020-07-01,7,79,4,6,2,27,0,27,32,36,419,59,4
2020-08-01,6,70,1,4,0,29,2,26,38,36,430,25,1
