dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,3,158,3,2,2,4,1,2,21,7,16,1,2
2017-01-01,7,335,4,4,2,34,3,32,84,49,119,5,0
2017-02-01,7,598,2,5,1,69,1,68,110,95,107,3,0
2017-03-01,7,480,1,4,0,90,2,88,169,122,200,1,1
2017-04-01,5,133,0,4,0,47,2,44,55,49,35,2,0
2017-05-01,7,222,2,3,0,56,3,54,72,61,34,4,1
2017-06-01,4,272,1,3,1,81,6,75,85,89,36,1,1
2017-07-01,2,86,0,2,0,51,7,39,56,47,120,2,1
2017-08-01,3,249,0,2,0,78,8,64,101,87,66,7,0
2017-09-01,3,131,0,2,0,44,2,44,55,49,32,2,0
2017-10-01,5,140,0,4,0,45,3,19,46,23,34,4,0
2017-11-01,6,442,0,4,0,69,43,52,105,124,108,2,0
2017-12-01,5,257,0,4,0,63,19,45,103,91,115,5,0
2018-01-01,3,4,0,2,0,28,0,0,31,0,63,3,0
2018-02-01,3,425,0,2,0,35,46,7,64,76,91,3,0
2018-03-01,6,478,2,4,1,117,58,66,188,172,305,22,3
2018-04-01,13,764,7,9,4,144,32,99,216,178,393,68,6
2018-05-01,9,900,4,7,3,79,23,76,108,122,105,42,4
2018-06-01,13,832,2,5,0,95,8,86,158,114,260,42,4
2018-07-01,15,786,9,10,5,118,10,108,209,180,249,29,6
2018-08-01,17,1525,4,10,2,198,23,177,521,368,840,86,6
2018-09-01,12,892,1,6,0,5,1,4,235,223,542,35,6
2018-10-01,16,1189,8,9,3,0,0,0,261,257,497,32,1
2018-11-01,13,1003,3,6,0,0,0,0,395,374,1087,28,4
2018-12-01,13,969,3,9,2,0,0,0,366,317,1077,37,5
2019-01-01,13,678,4,10,3,0,0,0,261,239,631,68,6
2019-02-01,14,622,4,9,3,0,0,0,313,311,1019,66,12
2019-03-01,7,268,0,5,0,0,0,0,232,180,908,82,7
2019-04-01,10,437,2,6,1,0,0,0,205,190,817,50,10
2019-05-01,9,260,2,5,0,0,0,0,186,159,570,43,9
2019-06-01,6,100,0,4,0,0,0,0,80,64,261,56,7
2019-07-01,13,202,3,6,0,0,0,0,145,155,814,50,6
2019-08-01,10,97,1,4,0,0,0,0,136,107,428,33,5
2019-09-01,9,84,0,7,0,0,0,0,98,85,510,39,3
2019-10-01,8,47,0,5,0,0,0,0,99,76,569,32,2
2019-11-01,6,38,0,5,0,0,0,0,35,44,144,23,3
2019-12-01,6,31,1,4,0,0,0,0,67,53,261,18,6
2020-01-01,8,110,0,6,0,0,0,0,125,161,586,45,3
2020-02-01,12,487,4,6,1,0,0,0,320,219,791,36,8
2020-03-01,14,180,1,6,0,0,0,0,93,90,354,26,13
2020-04-01,9,137,1,6,0,0,0,0,98,98,461,26,3
2020-05-01,10,131,1,5,0,0,0,0,122,101,611,32,5
2020-06-01,7,65,1,5,1,0,0,0,53,46,300,45,6
2020-07-01,11,162,2,6,0,1,0,0,127,97,607,50,8
2020-08-01,10,75,1,6,1,0,0,0,71,44,284,48,7
