dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-09-01,2,145,2,2,2,1,0,1,5,2,17,86,3
2017-10-01,4,78,2,4,2,11,0,11,20,18,54,28,2
2017-11-01,2,16,0,2,0,2,0,2,6,7,39,0,1
2017-12-01,1,4,0,1,0,0,0,0,1,0,10,3,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,11,0
2018-02-01,2,163,0,2,0,11,0,11,20,18,84,6,0
2018-03-01,4,304,2,4,2,10,1,8,41,34,576,105,8
2018-04-01,3,312,1,3,1,26,0,27,31,32,52,9,4
2018-05-01,2,137,1,2,0,8,0,8,13,11,94,19,2
2018-06-01,2,109,0,2,0,11,0,11,22,18,108,13,1
2018-07-01,3,139,2,3,1,14,1,13,37,33,315,89,3
2018-08-01,1,94,0,1,0,0,0,0,10,8,113,26,2
2018-09-01,4,88,3,4,2,5,1,3,17,7,90,22,6
2018-10-01,2,138,0,2,0,6,0,7,20,21,129,17,1
2018-11-01,1,165,0,1,0,0,0,0,8,7,95,22,1
2018-12-01,1,50,0,1,0,0,0,0,9,3,96,31,2
2019-01-01,1,344,0,1,0,0,0,0,8,22,255,21,1
2019-02-01,2,172,0,2,0,4,1,3,28,17,202,55,3
2019-03-01,2,62,1,2,0,4,0,4,13,8,90,67,4
2019-04-01,1,14,0,1,0,0,0,0,9,4,47,29,4
2019-05-01,1,39,0,1,0,0,0,0,6,1,50,40,3
2019-06-01,2,45,1,2,1,1,0,1,6,7,69,32,2
2019-07-01,2,112,1,2,1,2,1,0,7,6,55,28,2
2019-08-01,2,179,1,2,1,3,1,1,14,14,107,55,4
2019-09-01,1,1,0,1,0,0,0,0,8,1,21,20,3
2019-10-01,2,9,1,2,0,1,0,0,8,0,95,46,3
2019-11-01,2,6,0,2,0,0,0,0,13,3,58,231,6
2019-12-01,0,0,0,0,0,0,0,0,6,2,37,34,5
2020-01-01,1,4,0,1,0,2,0,0,8,1,52,22,5
2020-02-01,1,89,0,1,0,1,0,0,12,0,15,28,0
2020-03-01,1,21,0,1,0,2,1,1,7,6,118,24,3
2020-04-01,1,5,0,1,0,4,1,0,9,1,22,28,3
2020-05-01,1,9,0,1,0,3,0,3,5,6,73,32,3
2020-06-01,3,6,2,2,1,4,0,3,11,5,81,38,2
2020-07-01,1,1,0,1,0,3,1,1,10,3,27,45,4
