dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,4,176,3,4,3,7,0,7,14,11,14,3,1
2015-04-01,3,32,0,3,0,3,0,3,23,9,10,4,0
2015-05-01,4,188,1,3,0,2,0,2,20,28,19,13,4
2015-06-01,2,21,0,2,0,1,0,1,3,1,3,51,8
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,8,1
2015-08-01,1,2,0,1,0,0,0,0,0,0,0,10,1
2015-09-01,1,46,0,1,0,1,0,0,2,1,2,8,0
2015-10-01,6,101,4,5,3,5,2,3,17,22,62,15,3
2015-11-01,5,76,3,3,0,5,0,4,11,9,24,16,4
2015-12-01,9,324,4,4,1,8,0,10,36,37,41,19,8
2016-01-01,3,210,0,3,0,16,3,12,24,20,100,27,3
2016-02-01,6,348,3,5,2,52,10,34,61,52,377,13,3
2016-03-01,6,257,1,6,0,12,6,14,14,21,83,13,4
2016-04-01,3,139,0,3,0,9,4,6,18,18,167,49,2
2016-05-01,7,74,3,5,1,11,0,10,21,22,34,31,4
2016-06-01,5,47,2,5,1,1,0,0,6,5,31,13,2
2016-07-01,7,121,3,7,2,2,0,3,12,12,45,15,2
2016-08-01,2,16,0,2,0,1,0,1,4,2,8,20,2
2016-09-01,10,210,4,9,3,11,0,10,23,31,56,15,3
2016-10-01,9,103,2,6,0,2,0,3,7,7,11,30,3
2016-11-01,11,187,6,9,3,2,0,1,9,4,21,25,5
2016-12-01,11,219,4,9,3,5,1,5,20,27,75,20,3
2017-01-01,9,94,2,8,1,1,0,2,2,4,9,17,3
2017-02-01,11,60,5,8,2,0,0,0,4,3,2,21,3
2017-03-01,12,76,5,10,3,4,0,4,10,8,8,25,7
2017-04-01,12,61,6,10,4,4,0,4,12,10,22,31,6
2017-05-01,10,88,2,8,0,0,0,0,5,4,7,21,2
2017-06-01,12,106,4,9,2,2,0,1,10,9,18,21,3
2017-07-01,12,68,7,8,2,0,0,1,8,4,17,40,5
2017-08-01,15,140,7,11,3,2,0,2,18,17,30,31,5
2017-09-01,10,87,5,6,2,0,0,0,2,2,30,33,7
2017-10-01,10,153,1,8,1,1,0,1,71,14,161,33,1
2017-11-01,14,147,3,9,2,3,1,2,81,64,683,28,12
2017-12-01,12,67,1,8,0,0,0,0,38,38,460,20,12
2018-01-01,8,16,2,7,1,1,0,1,32,34,270,26,10
2018-02-01,6,8,4,5,1,0,0,0,23,24,147,35,11
2018-03-01,4,7,2,4,1,0,0,0,26,21,200,27,15
2018-04-01,10,17,5,6,0,2,0,2,34,34,260,35,9
2018-05-01,4,7,0,4,0,0,0,0,18,22,166,27,15
2018-06-01,2,2,1,1,0,0,0,0,17,13,125,21,10
2018-07-01,3,3,2,3,1,1,0,0,23,13,139,26,8
2018-08-01,4,9,0,3,0,1,0,1,21,27,202,27,7
2018-09-01,6,9,3,5,2,0,0,0,21,13,142,24,8
2018-10-01,9,18,1,5,0,3,0,3,33,34,184,27,12
2018-11-01,5,8,3,3,1,0,0,0,18,21,217,34,9
2018-12-01,4,15,1,3,0,0,1,0,27,31,216,11,7
2019-01-01,5,11,0,4,0,0,0,0,23,22,160,38,9
2019-02-01,1,1,0,1,0,1,0,1,16,3,65,33,12
2019-03-01,0,0,0,0,0,0,0,0,11,1,54,26,5
2019-04-01,8,13,4,4,1,0,0,0,26,45,246,25,6
2019-05-01,1,1,0,1,0,0,0,0,14,12,54,27,13
2019-06-01,5,6,2,3,0,0,0,0,21,13,125,23,11
2019-07-01,2,2,1,2,1,0,0,0,17,10,107,32,6
2019-08-01,3,4,0,3,0,0,0,0,15,9,63,20,7
2019-09-01,9,10,5,4,0,0,0,0,13,19,74,17,6
2019-10-01,9,17,3,5,1,2,0,2,26,47,190,26,7
2019-11-01,2,5,0,2,0,0,0,0,8,7,94,20,7
2019-12-01,1,6,1,1,0,0,0,0,12,4,72,15,4
2020-01-01,9,13,4,5,2,0,0,0,14,15,63,21,8
2020-02-01,8,13,4,7,3,0,0,0,20,25,195,16,16
2020-03-01,6,7,4,4,2,1,0,0,23,11,103,28,3
2020-04-01,14,23,9,7,2,0,0,0,34,47,237,26,18
2020-05-01,6,28,2,5,1,1,1,1,39,39,182,33,8
2020-06-01,3,5,1,2,0,0,0,0,17,10,60,20,5
2020-07-01,7,35,1,6,1,1,0,1,14,26,117,20,5
2020-08-01,6,43,2,4,1,1,0,0,23,23,142,14,6
