dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,3,330,3,3,3,31,0,31,40,38,12,3,2
2016-07-01,2,125,0,2,0,6,0,6,13,12,19,10,0
2016-08-01,3,108,1,3,1,23,1,22,32,32,27,5,3
2016-09-01,2,104,0,2,0,24,1,23,44,42,38,15,2
2016-10-01,3,59,1,3,0,13,1,12,35,31,136,13,9
2016-11-01,3,47,1,3,1,12,1,11,33,31,150,20,4
2016-12-01,3,68,1,3,1,16,1,15,32,37,236,19,2
2017-01-01,4,39,1,3,0,7,1,5,28,22,163,23,6
2017-02-01,2,49,0,2,0,8,1,8,30,29,207,39,9
2017-03-01,2,21,0,2,0,6,0,6,30,26,155,33,5
2017-04-01,2,45,0,2,0,11,0,11,29,30,133,32,10
2017-05-01,3,41,1,3,1,9,1,8,32,31,127,22,10
2017-06-01,2,56,0,2,0,21,4,16,51,42,260,27,6
2017-07-01,2,42,0,2,0,7,1,7,28,32,176,26,7
2017-08-01,2,33,0,2,0,7,0,7,25,28,126,32,7
2017-09-01,2,70,0,2,0,23,0,21,41,39,182,29,8
2017-10-01,3,52,1,3,1,12,3,11,35,36,191,29,14
2017-11-01,3,69,1,3,1,25,0,25,59,58,261,49,8
2017-12-01,2,64,0,2,0,15,1,14,25,33,101,35,4
2018-01-01,5,24,3,4,1,5,0,5,31,28,157,35,15
2018-02-01,3,15,1,3,0,9,1,7,30,23,99,36,8
2018-03-01,4,59,2,4,2,6,3,4,17,20,63,26,8
2018-04-01,2,27,0,2,0,2,0,2,16,19,102,34,12
2018-05-01,3,18,1,3,1,8,1,7,34,29,115,43,12
2018-06-01,4,11,1,3,0,3,0,2,32,14,83,21,5
2018-07-01,3,14,1,3,1,3,2,2,21,16,78,22,6
2018-08-01,4,15,0,4,0,3,0,3,13,13,58,21,6
2018-09-01,2,25,0,2,0,9,1,7,17,23,82,22,8
2018-10-01,4,21,1,4,0,4,0,4,14,11,41,25,9
2018-11-01,3,19,1,3,1,3,0,3,26,12,75,12,6
2018-12-01,5,14,1,5,1,4,0,3,14,18,89,23,8
2019-01-01,5,17,2,4,0,1,0,0,14,3,103,20,12
2019-02-01,5,9,1,5,1,2,1,1,16,12,93,16,5
2019-03-01,2,4,0,2,0,2,0,2,12,8,51,34,10
2019-04-01,4,40,1,4,1,7,1,8,15,37,148,15,3
2019-05-01,2,15,0,2,0,4,0,4,8,5,7,25,7
2019-06-01,1,5,0,1,0,1,1,0,5,2,22,21,7
2019-07-01,3,22,1,3,1,2,1,2,19,15,72,24,8
2019-08-01,3,24,1,3,1,5,0,5,16,15,46,22,9
2019-09-01,3,18,1,3,0,0,0,0,8,2,13,10,3
2019-10-01,0,0,0,0,0,0,0,0,8,5,24,20,3
2019-11-01,4,42,2,3,0,8,1,7,17,18,67,16,7
2019-12-01,0,0,0,0,0,1,0,0,8,0,6,11,4
2020-01-01,0,0,0,0,0,1,0,0,3,0,5,13,3
2020-02-01,2,3,1,2,0,0,0,0,4,0,12,9,5
2020-03-01,0,0,0,0,0,3,0,0,7,2,11,6,5
2020-04-01,2,9,0,2,0,2,0,2,12,7,21,14,3
2020-05-01,0,0,0,0,0,0,0,0,3,0,1,18,2
2020-06-01,0,0,0,0,0,1,0,0,4,0,14,5,1
2020-07-01,2,8,0,2,0,5,6,1,21,13,39,23,3
