dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,3,28,1,1,0,2,0,1,10,3,13,4,1
2016-12-01,1,68,0,1,0,1,0,0,1,0,1,12,3
2017-01-01,2,87,0,1,0,0,2,0,1,5,4,22,3
2017-02-01,4,45,2,2,1,5,0,5,11,7,13,32,3
2017-03-01,3,33,0,1,0,5,0,5,6,5,7,17,2
2017-04-01,3,76,0,1,0,14,0,13,14,15,10,13,1
2017-05-01,3,82,0,1,0,10,0,11,13,11,20,21,7
2017-06-01,3,79,0,1,0,20,1,17,23,19,22,23,4
2017-07-01,3,84,0,1,0,20,1,21,23,25,45,18,3
2017-08-01,2,15,0,1,0,2,0,1,6,2,24,18,5
2017-09-01,2,9,0,1,0,9,0,6,12,9,17,19,3
2017-10-01,2,14,0,1,0,8,0,10,11,12,21,17,3
2017-11-01,3,11,1,2,1,3,0,5,10,9,21,12,1
2017-12-01,2,5,0,1,0,3,0,1,5,5,13,14,3
2018-01-01,3,8,1,1,0,6,1,7,7,9,5,16,3
2018-02-01,4,15,1,2,1,11,0,7,12,8,35,10,1
2018-03-01,2,2,0,1,0,2,0,2,2,2,0,12,5
2018-04-01,4,8,1,2,0,5,2,5,5,8,2,6,2
2018-05-01,3,12,0,2,0,9,0,7,11,9,9,12,3
2018-06-01,3,3,0,2,0,1,0,2,1,2,1,10,1
2018-07-01,3,7,0,1,0,4,0,4,4,4,0,12,3
2018-08-01,4,16,0,2,0,7,0,8,7,16,16,16,2
2018-09-01,0,0,0,0,0,1,1,0,2,1,2,5,1
2018-10-01,4,12,0,2,0,5,0,5,7,8,54,9,1
2018-11-01,3,5,1,3,1,2,2,2,3,4,14,7,1
2018-12-01,4,9,0,2,0,5,0,5,5,5,2,3,1
2019-01-01,2,13,0,1,0,9,0,8,11,11,14,11,2
2019-02-01,5,20,2,3,2,11,0,12,18,18,13,7,2
2019-03-01,6,43,2,3,0,29,1,26,32,33,12,5,0
2019-04-01,7,13,1,4,0,2,0,4,2,4,7,1,1
2019-05-01,4,12,0,2,0,12,0,8,15,11,24,6,3
2019-06-01,2,6,0,2,0,3,0,4,4,4,3,3,1
2019-07-01,1,3,0,1,0,3,0,3,4,5,9,8,2
2019-08-01,2,3,1,1,0,3,0,3,3,3,0,2,0
2019-09-01,2,5,0,1,0,2,0,1,3,1,3,6,2
2019-10-01,3,18,1,2,0,8,0,6,10,6,8,4,2
2019-11-01,3,27,0,2,0,6,0,5,8,6,53,4,0
2019-12-01,5,28,1,3,0,30,1,27,31,31,68,5,0
2020-01-01,7,32,2,3,0,23,2,26,26,36,60,5,3
2020-02-01,6,22,1,3,0,19,2,18,21,20,18,9,1
2020-03-01,5,18,1,2,0,15,1,15,15,16,1,5,1
2020-04-01,5,22,0,3,0,16,0,17,21,19,21,10,1
2020-05-01,3,11,0,1,0,13,1,11,14,13,4,5,1
2020-06-01,5,17,1,2,0,17,1,16,17,19,24,1,1
2020-07-01,6,11,0,3,0,13,1,11,14,13,9,8,3
2020-08-01,6,14,1,4,0,10,1,11,11,12,2,9,0
