dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,8,29,6,7,5,9,0,1,12,1,41,13,8
2015-05-01,16,137,13,12,8,72,31,31,137,74,991,451,53
2015-06-01,20,115,11,13,3,59,31,26,220,119,1347,794,80
2015-07-01,23,71,13,13,6,58,45,0,246,94,1198,183,73
2015-08-01,19,78,5,12,2,49,41,1,211,99,1118,91,32
2015-09-01,9,29,4,7,3,26,21,0,152,58,713,99,32
2015-10-01,8,43,2,5,1,22,37,2,95,84,548,111,34
2015-11-01,17,38,10,8,3,39,28,0,133,52,488,124,46
2015-12-01,9,18,4,5,1,21,17,0,95,43,563,101,36
2016-01-01,7,21,2,6,2,23,31,0,127,60,442,114,36
2016-02-01,13,33,5,7,0,29,13,0,128,32,523,100,29
2016-03-01,13,25,3,9,0,23,28,1,139,50,490,120,40
2016-04-01,9,10,6,5,1,16,0,0,112,9,279,92,46
2016-05-01,10,18,7,6,1,19,24,0,100,42,368,103,49
2016-06-01,13,28,9,9,4,23,13,0,118,90,598,91,42
2016-07-01,8,27,2,7,1,27,40,0,106,95,524,91,43
2016-08-01,8,25,4,7,2,21,24,1,100,80,473,97,33
2016-09-01,12,47,4,7,1,48,34,0,139,71,545,72,20
2016-10-01,14,45,6,8,1,41,54,3,135,110,932,111,29
2016-11-01,14,32,2,8,1,35,36,0,121,70,584,101,56
2016-12-01,8,11,2,6,1,38,20,0,105,44,398,111,37
2017-01-01,13,31,3,5,0,25,25,0,118,64,433,104,33
2017-02-01,16,51,7,8,2,37,63,0,117,126,664,100,39
2017-03-01,14,34,6,11,4,30,27,1,148,62,486,183,36
2017-04-01,8,17,2,4,0,19,13,1,104,30,399,119,27
2017-05-01,12,30,3,6,1,23,31,1,108,63,486,112,25
2017-06-01,14,30,7,9,3,36,23,0,127,44,431,126,37
2017-07-01,13,32,2,7,0,33,43,0,116,73,475,102,30
2017-08-01,10,34,1,4,0,29,34,1,108,95,615,114,34
2017-09-01,12,25,4,6,2,25,11,0,101,28,332,110,42
2017-10-01,9,16,4,7,0,13,8,1,74,19,269,110,31
2017-11-01,12,17,9,9,4,22,21,0,83,58,405,157,38
2017-12-01,8,16,2,7,1,13,14,3,86,49,503,161,37
2018-01-01,6,15,1,5,0,24,18,0,96,56,517,141,35
2018-02-01,24,50,6,11,1,47,50,1,115,95,557,126,42
2018-03-01,19,33,4,8,0,34,28,0,111,54,474,164,43
2018-04-01,9,17,3,7,1,24,15,0,110,29,289,145,52
2018-05-01,9,12,1,3,0,13,12,0,76,28,297,132,26
2018-06-01,5,14,2,4,0,11,25,0,74,45,375,101,26
2018-07-01,11,20,3,4,0,18,14,0,106,35,432,141,37
2018-08-01,6,9,1,3,0,19,9,0,92,24,343,120,43
2018-09-01,4,12,2,4,1,9,12,0,75,27,240,118,41
2018-10-01,13,30,6,6,2,23,17,0,87,48,521,154,42
2018-11-01,19,49,9,9,3,30,22,0,112,63,593,177,58
2018-12-01,16,38,7,6,0,34,46,1,91,64,441,137,34
2019-01-01,13,33,0,5,0,31,12,0,107,36,398,192,37
2019-02-01,3,37,1,2,0,12,7,0,69,17,297,124,41
2019-03-01,13,67,2,5,0,46,71,0,118,148,977,219,28
2019-04-01,14,36,4,7,1,26,16,0,129,1278,4609,165,45
2019-05-01,10,25,3,7,1,23,23,6,123,597,2577,145,38
2019-06-01,16,31,7,9,1,35,31,0,137,112,1010,138,39
2019-07-01,11,34,1,5,0,38,42,1,124,111,862,142,35
2019-08-01,13,45,5,8,1,48,77,0,126,141,810,102,42
2019-09-01,5,5,0,4,0,11,16,0,72,45,392,124,37
2019-10-01,13,34,4,6,1,36,36,0,443,357,3546,1188,104
2019-11-01,18,44,5,8,2,50,46,1,171,163,1017,843,118
2019-12-01,15,47,2,5,0,42,37,0,123,160,929,241,54
2020-01-01,19,34,6,6,2,23,36,0,105,85,471,156,34
2020-02-01,9,23,5,6,2,22,24,0,79,71,735,170,54
2020-03-01,14,26,4,6,1,19,8,0,97,61,486,173,50
2020-04-01,8,34,2,5,1,29,29,0,106,79,616,208,54
2020-05-01,12,50,3,6,1,47,54,1,158,119,709,212,53
2020-06-01,15,52,2,8,1,40,36,0,145,111,754,187,52
2020-07-01,6,24,1,4,0,36,26,0,148,96,752,296,53
2020-08-01,3,31,0,3,0,36,38,0,131,115,809,281,52
