dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,0,0,0,0,0,0,0,0,2,0,27,0,0
2016-01-01,6,146,5,4,3,46,3,41,73,51,284,22,2
2016-02-01,11,208,6,5,1,73,3,71,111,102,680,14,7
2016-03-01,10,267,3,5,2,87,4,84,103,98,542,19,4
2016-04-01,9,236,0,4,0,92,7,82,127,115,985,22,3
2016-05-01,8,190,0,4,0,61,3,56,86,75,525,34,2
2016-06-01,8,178,2,5,1,30,3,25,36,33,281,43,6
2016-07-01,4,113,1,2,0,24,2,26,35,33,297,33,0
2016-08-01,8,193,2,4,2,72,8,63,90,92,570,66,4
2016-09-01,12,532,7,6,2,162,14,147,209,212,1631,78,9
2016-10-01,20,513,13,11,6,166,10,152,244,210,2286,126,21
2016-11-01,16,291,5,7,1,104,27,78,136,119,1072,135,15
2016-12-01,11,129,3,8,3,41,3,37,54,49,427,87,9
2017-01-01,11,149,3,5,0,60,8,53,81,70,677,116,10
2017-02-01,15,104,4,7,2,58,10,52,116,122,1204,129,13
2017-03-01,13,115,2,3,1,60,7,51,102,87,808,191,13
2017-04-01,12,63,1,3,0,42,4,37,66,56,506,119,8
2017-05-01,8,70,2,4,2,41,6,32,53,43,405,101,6
2017-06-01,4,20,1,2,0,21,7,12,38,22,267,107,9
2017-07-01,6,47,1,5,1,32,6,24,47,40,356,96,7
2017-08-01,8,79,2,2,0,40,20,29,60,62,477,125,6
2017-09-01,4,87,1,1,0,31,1,28,51,36,457,72,8
2017-10-01,8,94,3,5,1,65,11,52,112,85,894,126,13
2017-11-01,5,101,1,3,0,47,4,43,85,59,560,104,11
2017-12-01,15,333,6,7,2,126,23,108,153,166,1201,80,2
2018-01-01,13,335,3,5,1,118,12,107,168,143,1082,95,9
2018-02-01,8,349,2,5,1,132,13,120,162,172,869,77,7
2018-03-01,7,342,0,4,0,81,8,70,105,89,461,73,8
2018-04-01,7,176,2,4,0,62,11,48,92,134,544,86,4
2018-05-01,11,223,1,7,1,96,14,75,128,103,257,61,6
2018-06-01,10,122,1,4,0,64,10,50,94,72,315,83,7
2018-07-01,12,194,3,6,1,94,12,85,132,110,294,37,8
2018-08-01,16,200,7,7,1,83,5,74,109,116,419,336,16
2018-09-01,15,171,5,9,2,73,10,61,110,92,369,153,12
2018-10-01,25,399,9,14,5,141,16,116,184,160,836,100,14
2018-11-01,17,341,4,7,1,106,8,80,159,106,556,87,12
2018-12-01,14,612,1,7,0,146,23,141,198,261,972,99,7
2019-01-01,18,704,4,9,2,172,32,166,229,236,870,107,9
2019-02-01,13,158,2,8,2,55,3,39,84,67,230,120,11
2019-03-01,9,157,2,6,0,35,3,35,65,78,266,144,14
2019-04-01,10,112,1,4,0,40,0,33,71,95,278,137,10
2019-05-01,13,65,2,6,1,16,1,17,41,39,194,184,11
2019-06-01,10,46,2,6,1,28,3,15,49,39,226,66,6
2019-07-01,6,74,1,4,0,21,7,30,26,55,125,72,8
2019-08-01,6,48,1,6,1,20,2,19,37,32,109,61,9
2019-09-01,12,76,3,7,0,26,3,21,41,48,181,75,10
2019-10-01,22,164,13,11,3,51,11,38,77,62,209,126,23
2019-11-01,15,135,5,7,0,45,8,42,60,143,403,84,11
2019-12-01,10,213,2,8,1,59,16,48,76,122,424,111,11
2020-01-01,15,234,8,8,1,72,4,64,95,107,495,86,12
2020-02-01,11,160,3,5,0,40,4,39,63,66,374,80,8
2020-03-01,9,119,3,6,1,45,5,43,60,93,405,57,9
2020-04-01,12,59,4,6,1,32,9,24,49,51,259,71,12
2020-05-01,10,72,4,8,1,36,6,29,55,55,346,97,9
2020-06-01,13,109,4,8,0,26,2,22,51,39,306,55,8
2020-07-01,8,79,0,7,0,22,6,21,54,43,263,59,8
2020-08-01,5,55,0,5,0,0,0,0,35,33,182,43,4
