dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-05-01,1,12,1,1,1,0,0,0,3,1,7,22,3
2017-06-01,1,31,0,1,0,0,0,0,0,0,0,9,2
2017-07-01,1,42,0,1,0,0,0,0,0,0,0,13,2
2017-08-01,1,32,0,1,0,0,0,0,2,1,5,8,1
2017-09-01,2,25,1,2,1,1,0,0,7,10,52,13,1
2017-10-01,2,17,0,2,0,2,2,0,3,2,19,13,2
2017-11-01,1,4,0,1,0,0,0,1,0,2,7,7,1
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,6,1
2018-01-01,2,51,1,2,1,1,0,1,1,1,0,6,2
2018-02-01,3,95,1,3,1,2,0,2,6,10,64,20,2
2018-03-01,2,14,0,2,0,0,0,0,6,1,27,17,3
2018-04-01,1,29,0,1,0,0,0,0,0,2,10,14,1
2018-05-01,0,0,0,0,0,0,0,0,2,1,18,12,1
2018-06-01,3,5,1,3,0,2,0,2,6,6,14,19,0
2018-07-01,3,26,0,2,0,5,1,4,13,7,34,10,1
2018-08-01,4,32,1,2,0,13,4,9,17,18,77,27,2
2018-09-01,1,6,0,1,0,0,0,0,2,1,14,11,1
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,13,0
2018-11-01,0,0,0,0,0,0,0,0,1,1,2,14,1
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,14,3
2019-01-01,21,218,18,11,7,45,12,27,119,71,556,3074,148
2019-02-01,14,103,7,10,4,21,6,20,45,54,251,688,51
2019-03-01,8,96,4,5,0,9,0,6,24,30,299,98,9
2019-04-01,5,58,2,4,0,16,6,9,24,22,176,55,11
2019-05-01,3,16,0,3,0,3,2,3,12,9,129,70,15
2019-06-01,18,81,15,9,4,25,2,19,47,31,379,53,29
2019-07-01,13,44,8,7,1,19,0,19,39,28,264,143,28
2019-08-01,10,43,6,5,2,28,4,25,42,38,194,85,16
2019-09-01,9,24,5,4,0,11,0,9,25,13,121,50,17
2019-10-01,17,88,14,5,0,37,8,30,58,60,343,103,45
2019-11-01,8,66,3,5,0,8,1,6,13,8,87,57,9
2019-12-01,5,120,0,5,0,14,3,14,24,31,319,54,7
2020-01-01,6,149,3,4,0,25,2,24,62,53,365,182,30
2020-02-01,6,26,3,4,0,6,0,5,18,12,118,104,19
2020-03-01,5,26,3,3,0,8,1,7,16,15,107,77,14
2020-04-01,8,63,4,5,0,15,2,12,28,23,156,84,15
2020-05-01,6,26,2,4,0,3,1,4,9,8,97,74,10
2020-06-01,3,8,1,3,1,2,0,1,14,8,50,65,10
2020-07-01,8,112,5,5,1,12,1,12,21,20,82,71,21
2020-08-01,5,42,3,3,0,8,0,4,17,7,48,79,20
