dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,1,18,0,1,0,1,1,0,1,1,6,2,0
2016-09-01,2,19,1,2,1,1,0,1,1,1,8,0,0
2016-10-01,0,0,0,0,0,0,0,0,1,0,13,0,0
2016-11-01,1,10,0,1,0,0,0,0,1,1,0,1,0
2016-12-01,1,12,0,1,0,0,0,0,0,0,0,3,0
2017-01-01,3,9,2,3,2,3,0,3,6,3,14,1,1
2017-02-01,2,9,1,2,1,1,0,1,5,3,14,0,1
2017-03-01,2,3,0,2,0,2,1,0,5,2,19,0,0
2017-04-01,3,66,2,3,2,31,1,30,32,31,35,2,0
2017-05-01,0,0,0,0,0,2,0,0,5,1,26,2,0
2017-06-01,0,0,0,0,0,1,0,0,4,0,7,3,0
2017-07-01,1,1,0,1,0,0,0,0,0,0,0,1,0
2017-08-01,0,0,0,0,0,0,0,0,2,1,2,3,1
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,1,2,0,1,0,1,0,1,2,2,12,2,0
2018-03-01,1,2,0,1,0,1,1,1,8,11,88,5,2
2018-04-01,5,50,3,4,1,9,1,6,22,26,306,28,3
2018-05-01,8,53,4,6,3,12,2,9,39,27,498,51,1
2018-06-01,3,173,0,3,0,31,6,26,42,42,286,19,2
2018-07-01,9,109,4,5,1,38,5,30,64,57,317,15,7
2018-08-01,9,81,4,6,2,30,2,30,46,47,266,20,5
2018-09-01,9,187,5,7,3,40,5,33,64,64,536,43,8
2018-10-01,11,123,5,7,2,33,7,32,62,63,353,203,5
2018-11-01,10,105,5,8,3,28,3,21,40,30,262,75,3
2018-12-01,14,238,7,11,4,59,12,49,80,85,596,79,4
2019-01-01,18,141,12,11,3,43,3,42,60,55,258,101,10
2019-02-01,11,37,3,11,3,16,5,8,36,22,159,65,6
2019-03-01,10,214,3,9,1,42,4,38,68,70,520,73,7
2019-04-01,6,142,1,6,0,52,5,48,68,77,249,56,2
2019-05-01,16,275,8,11,2,40,2,42,62,76,412,80,9
2019-06-01,6,16,2,6,1,8,1,5,17,13,73,68,10
2019-07-01,11,65,6,5,1,23,2,18,47,35,256,88,15
2019-08-01,18,89,6,9,1,32,3,28,55,53,245,84,10
2019-09-01,10,31,5,6,1,18,0,18,36,35,220,54,10
2019-10-01,13,63,4,7,1,28,2,26,49,46,198,78,14
2019-11-01,8,26,3,4,0,16,0,13,39,28,222,68,14
2019-12-01,9,33,4,4,0,15,0,16,38,41,181,65,10
2020-01-01,14,58,7,8,2,36,5,35,67,68,335,77,11
2020-02-01,8,21,3,5,1,18,0,14,40,30,189,76,8
2020-03-01,7,34,2,5,1,25,4,21,48,46,146,65,12
2020-04-01,10,65,3,8,1,51,5,43,78,78,331,60,13
2020-05-01,9,47,5,7,0,31,3,23,56,59,302,63,11
2020-06-01,9,40,5,6,1,40,8,28,64,49,265,52,15
2020-07-01,12,44,6,7,1,20,7,26,42,54,352,66,10
2020-08-01,11,46,6,7,2,30,0,29,41,54,142,65,12
