dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,28,494,28,16,16,103,5,94,198,172,1201,1067,43
2017-01-01,13,235,6,9,3,62,5,58,106,101,687,160,10
2017-02-01,6,22,3,5,2,10,2,7,19,11,104,62,4
2017-03-01,2,2,0,2,0,2,0,1,12,3,77,40,3
2017-04-01,5,15,2,3,0,6,0,7,8,8,37,69,5
2017-05-01,7,34,2,6,2,28,3,26,38,38,192,31,4
2017-06-01,4,19,1,2,0,10,1,9,17,13,69,48,7
2017-07-01,3,15,0,3,0,3,0,3,8,7,34,41,2
2017-08-01,7,43,3,4,0,18,1,16,32,28,226,136,6
2017-09-01,9,63,4,4,0,24,1,22,41,59,339,128,5
2017-10-01,9,26,4,4,0,8,0,9,17,13,97,96,11
2017-11-01,3,11,0,3,0,4,0,2,7,2,63,46,3
2017-12-01,4,9,2,4,2,5,1,4,8,8,59,96,12
2018-01-01,9,31,4,8,3,14,2,10,19,16,69,66,3
2018-02-01,9,44,4,6,1,16,3,13,21,18,90,38,4
2018-03-01,7,44,4,4,1,22,2,22,27,30,153,62,5
2018-04-01,9,50,3,5,1,40,3,36,47,41,117,109,8
2018-05-01,7,17,1,4,0,14,1,12,16,17,38,29,4
2018-06-01,6,31,0,4,0,21,2,20,28,26,83,106,11
2018-07-01,6,48,2,4,1,40,1,40,45,51,109,184,13
2018-08-01,9,187,4,4,1,98,2,91,146,130,602,192,17
2018-09-01,9,149,3,7,2,131,8,128,171,181,652,183,10
2018-10-01,9,96,4,6,3,101,2,95,136,122,499,186,20
2018-11-01,9,107,5,3,1,114,11,107,143,141,322,74,7
2018-12-01,11,57,7,5,2,64,4,57,84,72,147,79,12
2019-01-01,9,119,3,5,1,129,13,119,156,163,352,56,8
2019-02-01,6,64,0,4,0,66,2,64,94,78,235,74,13
2019-03-01,4,46,0,3,0,50,3,46,59,56,72,69,5
2019-04-01,8,65,3,4,2,72,5,65,83,74,109,32,6
2019-05-01,9,63,6,5,2,63,5,63,75,90,187,63,12
2019-06-01,5,35,1,3,0,39,4,35,43,41,36,23,2
2019-07-01,6,41,2,3,0,44,2,41,47,45,57,33,4
2019-08-01,3,32,1,3,0,35,3,32,41,37,36,33,3
2019-09-01,3,21,0,3,0,34,7,21,43,31,42,28,4
2019-10-01,6,17,2,4,0,46,32,17,48,50,94,38,5
2019-11-01,3,31,0,3,0,31,1,31,32,33,9,28,0
2019-12-01,3,34,1,2,0,38,8,34,43,47,40,27,0
2020-01-01,2,43,0,2,0,50,7,43,51,51,22,19,4
2020-02-01,2,32,0,2,0,40,7,32,42,39,23,16,3
2020-03-01,3,33,1,3,1,31,3,31,33,121,341,12,1
2020-04-01,2,21,0,2,0,22,1,21,25,22,6,18,2
2020-05-01,2,24,0,2,0,26,2,24,26,28,24,17,2
2020-06-01,2,27,0,2,0,31,4,27,31,32,21,11,0
2020-07-01,1,19,1,1,0,21,0,19,21,19,0,17,1
2020-08-01,2,23,0,2,0,24,3,23,24,26,10,13,2
