dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,6,446,0,2,0,0,0,0,66,5,139,0,0
2015-10-01,7,477,1,3,1,0,0,0,36,77,224,0,0
2015-11-01,6,197,0,2,0,0,0,0,10,10,47,90,6
2015-12-01,1,4,0,1,0,0,0,0,27,2,89,11,2
2016-01-01,5,107,1,1,0,0,0,0,27,11,52,6,1
2016-02-01,7,176,2,3,2,0,0,0,19,9,82,9,4
2016-03-01,8,223,2,2,1,0,0,0,18,46,115,12,3
2016-04-01,9,258,2,4,1,0,0,0,20,27,118,8,1
2016-05-01,3,118,0,1,0,0,0,0,10,8,18,7,2
2016-06-01,4,176,2,3,1,0,0,0,20,12,48,17,2
2016-07-01,5,26,1,4,1,0,0,0,3,2,8,3,1
2016-08-01,4,75,2,3,1,0,0,0,12,6,19,5,3
2016-09-01,6,74,4,5,2,1,0,0,44,5,96,4,6
2016-10-01,4,295,0,3,0,0,0,0,12,7,58,6,0
2016-11-01,9,438,3,7,3,1,0,0,21,58,145,14,5
2016-12-01,5,92,0,5,0,0,0,0,11,3,18,6,3
2017-01-01,6,196,1,5,1,0,1,0,10,28,50,8,2
2017-02-01,6,107,2,5,2,0,0,0,16,10,35,4,2
2017-03-01,5,228,0,4,0,0,0,0,16,23,55,5,1
2017-04-01,6,151,2,5,1,0,0,0,39,11,40,4,7
2017-05-01,8,278,2,6,0,1,1,0,22,36,82,7,1
2017-06-01,5,267,0,4,0,0,0,0,16,16,52,3,1
2017-07-01,6,176,2,4,1,0,0,0,42,10,54,6,7
2017-08-01,5,238,0,4,0,0,0,0,16,57,138,6,3
2017-09-01,7,151,1,6,1,0,1,0,27,20,73,4,3
2017-10-01,7,242,2,5,1,1,1,0,32,37,130,8,6
2017-11-01,7,172,2,5,1,0,0,0,37,22,91,13,0
2017-12-01,6,100,1,5,1,0,0,0,11,4,15,3,2
2018-01-01,7,108,1,6,0,0,0,0,24,14,61,7,2
2018-02-01,4,74,1,4,1,1,0,1,16,12,40,4,1
2018-03-01,8,158,1,7,1,0,0,0,15,53,88,9,4
2018-04-01,3,66,0,3,0,0,0,0,16,6,40,12,2
2018-05-01,6,141,1,5,1,0,0,0,38,31,80,4,4
2018-06-01,6,120,0,5,0,0,0,0,37,20,68,4,1
2018-07-01,6,117,1,5,0,0,0,0,30,30,71,9,5
2018-08-01,7,56,1,6,0,0,0,0,26,15,19,3,1
2018-09-01,6,52,0,5,0,0,0,0,10,17,22,4,0
2018-10-01,10,74,3,7,1,0,0,0,13,43,79,11,3
2018-11-01,7,76,1,5,0,0,0,0,9,13,23,5,2
2018-12-01,2,2,0,2,0,0,0,0,7,1,26,2,2
2019-01-01,2,8,0,2,0,0,0,0,40,2,77,11,1
2019-02-01,9,89,2,8,0,0,0,0,17,14,20,1,1
2019-03-01,5,111,0,5,0,0,0,0,12,52,106,9,2
2019-04-01,7,32,1,7,0,0,0,0,40,7,93,6,2
2019-05-01,8,54,1,6,0,0,0,0,9,11,36,5,1
2019-06-01,8,64,1,5,0,0,0,0,9,37,76,5,4
2019-07-01,4,5,1,3,0,0,0,0,11,1,17,6,1
2019-08-01,4,20,0,4,0,0,0,0,7,10,36,5,1
2019-09-01,3,5,1,3,1,0,0,0,8,1,26,7,0
2019-10-01,6,109,0,6,0,0,0,0,50,13,88,16,1
2019-11-01,7,66,2,6,2,0,0,0,7,32,57,8,0
2019-12-01,4,25,0,4,0,0,0,0,8,8,30,5,1
2020-01-01,6,98,0,6,0,0,0,0,33,16,44,10,1
2020-02-01,8,70,0,8,0,0,0,0,18,12,47,7,0
2020-03-01,10,171,2,10,0,0,0,0,29,23,76,5,1
2020-04-01,8,108,0,8,0,0,0,0,21,19,30,3,1
2020-05-01,5,99,0,5,0,0,0,0,18,31,39,3,2
2020-06-01,7,93,1,7,1,0,0,0,15,25,53,5,4
2020-07-01,6,61,0,6,0,0,0,0,17,18,35,9,0
2020-08-01,3,24,0,3,0,0,0,0,3,1,1,9,5
