dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,1,15,0,1,0,0,0,0,3,0,20,54,1
2017-01-01,1,25,0,1,0,0,0,0,1,0,2,38,0
2017-02-01,1,10,0,1,0,0,0,0,1,0,1,22,1
2017-03-01,4,82,3,4,3,3,1,2,8,6,23,14,3
2017-04-01,1,57,0,1,0,0,0,0,0,0,0,17,2
2017-05-01,1,106,0,1,0,0,0,0,0,0,0,50,2
2017-06-01,1,119,0,1,0,0,0,0,0,0,0,15,0
2017-07-01,3,110,2,3,2,2,1,1,8,6,61,29,1
2017-08-01,3,47,1,3,1,2,0,2,11,6,106,9,3
2017-09-01,3,41,1,3,1,2,0,2,11,6,60,24,2
2017-10-01,3,39,0,3,0,1,0,1,5,2,32,18,0
2017-11-01,3,71,2,3,1,2,0,2,6,6,65,30,0
2017-12-01,2,96,0,2,0,3,0,2,4,5,108,17,0
2018-01-01,2,76,0,2,0,0,0,1,11,10,76,47,1
2018-02-01,4,68,3,4,2,10,5,5,15,16,102,159,3
2018-03-01,2,120,0,2,0,1,0,1,10,3,78,18,0
2018-04-01,2,35,1,2,0,2,0,1,5,1,43,11,1
2018-05-01,3,38,1,3,0,12,2,9,30,21,177,112,3
2018-06-01,8,61,5,4,1,9,3,7,26,11,140,21,5
2018-07-01,2,27,1,2,0,2,0,2,9,10,71,30,0
2018-08-01,2,122,0,2,0,4,2,3,11,12,77,16,0
2018-09-01,1,148,0,1,0,1,0,0,8,6,53,11,0
2018-10-01,5,159,2,4,1,8,4,4,22,13,133,13,5
2018-11-01,3,65,1,3,0,4,0,4,8,8,46,9,2
2018-12-01,2,80,0,2,0,2,1,1,5,6,10,24,1
2019-01-01,1,80,0,1,0,1,0,0,5,5,45,19,2
2019-02-01,3,106,1,3,0,3,2,2,17,13,92,29,2
2019-03-01,3,64,2,2,0,7,2,4,34,27,282,19,2
2019-04-01,3,75,1,3,1,2,0,2,17,2,87,14,3
2019-05-01,1,128,0,1,0,0,0,0,32,22,203,13,0
2019-06-01,2,149,1,2,0,9,2,3,63,28,244,46,6
2019-07-01,4,203,2,3,1,13,1,14,68,70,538,27,1
2019-08-01,2,112,0,2,0,3,0,3,18,12,61,31,1
2019-09-01,3,218,2,3,1,2,0,2,25,6,46,17,2
2019-10-01,2,197,1,2,0,5,2,2,24,7,122,34,3
2019-11-01,2,176,0,2,0,8,1,7,29,16,145,7,2
2019-12-01,4,179,1,4,0,6,1,5,18,9,93,18,0
2020-01-01,5,118,2,3,0,6,0,6,24,21,118,39,0
2020-02-01,2,143,1,2,0,5,2,5,24,10,71,19,1
2020-03-01,4,195,1,3,0,20,1,15,70,51,589,76,3
2020-04-01,4,137,1,3,0,11,0,11,52,38,334,30,2
2020-05-01,1,135,0,1,0,0,0,0,24,9,112,23,1
2020-06-01,1,133,0,1,0,0,0,0,18,10,80,15,2
2020-07-01,1,107,0,1,0,1,0,0,28,14,101,9,0
2020-08-01,5,120,3,4,1,4,0,3,13,8,41,20,3
