dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,1,65,0,1,0,0,0,0,4,0,6,112,14
2015-07-01,1,11,0,1,0,0,0,0,0,0,0,31,6
2015-08-01,1,1,0,1,0,0,0,0,0,0,0,4,2
2015-09-01,1,1,0,1,0,0,0,0,0,0,0,3,1
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,3,1
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,19,3
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,2,2
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-04-01,1,72,0,1,0,0,0,0,1,1,4,51,3
2016-05-01,1,76,0,1,0,0,0,0,0,0,0,50,9
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,14,4
2016-07-01,1,5,0,1,0,0,0,0,0,0,0,11,5
2016-08-01,1,16,0,1,0,0,0,0,0,0,0,15,2
2016-09-01,0,0,0,0,0,0,0,0,2,0,5,3,2
2016-10-01,1,2,0,1,0,0,0,0,0,0,0,9,3
2016-11-01,1,21,0,1,0,0,0,0,5,1,28,16,4
2016-12-01,1,2,0,1,0,0,0,0,0,0,0,10,4
2017-01-01,1,90,0,1,0,0,0,0,0,10,33,3,1
2017-02-01,4,228,3,3,2,3,0,3,7,4,32,133,15
2017-03-01,6,232,4,4,2,4,0,4,13,14,58,307,40
2017-04-01,4,106,2,2,0,1,0,1,4,2,11,89,8
2017-05-01,2,81,0,2,0,0,0,0,2,3,21,58,12
2017-06-01,1,35,0,1,0,0,0,0,3,1,15,94,21
2017-07-01,1,25,0,1,0,0,0,0,2,1,9,55,12
2017-08-01,3,33,2,3,1,6,0,6,9,9,48,86,10
2017-09-01,0,0,0,0,0,0,0,0,1,1,10,23,2
2017-10-01,1,2,0,1,0,0,0,0,0,0,0,12,5
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,20,5
2017-12-01,1,4,0,1,0,0,0,0,1,1,8,28,3
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,13,1
2018-02-01,1,6,1,1,0,0,0,0,0,0,0,14,2
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,24,5
2018-04-01,2,19,1,1,0,0,0,0,0,0,0,11,4
2018-05-01,2,67,0,1,0,0,0,0,3,2,10,179,8
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,36,2
2018-07-01,2,3,1,1,0,0,0,0,1,0,1,30,2
2018-08-01,1,1,0,1,0,0,0,0,1,0,2,26,8
2018-09-01,2,4,1,2,1,1,0,1,1,1,6,98,7
2018-10-01,21,499,18,10,7,50,3,47,85,77,440,2876,133
2018-11-01,17,668,11,7,4,45,10,35,57,55,100,1109,72
2018-12-01,14,595,7,7,2,26,4,22,43,38,113,680,62
2019-01-01,5,223,2,2,0,8,1,7,12,9,29,336,32
2019-02-01,3,151,0,2,0,2,0,2,9,6,46,275,14
2019-03-01,3,384,1,1,0,4,0,4,24,14,104,910,92
2019-04-01,4,376,2,2,1,5,0,4,15,11,81,471,41
2019-05-01,9,671,6,6,3,60,2,59,70,69,95,354,38
2019-06-01,5,416,1,2,0,19,1,18,30,29,68,209,37
2019-07-01,3,211,1,2,0,4,0,4,11,11,83,260,27
2019-08-01,4,204,2,4,0,3,0,3,16,9,142,237,32
2019-09-01,7,118,4,4,1,10,0,10,15,13,58,167,21
2019-10-01,3,304,1,1,0,14,0,14,26,24,88,248,30
2019-11-01,5,146,1,3,0,16,0,16,35,30,202,354,42
2019-12-01,5,30,2,3,0,11,0,11,14,15,37,203,33
2020-01-01,1,2,0,1,0,0,0,0,8,1,20,173,26
2020-02-01,1,2,0,1,0,0,0,0,2,2,11,105,12
2020-03-01,4,10,1,4,0,2,0,2,10,4,19,124,15
2020-04-01,4,262,2,4,1,7,0,7,15,9,24,149,15
2020-05-01,1,76,0,1,0,0,0,0,5,2,4,98,22
2020-06-01,3,5,2,3,1,2,0,2,3,3,8,273,46
