dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,2,21,1,2,1,1,0,1,2,1,7,2,4
2015-06-01,1,55,0,1,0,0,0,0,1,0,3,2,1
2015-07-01,1,51,0,1,0,0,0,0,4,0,5,6,0
2015-08-01,1,65,0,1,0,1,0,0,4,1,3,3,0
2015-09-01,2,74,1,1,0,1,1,1,2,4,4,2,1
2015-10-01,3,91,2,2,1,1,0,1,3,2,2,18,3
2015-11-01,3,115,2,2,1,1,0,1,6,6,38,16,3
2015-12-01,1,60,0,1,0,0,0,0,6,2,32,29,0
2016-01-01,1,33,0,1,0,0,0,0,3,3,9,25,2
2016-02-01,1,47,0,1,0,0,0,0,1,1,28,18,0
2016-03-01,1,87,0,1,0,2,2,0,18,9,95,16,3
2016-04-01,5,82,4,2,1,7,1,5,18,15,173,54,7
2016-05-01,3,49,1,1,0,2,1,2,12,6,55,16,3
2016-06-01,2,41,0,1,0,1,0,1,13,9,53,27,3
2016-07-01,1,34,0,1,0,0,0,0,5,5,21,12,0
2016-08-01,2,30,0,1,0,0,0,0,4,3,37,7,3
2016-09-01,2,14,0,1,0,2,0,1,13,7,80,17,3
2016-10-01,2,27,0,1,0,1,0,1,13,11,44,20,5
2016-11-01,1,12,0,1,0,1,1,0,11,9,49,45,8
2016-12-01,1,2,0,1,0,0,0,0,3,2,7,58,6
2017-01-01,1,13,0,1,0,0,0,0,10,5,34,39,6
2017-02-01,1,19,0,1,0,0,0,0,8,9,27,57,3
2017-03-01,4,61,1,2,0,5,1,4,21,32,173,41,6
2017-04-01,2,49,1,2,1,1,1,1,29,32,120,49,12
2017-05-01,2,22,0,1,0,1,0,1,11,10,60,42,10
2017-06-01,2,23,0,1,0,3,2,1,10,8,63,42,6
2017-07-01,2,27,0,1,0,1,0,1,24,10,65,60,6
2017-08-01,2,30,1,1,0,4,3,0,31,25,96,49,15
2017-09-01,1,66,0,1,0,0,0,1,20,32,97,20,7
2017-10-01,2,51,1,2,1,5,4,1,16,11,75,45,13
2017-11-01,1,100,0,1,0,1,0,0,17,19,114,21,6
2017-12-01,2,55,0,1,0,0,0,0,12,6,44,72,5
2018-01-01,1,35,0,1,0,0,1,0,6,8,41,56,3
2018-02-01,2,55,0,1,0,2,0,1,14,8,42,36,5
2018-03-01,1,82,0,1,0,0,0,0,16,23,90,37,5
2018-04-01,2,13,1,1,0,1,0,1,3,1,22,26,5
2018-05-01,2,39,0,1,0,0,0,0,29,15,112,18,7
2018-06-01,1,30,0,1,0,0,0,0,21,19,97,26,7
2018-07-01,1,8,0,1,0,1,0,0,22,1,32,16,4
2018-08-01,1,15,0,1,0,0,1,0,15,4,38,34,5
2018-09-01,1,8,0,1,0,0,0,0,11,1,28,26,9
2018-10-01,1,11,0,1,0,0,0,0,4,11,38,32,2
2018-11-01,2,48,1,1,0,0,0,1,21,34,110,32,3
2018-12-01,1,21,0,1,0,0,0,0,7,0,19,16,5
2019-01-01,1,29,0,1,0,0,0,0,8,19,74,28,4
2019-02-01,2,93,1,1,0,1,0,1,10,35,93,34,4
2019-03-01,2,40,0,1,0,0,0,0,9,7,58,24,5
2019-04-01,1,25,0,1,0,0,0,0,8,10,46,36,6
2019-05-01,1,13,0,1,0,0,0,0,4,1,5,30,6
2019-06-01,1,31,0,1,0,0,0,0,5,5,22,30,4
2019-07-01,2,36,0,1,0,1,0,1,11,13,47,46,7
2019-08-01,1,27,0,1,0,0,0,0,13,7,38,34,7
2019-09-01,1,28,0,1,0,0,0,0,12,11,47,37,8
2019-10-01,1,8,0,1,0,0,0,0,11,1,16,46,6
2019-11-01,1,15,0,1,0,0,0,0,32,6,29,38,6
2019-12-01,1,11,0,1,0,0,0,0,7,13,34,42,8
2020-01-01,2,23,1,1,0,1,0,1,7,2,8,36,10
2020-02-01,1,31,0,1,0,0,0,0,5,20,11,32,14
2020-03-01,2,59,1,2,1,1,0,1,8,31,71,41,11
2020-04-01,2,31,1,2,0,1,0,1,8,10,31,46,7
2020-05-01,1,10,0,1,0,0,0,0,16,6,29,59,9
2020-06-01,1,45,0,1,0,0,0,0,6,8,30,38,14
2020-07-01,1,120,0,1,0,0,0,0,7,25,95,63,14
2020-08-01,2,63,1,2,0,0,0,0,5,15,44,31,9
