dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,8,381,5,5,3,17,0,16,41,25,153,3,3
2015-07-01,9,388,3,4,1,6,0,4,17,6,67,3,2
2015-08-01,9,373,2,4,1,16,0,12,35,20,160,2,1
2015-09-01,7,281,2,4,1,17,0,18,71,32,413,10,1
2015-10-01,7,405,1,3,0,24,0,22,66,39,430,6,2
2015-11-01,7,335,0,3,0,31,2,31,123,84,841,2,0
2015-12-01,6,208,0,2,0,34,4,26,98,83,606,15,4
2016-01-01,6,171,0,2,0,12,0,10,184,36,617,9,2
2016-02-01,7,172,0,3,0,25,4,22,69,53,474,7,0
2016-03-01,6,239,0,2,0,34,1,35,92,76,617,13,2
2016-04-01,7,83,0,3,0,21,3,17,69,68,415,9,3
2016-05-01,8,202,2,3,1,41,0,41,103,114,597,18,6
2016-06-01,9,91,2,2,0,40,6,30,87,69,509,185,16
2016-07-01,7,46,0,3,0,12,3,12,38,42,319,51,10
2016-08-01,13,79,9,6,4,30,9,19,58,56,467,2666,129
2016-09-01,12,143,3,6,1,25,3,21,53,43,428,323,24
2016-10-01,10,92,2,7,2,26,2,23,93,66,644,108,12
2016-11-01,7,41,0,3,0,12,4,11,28,33,213,173,22
2016-12-01,7,63,1,4,0,24,5,20,41,54,257,71,5
2017-01-01,12,64,3,4,0,15,1,11,45,27,247,117,18
2017-02-01,10,64,1,6,1,24,3,18,39,31,137,91,23
2017-03-01,6,32,0,3,0,14,0,6,43,19,130,86,25
2017-04-01,10,61,2,4,1,23,7,23,51,58,257,58,14
2017-05-01,7,65,1,5,0,18,4,18,43,35,167,46,14
2017-06-01,9,78,4,7,0,18,5,16,39,37,223,56,13
2017-07-01,6,21,1,5,0,11,0,5,21,15,154,57,13
2017-08-01,11,59,5,5,1,20,1,17,41,28,192,154,12
2017-09-01,8,29,0,3,0,17,3,13,42,227,652,59,13
2017-10-01,8,33,0,3,0,20,6,14,54,36,193,99,23
2017-11-01,8,13,0,4,0,9,2,8,24,22,147,103,6
2017-12-01,8,19,1,4,0,12,2,11,39,18,180,53,11
2018-01-01,7,16,0,3,0,14,2,9,40,36,298,43,10
2018-02-01,7,10,1,4,0,8,0,8,30,15,104,51,9
2018-03-01,8,19,1,4,1,17,2,14,43,51,264,40,4
2018-04-01,6,16,0,3,0,11,2,9,34,42,197,40,3
2018-05-01,9,16,2,5,1,18,4,14,47,34,181,38,9
2018-06-01,9,20,3,4,1,14,7,18,41,51,244,38,25
2018-07-01,7,29,0,4,0,21,1,20,44,57,241,47,13
2018-08-01,5,13,0,3,0,9,1,7,19,18,59,37,12
2018-09-01,6,23,0,3,0,1,2,0,21,15,42,59,9
2018-10-01,7,27,0,3,0,1,1,1,23,23,60,40,8
2018-11-01,9,30,1,4,1,9,0,9,30,28,79,1897,63
2018-12-01,7,27,0,3,0,0,3,1,24,31,82,117,6
2019-01-01,6,16,0,3,0,0,0,0,26,17,31,100,16
2019-02-01,3,11,0,2,0,1,1,1,18,15,21,58,6
2019-03-01,5,49,0,2,0,2,2,0,49,49,75,162,22
2019-04-01,6,49,0,2,0,1,0,0,46,44,76,43,10
2019-05-01,4,8,0,2,0,1,0,0,20,8,53,54,11
2019-06-01,5,5,0,2,0,1,0,0,12,6,26,41,7
2019-07-01,4,9,0,2,0,0,0,0,12,10,25,50,8
2019-08-01,4,10,0,2,0,1,0,1,27,15,54,57,7
2019-09-01,4,17,1,2,0,0,0,0,43,27,96,46,14
2019-10-01,4,13,1,3,0,1,0,0,19,21,72,54,12
2019-11-01,7,17,3,4,1,3,0,3,26,23,106,53,14
2019-12-01,9,73,2,3,0,7,1,5,57,34,126,48,5
2020-01-01,6,135,1,3,0,6,1,1,42,17,53,35,10
2020-02-01,8,142,0,3,0,9,0,7,50,41,56,33,10
2020-03-01,9,206,0,3,0,17,2,13,123,119,290,37,9
2020-04-01,9,99,0,3,0,70,12,41,160,120,385,59,11
2020-05-01,6,44,0,3,0,29,7,22,86,62,221,36,10
2020-06-01,7,51,2,3,0,38,8,28,66,54,249,42,11
2020-07-01,9,66,1,3,0,47,7,33,114,81,339,49,11
2020-08-01,7,39,0,3,0,29,8,22,86,59,136,35,9
