dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,8,156,3,7,3,1,0,1,1,1,6,0,0
2016-02-01,4,30,1,3,0,0,0,0,0,0,0,0,0
2016-03-01,5,11,1,4,0,0,0,0,0,0,0,0,0
2016-04-01,4,36,1,3,0,1,0,1,1,1,18,0,0
2016-05-01,5,89,2,5,2,0,0,0,0,0,0,0,0
2016-06-01,3,4,0,3,0,0,0,0,0,0,0,0,0
2016-07-01,4,13,2,4,1,1,0,1,11,9,48,2,1
2016-08-01,5,56,1,3,0,6,0,6,20,13,399,42,3
2016-09-01,6,87,2,3,0,5,0,5,22,19,353,14,8
2016-10-01,5,31,2,5,2,8,2,6,21,16,512,23,2
2016-11-01,4,27,2,4,1,2,0,2,13,8,173,26,3
2016-12-01,9,80,6,6,3,14,4,8,48,44,1098,33,10
2017-01-01,9,83,4,5,2,13,2,11,41,40,1006,27,2
2017-02-01,6,29,1,4,0,8,1,7,39,29,827,26,5
2017-03-01,3,17,0,3,0,3,0,2,26,21,612,39,2
2017-04-01,5,33,0,5,0,0,0,1,22,27,610,32,2
2017-05-01,5,22,2,4,1,6,1,3,28,23,459,26,2
2017-06-01,2,29,0,2,0,2,2,3,29,27,855,23,2
2017-07-01,3,28,0,3,0,0,0,0,26,23,647,37,1
2017-08-01,3,13,0,3,0,1,0,1,25,10,440,31,2
2017-09-01,4,49,1,4,1,6,0,0,26,21,476,27,3
2017-10-01,5,26,3,5,2,10,1,13,30,31,321,26,3
2017-11-01,4,31,1,4,1,10,0,7,34,32,482,32,5
2017-12-01,2,6,0,2,0,4,0,3,24,14,340,36,1
2018-01-01,3,11,1,3,1,3,0,3,30,29,436,35,1
2018-02-01,3,7,1,3,1,2,0,3,24,17,297,25,2
2018-03-01,2,9,0,2,0,0,0,1,20,30,250,35,3
2018-04-01,2,17,0,2,0,0,0,1,21,18,213,28,4
2018-05-01,2,7,0,2,0,1,1,0,19,24,312,25,3
2018-06-01,0,0,0,0,0,0,0,0,10,7,105,21,3
2018-07-01,3,4,2,3,1,2,0,2,23,20,196,43,6
2018-08-01,3,3,1,3,0,3,2,1,26,22,176,30,3
2018-09-01,3,9,2,3,1,6,1,4,25,20,233,23,5
2018-10-01,2,5,0,2,0,1,1,2,20,21,281,24,1
2018-11-01,1,1,0,1,0,3,0,1,18,19,193,37,6
2018-12-01,5,9,2,4,0,4,1,3,25,19,231,15,2
2019-01-01,2,2,2,2,1,4,0,0,14,7,131,31,10
2019-02-01,1,1,0,1,0,5,2,3,20,25,199,32,10
2019-03-01,11,22,9,8,4,11,4,9,21,36,320,38,10
2019-04-01,2,2,1,2,0,4,1,1,20,12,122,36,5
2019-05-01,0,0,0,0,0,5,2,1,24,14,250,37,3
2019-06-01,2,4,1,2,1,8,4,3,21,15,125,25,5
2019-07-01,8,15,5,5,1,6,2,4,21,26,534,33,8
2019-08-01,2,2,1,2,0,2,0,1,10,7,29,34,3
2019-09-01,2,3,1,2,1,5,1,1,19,14,102,34,6
2019-10-01,1,1,1,1,0,1,0,1,21,11,235,28,8
2019-11-01,5,5,4,4,1,4,0,2,18,9,119,24,6
2019-12-01,5,5,3,5,1,7,1,1,27,22,199,37,10
2020-01-01,4,9,2,4,1,5,3,8,33,37,249,44,5
2020-02-01,6,11,3,5,1,6,2,3,19,16,108,33,3
2020-03-01,7,14,3,5,1,10,3,9,37,33,480,49,8
2020-04-01,10,20,6,6,1,18,4,10,53,45,445,59,12
2020-05-01,3,9,2,3,0,10,1,10,32,40,470,71,8
2020-06-01,0,0,0,0,0,4,0,0,26,16,107,61,10
2020-07-01,3,4,2,2,0,7,0,2,32,27,213,57,10
2020-08-01,1,2,0,1,0,2,0,2,25,22,123,47,5
