dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,1,84,0,1,0,0,0,0,1,0,8,14,0
2016-05-01,4,121,3,4,3,20,13,2,23,17,38,22,1
2016-06-01,3,13,0,3,0,14,11,4,15,15,8,25,2
2016-07-01,3,31,0,3,0,19,16,5,21,21,27,19,1
2016-08-01,1,9,0,1,0,18,13,0,21,14,7,10,1
2016-09-01,4,11,1,3,0,9,8,1,12,11,12,11,0
2016-10-01,6,61,1,4,0,35,16,5,40,27,98,29,1
2016-11-01,5,37,1,5,1,8,26,3,14,33,52,20,2
2016-12-01,1,8,0,1,0,23,0,0,24,1,12,18,0
2017-01-01,2,12,0,2,0,8,27,1,12,33,20,21,1
2017-02-01,1,2,0,1,0,10,0,0,12,0,12,14,1
2017-03-01,2,13,0,2,0,11,23,1,17,32,46,20,0
2017-04-01,0,0,0,0,0,0,0,0,3,1,6,21,4
2017-05-01,1,1,1,1,1,1,0,0,4,0,13,17,2
2017-06-01,1,1,1,1,0,1,0,0,2,0,11,24,2
2017-07-01,1,1,1,1,1,2,0,0,3,0,5,24,6
2017-08-01,1,3,0,1,0,0,1,3,2,4,8,29,3
2017-09-01,3,5,1,3,0,1,0,1,4,5,32,26,3
2017-10-01,0,0,0,0,0,2,0,0,8,2,38,57,4
2017-11-01,2,18,0,2,0,7,4,4,16,20,133,46,3
2017-12-01,5,77,3,4,1,24,0,25,44,35,214,82,9
2018-01-01,4,14,2,3,0,4,0,4,11,6,66,69,8
2018-02-01,4,10,2,4,1,4,0,3,12,9,69,77,6
2018-03-01,5,29,2,4,1,9,0,10,18,14,74,109,9
2018-04-01,4,9,2,4,1,5,0,4,12,6,52,101,11
2018-05-01,0,0,0,0,0,3,1,0,9,2,52,131,10
2018-06-01,4,9,2,4,2,3,1,2,14,6,77,108,13
2018-07-01,6,58,3,5,1,16,1,11,29,16,111,89,10
2018-08-01,7,19,1,6,1,6,1,8,17,17,162,80,12
2018-09-01,6,10,2,4,0,7,1,4,22,10,133,106,13
2018-10-01,3,3,1,3,1,3,0,2,20,6,50,83,6
2018-11-01,6,27,2,5,1,9,1,4,22,10,102,79,9
2018-12-01,6,9,2,4,1,3,0,4,16,13,69,724,22
2019-01-01,7,22,1,4,0,8,0,9,20,22,118,130,12
2019-02-01,6,28,1,3,0,7,0,5,16,10,75,64,6
2019-03-01,5,11,1,2,0,4,1,2,16,12,118,104,6
2019-04-01,6,40,1,4,0,13,2,11,23,43,279,70,7
2019-05-01,6,27,2,4,1,14,4,10,24,16,105,80,9
2019-06-01,3,12,1,1,0,3,0,3,12,12,50,48,4
2019-07-01,3,9,1,1,0,3,1,3,7,7,42,64,5
2019-08-01,3,9,1,2,1,2,0,4,15,10,59,51,4
2019-09-01,8,32,5,6,3,13,4,10,21,45,320,67,6
2019-10-01,6,17,2,4,0,4,0,4,14,8,52,89,6
2019-11-01,9,56,1,4,0,14,1,11,25,22,86,57,4
2019-12-01,7,37,1,3,0,10,2,10,13,21,61,72,5
2020-01-01,2,3,0,1,0,2,0,2,8,3,27,55,5
2020-02-01,0,0,0,0,0,1,0,0,6,3,28,52,8
2020-03-01,4,6,2,2,0,4,1,3,10,6,92,61,3
2020-04-01,4,8,1,4,1,6,2,3,9,7,65,831,25
2020-05-01,6,15,1,5,1,8,2,8,14,15,124,171,9
2020-06-01,5,6,2,5,2,4,0,3,9,5,28,77,9
2020-07-01,2,2,1,2,0,1,3,2,18,15,143,87,14
2020-08-01,3,6,1,3,1,1,0,3,10,10,56,43,5
