dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,2,43,2,1,1,0,0,0,2,2,8,6,0
2016-07-01,2,18,1,2,1,0,0,0,14,6,149,22,0
2016-08-01,2,55,0,1,0,6,6,0,23,29,110,43,2
2016-09-01,0,0,0,0,0,0,0,0,15,0,37,13,0
2016-10-01,3,84,1,1,0,2,0,2,53,68,273,37,1
2016-11-01,3,223,2,2,1,12,6,5,75,68,1182,58,0
2016-12-01,4,225,2,2,1,8,6,3,60,59,1156,52,3
2017-01-01,2,140,0,1,0,1,0,1,79,74,532,46,3
2017-02-01,2,76,0,1,0,0,0,0,37,35,403,39,1
2017-03-01,4,68,3,2,1,4,0,3,45,40,486,46,3
2017-04-01,4,37,2,3,1,6,0,6,24,17,96,73,7
2017-05-01,5,56,3,3,1,7,3,5,48,39,202,57,4
2017-06-01,3,78,1,1,0,3,2,1,53,67,268,64,5
2017-07-01,3,220,0,1,0,4,0,4,58,60,715,64,4
2017-08-01,9,158,5,3,2,9,1,8,114,102,618,78,9
2017-09-01,4,187,2,3,2,3,0,3,81,78,1380,73,4
2017-10-01,6,190,4,4,2,9,1,6,75,83,698,83,6
2017-11-01,7,159,3,2,0,5,1,5,80,80,482,114,4
2017-12-01,5,100,1,2,1,2,0,2,101,78,297,91,6
2018-01-01,4,154,2,2,0,3,2,2,67,84,426,88,2
2018-02-01,3,71,1,1,0,1,0,1,53,42,136,81,3
2018-03-01,3,92,1,2,0,4,2,2,45,55,242,101,7
2018-04-01,4,44,2,3,2,5,2,3,39,36,138,93,4
2018-05-01,4,67,2,2,1,2,0,2,63,57,323,92,7
2018-06-01,5,52,2,1,0,6,0,5,61,31,109,94,4
2018-07-01,7,67,4,4,2,6,1,5,48,57,164,75,6
2018-08-01,5,50,3,2,1,4,2,3,38,44,194,88,5
2018-09-01,5,92,2,2,0,3,0,3,45,54,312,59,3
2018-10-01,4,65,2,1,0,3,1,2,32,34,134,89,2
2018-11-01,4,88,1,3,1,4,1,3,25,32,68,81,7
2018-12-01,4,107,2,3,0,2,0,1,33,9,74,64,3
2019-01-01,5,107,1,3,0,3,1,3,30,55,196,90,8
2019-02-01,3,92,1,1,0,1,0,1,37,36,125,62,2
2019-03-01,5,113,3,3,1,5,1,4,35,38,144,71,7
2019-04-01,4,50,0,3,0,5,1,4,41,36,113,102,9
2019-05-01,5,77,2,3,0,3,0,3,39,35,122,80,5
2019-06-01,4,51,2,2,0,2,0,2,19,28,85,74,7
2019-07-01,4,86,2,3,2,3,1,2,39,33,69,82,3
2019-08-01,4,89,2,2,0,2,0,2,42,41,128,82,5
2019-09-01,6,103,3,2,0,15,2,13,43,40,163,56,6
2019-10-01,5,168,1,2,0,15,5,10,55,76,359,73,7
2019-11-01,4,112,1,2,0,1,0,1,36,33,124,59,7
2019-12-01,5,104,2,2,0,2,0,2,36,36,121,50,3
2020-01-01,4,83,1,2,0,1,0,1,18,11,33,69,6
2020-02-01,3,96,0,1,0,0,0,0,20,19,74,73,1
2020-03-01,3,73,0,1,0,0,0,0,40,40,208,73,5
2020-04-01,4,124,1,1,0,2,1,1,61,67,157,105,7
2020-05-01,6,124,2,2,0,7,3,4,73,63,241,114,9
2020-06-01,6,116,2,3,0,6,1,4,44,48,257,78,5
2020-07-01,5,38,2,3,1,3,1,3,32,28,105,103,9
2020-08-01,2,50,0,1,0,0,0,0,28,30,59,102,8
