dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,1,41,1,1,1,3,0,3,7,44,291,26,2
2016-11-01,2,63,1,2,1,0,0,0,5,0,28,87,7
2016-12-01,0,0,0,0,0,0,0,0,2,1,22,57,1
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,6,1
2017-02-01,2,90,1,2,1,0,0,0,0,0,0,9,2
2017-03-01,4,72,2,4,1,7,7,6,22,44,306,25,4
2017-04-01,12,86,10,7,4,19,0,13,73,30,327,399,18
2017-05-01,10,27,3,5,1,10,0,6,17,9,168,58,7
2017-06-01,3,132,1,3,1,6,4,6,29,42,214,79,8
2017-07-01,1,27,0,1,0,1,0,0,21,9,36,35,4
2017-08-01,3,6,1,2,0,1,0,1,22,2,98,29,3
2017-09-01,6,77,4,4,2,10,6,8,18,27,114,41,6
2017-10-01,8,127,6,5,1,8,0,8,28,33,209,62,9
2017-11-01,4,35,2,4,1,6,2,0,20,10,117,76,5
2017-12-01,6,57,3,4,1,10,1,6,31,20,151,93,13
2018-01-01,6,21,3,3,1,8,1,6,18,9,97,209,15
2018-02-01,5,61,2,3,1,3,0,4,13,16,97,203,14
2018-03-01,6,22,5,4,2,8,1,2,12,5,91,81,11
2018-04-01,6,57,3,4,2,5,2,5,31,17,174,157,16
2018-05-01,7,40,5,7,5,6,0,5,23,7,92,41,12
2018-06-01,7,43,3,6,2,8,1,8,14,14,125,54,10
2018-07-01,7,65,2,5,0,6,2,3,16,12,100,30,9
2018-08-01,7,16,2,7,1,6,1,8,9,9,80,43,7
2018-09-01,5,45,0,5,0,3,0,4,10,6,83,49,2
2018-10-01,6,59,0,6,0,5,2,5,20,15,126,51,7
2018-11-01,6,44,2,6,1,8,7,7,13,82,377,62,4
2018-12-01,5,84,2,5,0,5,0,4,20,26,192,52,5
2019-01-01,6,14,2,5,1,8,0,5,15,12,103,39,12
2019-02-01,2,5,1,2,1,5,0,1,14,3,58,28,7
2019-03-01,8,40,3,7,3,10,1,7,32,15,306,50,6
2019-04-01,5,81,1,5,0,20,1,22,35,45,342,39,5
2019-05-01,4,88,0,3,0,21,0,18,56,71,687,45,7
2019-06-01,9,108,3,7,1,30,0,29,68,49,462,33,4
2019-07-01,7,14,1,6,0,7,0,6,14,8,71,37,4
2019-08-01,9,71,3,7,2,22,0,19,35,36,267,18,3
2019-09-01,2,3,0,2,0,1,0,0,5,12,77,21,2
2019-10-01,4,13,2,4,1,4,5,7,9,25,147,31,4
2019-11-01,7,39,5,6,2,11,3,9,18,26,172,31,8
2019-12-01,4,24,2,4,2,7,1,8,13,37,209,29,4
2020-01-01,5,16,1,5,1,6,1,6,13,21,148,35,6
2020-02-01,3,11,1,3,1,4,0,2,11,12,151,23,3
2020-03-01,8,35,4,8,4,8,4,9,18,19,136,28,4
2020-04-01,4,14,1,4,1,7,0,3,12,12,77,31,5
2020-05-01,4,18,0,4,0,4,2,8,8,20,122,22,4
2020-06-01,3,10,0,3,0,5,1,4,7,10,33,21,1
2020-07-01,4,7,1,4,1,4,0,4,13,11,64,115,10
