dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,9,81,9,4,4,1,0,1,1,1,0,1,1
2016-08-01,3,23,0,2,0,0,0,0,1,0,2,7,0
2016-09-01,3,36,0,3,0,0,0,0,5,2,8,6,0
2016-10-01,3,27,0,2,0,0,0,0,11,4,28,8,2
2016-11-01,3,28,1,1,0,3,0,3,3,5,4,8,2
2016-12-01,5,71,3,3,0,12,0,12,23,14,19,18,1
2017-01-01,8,156,1,3,0,23,0,23,26,23,30,8,2
2017-02-01,8,313,0,3,0,52,2,49,112,76,165,10,1
2017-03-01,13,151,3,5,2,31,1,30,103,81,265,35,1
2017-04-01,6,73,0,3,0,13,1,13,31,16,33,14,4
2017-05-01,9,67,3,4,1,7,0,6,30,22,56,26,7
2017-06-01,9,107,1,3,0,23,1,23,48,32,51,18,4
2017-07-01,5,85,1,3,0,17,1,16,31,35,22,13,3
2017-08-01,8,53,0,3,0,8,1,6,14,12,17,36,3
2017-09-01,6,59,0,4,0,9,0,10,16,17,36,14,8
2017-10-01,5,88,0,3,0,15,0,15,35,28,50,29,4
2017-11-01,3,61,0,2,0,9,0,9,19,21,31,13,5
2017-12-01,6,141,0,3,0,22,0,22,35,35,30,16,1
2018-01-01,7,95,2,4,1,19,0,18,30,24,18,12,7
2018-02-01,8,164,0,4,0,23,2,20,40,31,63,21,9
2018-03-01,6,112,0,3,0,28,2,26,53,45,83,52,6
2018-04-01,7,23,4,4,1,3,0,3,7,5,10,16,3
2018-05-01,6,26,2,3,0,5,0,5,10,5,23,20,3
2018-06-01,4,11,0,3,0,4,0,4,6,5,2,33,1
2018-07-01,5,9,2,3,0,4,0,4,6,5,0,51,6
2018-08-01,3,16,0,3,0,7,1,6,17,33,52,47,7
2018-09-01,3,16,1,2,0,6,0,7,15,11,34,54,4
2018-10-01,4,16,1,4,1,7,1,6,13,20,39,34,5
2018-11-01,3,9,1,3,1,3,1,2,3,4,11,33,6
2018-12-01,3,4,0,3,0,2,0,2,8,2,6,31,4
2019-01-01,0,0,0,0,0,0,0,0,3,0,2,28,4
2019-02-01,0,0,0,0,0,0,0,0,4,1,2,17,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,23,2
2019-04-01,2,5,0,2,0,1,0,1,8,2,15,28,3
2019-05-01,4,5,1,4,1,3,1,2,5,3,2,23,3
2019-06-01,0,0,0,0,0,0,0,0,0,1,4,16,5
2019-07-01,0,0,0,0,0,0,0,0,3,1,0,18,1
2019-08-01,0,0,0,0,0,0,0,0,1,1,2,15,0
2019-09-01,0,0,0,0,0,0,0,0,1,0,0,16,5
2019-10-01,0,0,0,0,0,0,0,0,1,1,9,19,1
2019-11-01,3,4,1,3,0,3,1,0,5,1,2,10,4
2019-12-01,3,13,0,3,0,1,1,3,2,4,1,8,1
2020-01-01,0,0,0,0,0,0,0,0,1,0,0,6,4
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-03-01,2,2,1,1,0,2,0,1,4,1,1,59,10
