dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,3,3,2,2,1,2,0,1,7,1,23,260,11
2015-11-01,9,69,7,4,2,11,4,7,38,28,197,2736,326
2015-12-01,2,9,1,2,1,1,1,0,6,9,34,593,120
2016-01-01,2,23,0,2,0,0,0,1,5,9,35,294,63
2016-02-01,3,33,1,3,0,3,2,1,9,9,64,197,43
2016-03-01,5,22,3,4,1,6,1,5,12,10,41,197,47
2016-04-01,3,6,2,3,1,3,0,0,4,1,18,138,24
2016-05-01,4,32,1,3,0,3,2,4,7,10,59,346,48
2016-06-01,1,4,0,1,0,0,0,0,4,2,13,199,45
2016-07-01,4,20,2,3,0,3,0,2,9,9,59,193,33
2016-08-01,1,23,0,1,0,1,0,0,7,10,40,519,96
2016-09-01,3,6,1,3,0,1,1,1,8,6,23,790,197
2016-10-01,4,25,1,3,0,8,2,3,16,13,79,363,88
2016-11-01,4,26,1,3,0,5,3,4,11,10,59,296,67
2016-12-01,3,6,1,3,0,5,4,1,8,6,19,273,63
2017-01-01,3,5,0,3,0,2,0,1,3,1,4,206,47
2017-02-01,3,8,1,3,1,3,0,3,6,6,20,232,48
2017-03-01,3,16,1,2,0,4,3,2,12,12,79,267,77
2017-04-01,2,5,1,2,0,5,1,1,7,5,21,219,45
2017-05-01,1,2,0,1,0,1,0,0,5,1,11,159,52
2017-06-01,2,7,1,2,0,1,0,1,5,3,22,223,49
2017-07-01,3,10,1,3,0,3,1,1,5,4,26,190,44
2017-08-01,4,26,1,3,0,5,2,2,12,10,70,196,36
2017-09-01,4,10,2,4,1,4,1,1,7,2,26,191,52
2017-10-01,3,10,1,3,1,3,0,1,11,6,34,229,48
2017-11-01,3,19,0,3,0,2,2,1,4,7,33,175,54
2017-12-01,3,11,0,3,0,5,3,4,12,10,52,170,38
2018-01-01,4,6,2,3,0,2,0,3,3,3,12,187,37
2018-02-01,3,10,1,2,0,2,0,2,5,4,6,150,46
2018-03-01,1,1,1,1,0,3,1,0,4,1,7,152,31
2018-04-01,0,0,0,0,0,0,0,0,4,1,4,148,34
2018-05-01,2,2,2,2,1,1,0,0,1,0,5,129,39
2018-06-01,6,137,3,2,0,48,15,40,93,91,138,137,33
2018-07-01,6,178,2,3,1,81,8,71,102,98,78,145,21
2018-08-01,9,46,3,3,0,28,4,26,32,37,54,258,37
2018-09-01,6,40,1,4,1,26,3,21,31,30,78,124,30
2018-10-01,4,57,0,2,0,15,2,13,23,24,73,252,45
2018-11-01,6,14,1,3,0,13,1,11,23,17,67,250,42
2018-12-01,4,24,1,2,1,10,0,11,17,14,55,193,25
2019-01-01,7,45,1,4,1,20,1,15,30,22,105,240,41
2019-02-01,5,23,2,3,0,6,1,4,9,8,39,183,35
2019-03-01,15,105,9,5,1,45,11,39,57,59,145,173,39
2019-04-01,6,29,0,2,0,10,3,6,14,10,8,207,31
2019-05-01,6,10,1,2,0,9,2,5,16,12,44,181,44
2019-06-01,15,42,9,5,2,25,5,16,33,24,105,146,44
2019-07-01,7,23,3,3,0,12,0,12,17,15,37,208,49
2019-08-01,2,2,1,1,0,5,1,1,8,3,30,184,41
2019-09-01,1,2,0,1,0,2,0,1,3,3,20,175,40
2019-10-01,3,20,1,2,0,9,1,1,14,3,40,616,105
2019-11-01,5,11,1,2,0,6,11,5,10,41,108,191,37
2019-12-01,3,7,0,2,0,10,3,7,22,20,79,159,48
2020-01-01,1,2,0,1,0,2,0,1,2,1,7,156,28
2020-02-01,1,1,0,1,0,2,0,3,3,3,37,105,36
2020-03-01,2,2,0,2,0,7,0,2,15,5,21,737,191
