dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,19,419,2,4,0,24,0,22,48,33,338,3056,119
2015-12-01,11,207,4,3,0,42,1,33,106,59,793,488,56
2016-01-01,9,284,1,4,1,34,1,36,73,64,546,189,31
2016-02-01,5,197,2,3,1,25,3,22,65,42,443,191,36
2016-03-01,9,302,5,6,4,38,6,30,85,71,572,177,25
2016-04-01,12,354,4,5,1,66,8,56,115,99,865,187,13
2016-05-01,12,259,4,6,1,47,8,39,97,76,643,151,28
2016-06-01,14,278,3,6,2,49,8,40,121,91,646,173,23
2016-07-01,9,187,6,7,3,39,9,30,88,76,547,141,26
2016-08-01,12,253,4,8,2,53,8,46,94,91,538,165,28
2016-09-01,10,269,1,4,1,43,6,37,107,78,794,167,18
2016-10-01,8,353,1,4,0,43,4,44,101,88,761,127,15
2016-11-01,9,242,1,4,0,53,7,43,110,99,644,108,22
2016-12-01,5,100,0,3,0,18,1,12,64,27,382,99,19
2017-01-01,9,146,2,4,1,32,3,28,72,55,333,83,12
2017-02-01,12,195,3,5,0,39,3,35,81,78,555,139,11
2017-03-01,16,240,2,6,1,51,2,42,114,81,729,160,24
2017-04-01,12,240,4,7,3,42,7,28,96,72,706,133,32
2017-05-01,10,232,2,5,2,45,8,41,111,95,730,107,20
2017-06-01,8,300,1,4,1,33,10,28,86,81,693,152,27
2017-07-01,7,145,0,4,0,26,7,26,85,69,739,155,15
2017-08-01,9,112,2,4,1,17,0,16,56,44,329,153,35
2017-09-01,10,168,0,3,0,24,2,17,69,57,419,112,13
2017-10-01,14,279,5,6,2,36,4,34,90,86,690,143,22
2017-11-01,11,122,3,6,2,15,11,12,53,48,477,185,19
2017-12-01,7,127,1,4,1,12,2,10,40,31,287,165,25
2018-01-01,14,230,5,8,2,38,5,33,84,100,746,207,34
2018-02-01,9,267,1,5,0,36,5,28,112,88,706,223,27
2018-03-01,16,270,7,8,4,31,2,30,91,82,682,188,24
2018-04-01,12,240,3,6,2,23,1,23,77,75,641,168,18
2018-05-01,16,226,6,11,5,36,4,32,95,78,707,180,27
2018-06-01,8,195,2,3,1,26,3,18,80,50,436,176,28
2018-07-01,6,158,2,3,1,29,0,29,93,85,620,182,27
2018-08-01,12,284,5,6,1,34,4,27,99,55,481,156,16
2018-09-01,12,268,2,7,2,40,4,37,103,97,822,176,20
2018-10-01,17,413,6,8,1,65,8,58,137,126,1259,180,31
2018-11-01,11,465,1,5,0,37,1,33,101,73,651,166,22
2018-12-01,8,240,1,4,1,38,5,29,80,77,527,111,15
2019-01-01,9,408,3,5,0,52,15,43,120,113,974,136,21
2019-02-01,9,268,3,6,2,35,4,35,87,90,873,137,17
2019-03-01,6,274,2,3,1,48,5,42,113,122,906,170,29
2019-04-01,9,243,3,6,3,50,4,49,121,118,860,232,23
2019-05-01,6,310,2,3,1,38,2,40,105,118,849,180,16
2019-06-01,6,177,2,4,2,26,1,20,70,55,327,152,24
2019-07-01,7,178,1,4,1,34,2,35,96,88,598,137,24
2019-08-01,7,123,2,3,0,20,3,16,65,41,267,125,22
2019-09-01,12,185,5,5,1,35,1,36,76,75,506,107,14
2019-10-01,10,199,5,5,2,41,0,36,88,81,719,153,32
2019-11-01,10,84,3,6,2,22,3,14,68,37,284,81,16
2019-12-01,6,130,1,4,1,24,1,20,64,47,394,87,17
2020-01-01,7,120,3,3,1,21,2,23,79,73,482,96,9
2020-02-01,7,82,1,3,0,21,1,16,70,41,322,110,20
2020-03-01,6,285,0,3,0,40,0,43,110,82,808,126,21
2020-04-01,11,140,6,3,0,26,2,24,80,41,217,275,25
2020-05-01,5,96,3,5,2,24,1,22,88,38,206,197,30
2020-06-01,6,99,1,4,1,21,1,22,86,47,256,161,17
2020-07-01,7,65,3,4,1,24,3,22,64,43,196,132,16
2020-08-01,5,121,1,3,0,30,3,22,76,45,263,142,15
