dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,2,75,2,2,2,1,0,0,11,5,153,769,30
2015-03-01,3,67,2,3,2,4,0,4,39,30,251,2323,101
2015-04-01,4,26,3,4,3,2,1,2,6,7,46,103,9
2015-05-01,1,9,0,1,0,0,0,0,11,8,67,51,6
2015-06-01,1,8,0,1,0,0,0,0,5,6,53,96,22
2015-07-01,3,40,1,3,1,3,0,3,10,10,95,48,10
2015-08-01,4,39,1,4,0,4,0,4,10,9,92,53,9
2015-09-01,1,2,0,1,0,0,0,0,2,1,8,51,7
2015-10-01,1,10,0,1,0,0,0,0,4,0,23,59,6
2015-11-01,4,5,2,3,0,2,0,2,4,3,27,47,11
2015-12-01,1,4,0,1,0,1,0,0,6,1,41,77,11
2016-01-01,5,83,2,5,2,9,2,7,24,29,294,123,19
2016-02-01,5,32,2,5,2,3,1,3,20,17,118,74,12
2016-03-01,5,20,3,4,1,3,0,2,13,6,92,69,5
2016-04-01,3,36,1,3,0,1,1,1,11,13,112,70,8
2016-05-01,12,75,9,8,3,10,2,8,57,46,398,2877,127
2016-06-01,7,30,5,7,4,7,3,4,41,31,255,527,34
2016-07-01,5,23,2,5,0,4,0,3,25,22,178,212,26
2016-08-01,4,36,2,4,1,5,4,1,34,31,232,132,31
2016-09-01,4,14,1,4,0,4,0,0,30,12,151,123,17
2016-10-01,4,21,1,4,1,5,3,2,23,20,175,121,13
2016-11-01,5,20,2,5,2,4,0,2,29,23,162,119,29
2016-12-01,2,3,1,1,0,1,0,0,34,12,124,179,34
2017-01-01,4,13,2,4,1,1,0,2,17,9,70,123,23
2017-02-01,4,21,1,4,1,2,1,0,32,7,103,112,15
2017-03-01,4,36,2,4,1,1,0,2,29,18,137,150,31
2017-04-01,5,28,3,5,2,2,2,0,25,11,132,140,25
2017-05-01,4,20,1,4,1,1,0,0,19,8,91,145,20
2017-06-01,2,6,0,2,0,1,1,0,13,6,75,128,14
2017-07-01,4,8,2,4,0,2,0,0,20,7,66,117,14
2017-08-01,4,8,1,4,0,2,1,0,23,9,97,134,20
2017-09-01,4,9,2,4,2,2,1,0,23,7,81,139,30
2017-10-01,6,32,2,6,1,6,2,0,28,14,121,165,29
2017-11-01,5,101,0,5,0,3,4,9,22,36,294,160,21
2017-12-01,3,20,2,3,2,2,0,0,17,4,58,148,22
2018-01-01,9,75,5,8,2,3,1,3,35,30,255,140,21
2018-02-01,4,26,1,4,1,1,0,1,23,10,134,159,19
2018-03-01,5,72,2,5,1,5,5,3,52,172,1091,184,43
2018-04-01,5,60,3,3,0,13,1,11,80,63,580,265,36
2018-05-01,4,101,2,4,1,8,2,7,62,101,596,240,25
2018-06-01,10,145,6,8,2,4,1,3,87,74,453,220,42
2018-07-01,4,67,2,4,2,7,2,5,61,39,344,194,31
2018-08-01,4,40,2,4,1,4,1,3,37,42,334,232,34
2018-09-01,3,17,1,3,1,1,0,0,16,9,136,168,26
2018-10-01,6,22,4,5,1,1,0,1,45,25,275,217,40
2018-11-01,6,19,3,6,2,2,0,2,39,12,161,200,25
2018-12-01,6,15,3,6,1,1,2,0,19,22,120,211,35
2019-01-01,3,43,2,2,0,2,1,0,30,10,100,266,35
2019-02-01,3,24,1,3,1,1,0,2,34,24,140,260,33
2019-03-01,2,8,1,2,0,0,0,0,38,9,92,263,40
2019-04-01,4,44,2,2,0,4,1,3,31,49,309,296,31
2019-05-01,2,3,1,2,1,0,0,0,24,7,69,293,40
2019-06-01,2,33,1,2,0,3,1,2,26,13,56,242,38
2019-07-01,6,6,5,5,2,2,0,1,34,7,40,235,46
2019-08-01,5,6,5,5,3,3,0,0,40,5,70,265,43
2019-09-01,6,6,4,4,2,5,1,0,23,3,27,529,57
2019-10-01,3,3,2,2,0,1,0,1,28,4,68,238,31
2019-11-01,0,0,0,0,0,0,0,0,18,3,48,189,30
2019-12-01,2,2,2,2,0,2,0,0,14,7,31,235,37
2020-01-01,5,55,4,5,3,0,2,3,27,38,124,186,31
2020-02-01,11,74,9,6,3,6,3,8,46,53,212,204,44
2020-03-01,6,27,3,3,0,2,0,2,28,13,82,257,38
2020-04-01,4,37,3,4,1,6,3,3,69,43,239,327,55
2020-05-01,3,9,2,2,0,1,0,1,40,11,83,323,58
2020-06-01,3,3,2,3,0,2,0,1,33,12,72,258,44
2020-07-01,1,1,0,1,0,1,0,0,28,6,33,269,43
2020-08-01,3,6,2,3,0,2,0,4,25,22,45,408,54
