dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,6,104,6,4,4,7,0,7,13,10,1,1,2
2015-06-01,9,381,4,6,2,58,3,54,98,91,274,40,10
2015-07-01,11,251,5,9,3,58,12,45,88,88,322,41,11
2015-08-01,12,237,4,8,2,44,10,33,122,102,556,69,18
2015-09-01,17,131,7,8,0,33,8,28,84,85,415,45,12
2015-10-01,11,141,2,8,2,45,6,36,90,89,525,33,10
2015-11-01,11,148,0,7,0,36,6,27,86,68,573,24,5
2015-12-01,14,277,1,7,0,62,7,56,104,97,631,22,8
2016-01-01,11,254,1,7,0,53,4,50,88,93,640,19,6
2016-02-01,13,264,5,7,1,50,7,44,85,82,332,30,7
2016-03-01,14,168,3,8,2,32,4,26,71,75,508,30,5
2016-04-01,10,90,1,6,0,18,1,20,48,47,278,28,10
2016-05-01,8,65,2,6,1,32,3,27,60,51,206,15,10
2016-06-01,8,123,0,5,0,15,0,15,43,36,261,19,8
2016-07-01,6,243,2,4,2,4,2,3,33,19,238,27,1
2016-08-01,9,236,1,6,1,14,3,12,71,69,643,39,5
2016-09-01,4,52,1,3,0,4,1,4,30,30,282,15,3
2016-10-01,5,29,2,4,0,4,0,4,34,38,428,18,6
2016-11-01,5,62,0,4,0,6,0,6,25,21,255,20,7
2016-12-01,6,75,1,5,1,10,0,10,26,44,241,35,4
2017-01-01,7,37,2,5,1,6,1,6,18,25,159,21,12
2017-02-01,8,60,1,5,1,14,1,12,35,32,155,23,4
2017-03-01,8,141,2,4,0,18,1,18,43,36,197,28,6
2017-04-01,5,101,1,3,0,10,0,10,39,41,319,25,6
2017-05-01,4,140,0,3,0,11,0,9,46,34,300,29,8
2017-06-01,4,88,1,2,0,5,1,5,16,19,171,21,2
2017-07-01,4,90,0,4,0,15,1,14,24,24,76,29,6
2017-08-01,7,75,1,5,0,12,0,11,36,39,426,27,7
2017-09-01,6,70,0,6,0,7,0,7,37,27,377,17,5
2017-10-01,3,28,0,2,0,3,1,2,13,7,60,24,4
2017-11-01,3,93,0,3,0,7,1,7,38,32,267,41,5
2017-12-01,5,111,1,3,1,14,0,14,29,27,180,21,12
2018-01-01,5,108,1,3,0,13,2,7,36,37,365,26,11
2018-02-01,5,192,2,2,0,6,0,8,47,33,292,24,3
2018-03-01,4,98,1,2,0,5,1,3,48,51,484,33,6
2018-04-01,4,63,0,2,0,4,0,3,18,7,52,28,7
2018-05-01,5,16,0,3,0,3,0,2,19,23,188,17,1
2018-06-01,3,14,0,3,0,3,1,1,10,7,118,15,5
2018-07-01,3,28,0,2,0,1,0,3,7,7,40,11,4
2018-08-01,10,137,3,6,3,17,1,17,68,49,362,42,13
2018-09-01,7,162,1,5,0,13,1,12,62,79,708,23,8
2018-10-01,6,197,2,3,1,6,4,2,20,18,116,19,6
2018-11-01,5,154,1,4,0,7,1,6,24,31,155,23,6
2018-12-01,3,100,0,2,0,4,1,4,33,83,649,28,6
2019-01-01,6,48,1,4,1,5,1,5,37,31,422,23,3
2019-02-01,4,34,1,3,0,2,0,2,13,12,78,20,3
2019-03-01,3,24,0,2,0,4,0,4,11,25,105,19,0
2019-04-01,3,11,0,2,0,2,0,1,7,10,59,24,1
2019-05-01,4,19,0,3,0,5,0,5,19,13,114,26,6
2019-06-01,4,13,1,3,0,3,0,3,25,21,222,18,6
2019-07-01,2,9,0,2,0,4,2,2,12,16,119,13,3
2019-08-01,2,27,0,2,0,2,0,2,8,10,48,19,2
2019-09-01,2,12,0,2,0,1,0,1,9,6,34,10,5
2019-10-01,4,19,0,2,0,3,0,3,16,11,56,10,3
2019-11-01,3,18,0,3,0,1,0,1,5,8,44,8,1
2019-12-01,3,26,1,2,0,3,0,4,20,21,97,18,4
2020-01-01,5,45,0,3,0,5,0,5,29,28,131,13,1
2020-02-01,3,8,0,2,0,1,0,1,4,5,31,10,3
2020-03-01,3,22,1,3,1,1,0,1,3,4,20,13,2
2020-04-01,2,5,0,2,0,1,0,0,5,4,9,20,3
2020-05-01,1,28,0,1,0,1,0,2,6,14,40,7,0
2020-06-01,2,9,0,2,0,1,0,1,8,9,50,12,1
2020-07-01,3,8,0,2,0,2,0,2,11,10,53,7,1
2020-08-01,5,8,0,4,0,5,1,3,13,9,32,12,2
