dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,4,75,1,2,1,0,0,0,38,0,30,0,0
2016-08-01,13,200,8,2,1,8,0,7,42,28,36,0,0
2016-09-01,11,133,1,2,0,8,0,6,40,9,63,0,0
2016-10-01,12,229,1,2,0,17,3,14,24,21,20,0,0
2016-11-01,14,124,4,2,0,17,0,12,66,14,119,3,0
2016-12-01,11,60,1,3,0,30,3,27,103,62,295,1,0
2017-01-01,14,91,2,2,0,40,5,31,124,82,319,1,0
2017-02-01,15,88,2,3,0,72,9,63,197,141,465,3,0
2017-03-01,16,121,1,3,1,125,10,114,283,274,919,0,0
2017-04-01,11,92,0,2,0,110,16,88,249,210,638,0,0
2017-05-01,17,77,5,4,1,94,22,77,206,189,537,49,20
2017-06-01,12,53,1,3,0,56,5,53,146,182,436,18,8
2017-07-01,11,63,0,3,0,69,5,63,165,146,351,7,3
2017-08-01,11,59,3,4,0,62,4,59,147,142,252,8,5
2017-09-01,8,32,1,3,0,44,1,32,100,129,303,11,5
2017-10-01,9,40,2,4,2,38,6,40,104,95,258,14,2
2017-11-01,6,29,0,2,0,53,14,29,111,85,272,16,2
2017-12-01,7,25,2,4,1,24,5,25,76,60,209,13,4
2018-01-01,5,14,0,2,0,23,5,14,71,45,217,7,2
2018-02-01,7,20,2,3,0,24,10,20,49,60,172,18,0
2018-03-01,6,26,0,3,0,36,9,26,76,84,213,13,2
2018-04-01,10,39,0,4,0,48,4,39,111,87,296,12,4
2018-05-01,11,54,2,4,0,59,2,54,116,114,312,8,5
2018-06-01,9,30,1,3,0,34,6,30,97,126,343,11,6
2018-07-01,8,24,0,3,0,24,2,24,65,67,212,4,4
2018-08-01,9,16,2,4,1,18,5,16,76,70,246,13,3
2018-09-01,9,21,2,4,0,28,9,21,72,68,198,17,3
2018-10-01,11,41,2,4,0,35,4,41,97,95,299,20,5
2018-11-01,10,25,1,4,0,37,3,25,104,123,439,10,2
2018-12-01,10,36,0,4,0,39,2,36,78,96,427,53,10
2019-01-01,12,44,1,4,0,43,3,44,101,119,515,67,13
2019-02-01,9,27,1,4,0,38,6,27,78,80,372,19,4
2019-03-01,15,46,4,6,2,65,11,46,137,112,449,221,25
2019-04-01,13,58,3,3,0,57,10,58,175,139,659,40,5
2019-05-01,12,39,3,4,0,42,5,39,138,148,702,19,6
2019-06-01,11,28,1,4,0,38,4,28,117,104,566,30,9
2019-07-01,7,15,0,3,0,27,5,15,89,97,508,21,7
2019-08-01,12,26,1,3,0,30,5,26,81,75,353,14,3
2019-09-01,9,27,1,4,0,32,7,27,80,94,294,13,9
2019-10-01,12,35,2,4,0,41,11,35,102,145,445,10,7
2019-11-01,7,18,0,3,0,24,3,18,78,67,275,22,3
2019-12-01,8,19,0,2,0,25,5,19,61,51,192,63,6
2020-01-01,11,31,3,3,0,29,7,31,73,112,334,10,7
2020-02-01,7,15,0,3,0,17,3,15,39,45,156,11,6
2020-03-01,9,20,0,3,0,25,4,20,74,65,141,18,8
2020-04-01,11,25,2,3,0,36,12,25,105,105,285,52,11
2020-05-01,9,18,1,3,0,23,2,18,70,44,290,189,23
2020-06-01,10,23,1,4,0,35,7,23,78,66,289,34,6
2020-07-01,11,23,2,3,0,35,9,23,97,71,266,25,6
2020-08-01,14,29,2,5,1,37,8,29,119,108,287,18,2
