dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,4,103,2,4,2,21,1,0,21,1,66,4,2
2015-04-01,6,48,3,4,2,22,4,23,28,27,179,41,7
2015-05-01,8,69,4,5,1,27,2,29,43,38,229,33,7
2015-06-01,10,78,5,9,5,25,9,18,44,38,420,24,7
2015-07-01,9,86,2,7,1,32,4,22,49,32,442,31,5
2015-08-01,14,84,3,9,1,28,5,32,50,53,386,24,9
2015-09-01,8,52,1,7,0,33,1,21,51,33,410,34,8
2015-10-01,11,50,6,8,3,30,11,23,52,46,348,31,9
2015-11-01,7,14,1,6,0,7,1,5,9,9,60,20,4
2015-12-01,7,41,2,6,1,20,5,17,44,34,225,27,5
2016-01-01,6,37,3,6,1,14,0,13,25,18,95,23,6
2016-02-01,7,42,1,7,0,17,1,18,23,34,235,24,4
2016-03-01,10,33,4,7,0,13,4,10,22,22,257,20,7
2016-04-01,8,34,2,7,2,16,1,15,25,25,187,15,5
2016-05-01,9,38,3,7,2,11,1,10,12,11,61,20,4
2016-06-01,6,33,1,5,0,21,1,15,29,28,202,19,2
2016-07-01,6,16,1,5,0,14,1,6,27,13,222,24,3
2016-08-01,6,23,0,6,0,8,7,11,17,28,183,24,4
2016-09-01,6,20,2,6,1,7,3,8,18,21,168,27,6
2016-10-01,6,13,2,6,2,7,1,1,20,7,68,20,5
2016-11-01,10,45,2,9,1,19,0,21,33,31,197,12,5
2016-12-01,8,13,5,7,3,11,2,5,24,15,104,26,9
2017-01-01,6,27,1,6,1,15,2,10,19,20,116,17,3
2017-02-01,7,16,3,5,1,9,2,12,16,17,129,21,3
2017-03-01,6,14,3,4,0,9,1,8,25,15,90,25,7
2017-04-01,9,92,1,8,1,32,3,30,40,66,325,25,6
2017-05-01,8,51,1,6,0,17,4,14,31,24,133,23,7
2017-06-01,9,86,4,6,1,39,3,41,44,48,180,27,7
2017-07-01,8,23,2,5,0,5,0,3,11,7,35,19,3
2017-08-01,8,63,1,8,0,26,1,27,33,34,159,29,4
2017-09-01,10,19,7,6,3,4,0,3,15,9,72,14,6
2017-10-01,8,33,3,6,1,24,3,20,37,33,217,20,4
2017-11-01,7,25,3,5,0,19,1,9,25,16,120,22,5
2017-12-01,7,28,1,7,1,9,0,14,21,20,115,22,5
2018-01-01,10,16,2,8,1,4,0,3,16,14,141,18,5
2018-02-01,4,4,1,3,0,4,0,1,13,5,65,24,5
2018-03-01,7,22,3,5,0,5,0,5,14,9,119,24,4
2018-04-01,14,118,5,10,2,30,5,28,49,45,310,14,4
2018-05-01,12,30,2,9,2,17,2,15,27,28,185,20,5
2018-06-01,11,27,3,7,1,17,5,9,26,18,129,16,2
2018-07-01,8,13,2,4,1,8,1,4,16,11,60,15,5
2018-08-01,4,13,0,3,0,2,0,6,9,13,48,12,5
2018-09-01,7,10,2,5,0,6,4,3,19,10,114,11,4
2018-10-01,5,21,1,3,0,6,0,7,13,12,106,14,2
2018-11-01,7,10,1,4,0,8,1,5,14,15,78,72,4
2018-12-01,3,5,1,2,0,4,1,3,11,6,31,27,7
2019-01-01,7,17,2,6,1,11,4,6,25,14,140,27,5
2019-02-01,6,13,1,5,0,7,0,5,15,11,49,40,11
2019-03-01,4,5,1,3,0,7,1,2,14,6,58,35,5
2019-04-01,4,11,2,2,0,3,0,7,10,14,73,41,10
2019-05-01,7,33,1,7,1,11,1,6,23,14,99,26,8
2019-06-01,5,8,1,4,0,3,1,5,9,10,67,29,5
2019-07-01,4,7,2,4,0,4,0,3,12,8,41,21,4
2019-08-01,3,11,0,3,0,5,1,5,11,11,37,31,4
2019-09-01,3,8,1,3,1,4,0,4,10,10,97,39,6
2019-10-01,8,31,5,8,3,14,12,15,21,36,240,27,11
2019-11-01,6,10,2,5,1,4,1,5,10,10,35,26,4
2019-12-01,0,0,0,0,0,3,0,0,11,5,26,29,6
2020-01-01,4,7,1,3,0,3,0,2,13,10,75,38,7
2020-02-01,6,12,1,4,0,7,2,5,13,25,147,22,6
2020-03-01,3,8,1,3,1,5,5,4,13,16,103,46,11
2020-04-01,5,17,2,4,0,6,2,7,19,21,113,43,10
2020-05-01,5,10,3,5,2,3,0,3,20,17,154,38,9
2020-06-01,6,13,2,6,1,4,0,5,17,19,121,41,11
2020-07-01,4,13,2,4,0,7,0,5,16,14,78,37,5
2020-08-01,5,12,3,4,1,6,3,5,15,18,117,43,11
