dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,22,92,18,16,13,20,6,8,209,69,774,96,19
2015-05-01,8,105,3,3,0,32,17,8,176,145,696,26,15
2015-06-01,7,61,2,4,1,6,3,1,102,81,463,28,4
2015-07-01,5,61,0,3,0,9,4,1,106,73,347,18,11
2015-08-01,6,55,2,4,1,8,11,3,76,72,229,30,9
2015-09-01,5,37,0,3,0,4,6,2,72,57,229,16,13
2015-10-01,6,61,1,3,0,4,1,1,90,62,216,25,14
2015-11-01,6,48,2,4,1,3,0,1,93,41,198,20,4
2015-12-01,3,42,0,3,0,1,3,1,62,46,198,33,9
2016-01-01,7,74,2,5,2,14,5,4,99,60,344,13,8
2016-02-01,6,70,3,5,2,5,6,1,99,71,337,23,5
2016-03-01,12,75,8,7,3,23,10,13,102,88,370,19,13
2016-04-01,7,118,2,4,1,5,4,4,78,75,372,14,11
2016-05-01,13,65,8,6,2,10,0,3,106,66,496,22,11
2016-06-01,6,47,2,5,1,10,2,3,95,83,471,17,11
2016-07-01,10,51,4,7,2,13,3,12,79,60,319,15,6
2016-08-01,7,30,3,6,2,13,8,7,87,65,333,9,12
2016-09-01,7,52,4,5,1,15,4,8,70,57,269,13,6
2016-10-01,5,36,2,5,2,4,3,3,64,39,328,17,9
2016-11-01,6,48,2,5,1,3,3,5,70,52,303,16,4
2016-12-01,9,47,5,5,1,13,2,7,57,38,250,14,9
2017-01-01,8,37,3,4,0,6,1,6,49,65,286,15,9
2017-02-01,9,63,2,7,1,12,6,12,84,95,517,16,8
2017-03-01,11,72,4,8,3,16,2,11,101,91,548,20,9
2017-04-01,13,75,5,9,1,25,3,18,94,88,429,21,9
2017-05-01,9,71,1,6,1,20,5,24,77,101,538,20,8
2017-06-01,15,77,8,9,2,21,5,14,89,72,426,15,13
2017-07-01,15,130,6,11,4,19,8,17,102,113,470,27,14
2017-08-01,10,82,1,6,1,14,1,10,92,69,333,14,14
2017-09-01,8,66,1,6,0,16,4,9,82,84,420,17,5
2017-10-01,15,172,7,10,5,34,5,35,126,186,1253,18,10
2017-11-01,13,124,5,9,2,54,7,17,141,91,639,13,11
2017-12-01,11,145,4,8,3,18,5,31,90,123,838,18,7
2018-01-01,16,141,7,10,3,34,5,14,143,90,561,13,10
2018-02-01,10,107,1,6,0,31,6,18,115,124,628,25,4
2018-03-01,13,201,2,7,1,34,5,50,166,155,963,26,7
2018-04-01,7,71,1,4,1,17,6,13,80,56,450,21,12
2018-05-01,17,102,6,9,4,36,12,19,122,96,565,12,9
2018-06-01,10,83,2,7,1,18,8,16,86,85,485,14,5
2018-07-01,11,86,2,7,1,32,9,27,85,90,637,17,10
2018-08-01,13,120,4,9,1,18,10,13,90,97,774,8,11
2018-09-01,10,130,2,9,1,29,2,26,89,92,624,11,4
2018-10-01,13,124,1,10,0,19,5,18,88,95,490,10,11
2018-11-01,11,157,4,8,2,38,5,30,117,112,753,20,9
2018-12-01,7,37,2,6,2,16,3,9,46,48,454,11,9
2019-01-01,11,181,2,7,0,42,10,35,141,158,956,44,7
2019-02-01,14,94,5,7,2,29,1,15,105,68,457,25,7
2019-03-01,18,227,2,9,1,46,8,45,114,166,692,15,7
2019-04-01,8,79,1,5,0,20,5,20,64,69,473,21,8
2019-05-01,14,89,7,7,3,30,4,22,78,70,405,15,19
2019-06-01,12,110,4,7,1,46,5,37,101,122,754,27,7
2019-07-01,14,132,3,7,0,32,4,31,89,106,866,24,6
2019-08-01,15,52,5,7,2,27,1,25,63,72,476,14,9
2019-09-01,11,96,2,5,0,56,4,50,102,143,885,52,6
2019-10-01,9,114,1,4,0,39,5,41,89,127,835,15,9
2019-11-01,11,257,3,7,2,46,6,38,94,126,894,11,8
2019-12-01,12,106,5,8,4,36,3,27,100,88,579,15,6
2020-01-01,9,72,0,6,0,36,7,31,87,96,696,20,11
2020-02-01,7,29,1,4,0,20,2,17,49,44,371,10,10
2020-03-01,16,86,6,6,0,50,6,46,116,130,928,13,10
2020-04-01,15,108,6,7,1,47,4,45,111,117,1030,14,12
2020-05-01,13,128,3,6,1,58,4,54,116,140,977,12,4
2020-06-01,15,157,3,6,0,76,6,75,126,181,931,12,10
2020-07-01,9,80,1,5,1,52,2,51,91,143,766,7,5
2020-08-01,7,93,1,4,0,52,1,46,85,96,635,15,5
