dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,4,182,4,2,2,0,0,0,18,18,14,31,2
2016-02-01,4,252,1,2,0,2,1,1,50,34,81,78,12
2016-03-01,7,331,3,5,3,6,3,3,87,81,232,84,14
2016-04-01,6,216,3,3,1,7,0,5,134,119,591,98,22
2016-05-01,10,174,7,6,4,19,7,9,150,110,526,96,28
2016-06-01,5,40,2,3,0,12,3,3,98,43,467,80,25
2016-07-01,9,82,5,4,2,19,8,5,147,58,543,79,23
2016-08-01,8,107,4,6,3,15,9,4,135,79,573,96,20
2016-09-01,12,137,9,7,3,25,6,7,183,94,660,118,43
2016-10-01,7,137,3,4,1,18,29,9,166,117,786,120,36
2016-11-01,19,224,16,9,6,52,16,18,299,242,1338,164,62
2016-12-01,28,242,20,15,12,53,28,27,246,157,985,148,42
2017-01-01,24,165,15,14,8,43,22,21,248,139,958,136,48
2017-02-01,16,120,8,11,5,37,13,13,219,124,837,163,52
2017-03-01,19,208,11,10,5,38,38,23,262,249,1555,185,66
2017-04-01,15,103,6,9,4,36,6,10,213,118,946,153,53
2017-05-01,23,211,13,13,7,58,34,32,290,482,2094,137,62
2017-06-01,22,360,11,7,3,57,45,10,323,685,2572,150,63
2017-07-01,21,126,13,11,5,51,29,15,271,136,862,333,106
2017-08-01,22,165,16,14,9,51,40,25,264,253,1166,215,84
2017-09-01,18,80,12,9,4,54,10,9,262,96,811,156,85
2017-10-01,29,245,21,18,13,49,54,37,261,454,1560,164,72
2017-11-01,18,115,9,9,5,34,12,13,260,164,963,180,68
2017-12-01,16,110,6,8,2,28,5,6,163,133,534,116,55
2018-01-01,18,235,10,11,7,33,48,21,287,383,1846,133,81
2018-02-01,8,16,4,6,2,21,1,0,196,22,543,128,71
2018-03-01,20,212,12,11,7,40,39,24,229,290,1249,127,82
2018-04-01,19,117,15,12,9,31,11,17,200,184,745,117,66
2018-05-01,10,109,7,6,3,24,8,6,166,70,501,100,78
2018-06-01,20,101,13,7,3,31,6,4,165,114,540,110,51
2018-07-01,11,175,6,6,3,34,41,16,203,157,677,135,72
2018-08-01,14,223,8,4,2,34,28,12,240,243,836,134,77
2018-09-01,13,94,8,6,3,33,11,10,162,90,365,91,73
2018-10-01,15,207,6,7,3,48,34,17,206,215,622,129,53
2018-11-01,12,138,5,5,3,24,25,12,131,127,517,100,54
2018-12-01,10,109,5,6,3,30,12,10,119,155,460,101,47
2019-01-01,14,142,5,4,0,43,19,29,137,194,530,105,62
2019-02-01,16,91,10,10,5,31,14,19,116,98,375,69,59
2019-03-01,11,94,5,7,5,34,7,3,167,132,570,128,49
2019-04-01,16,99,9,7,3,41,13,21,139,114,382,88,66
2019-05-01,10,72,6,3,2,30,14,14,141,93,379,77,71
2019-06-01,7,76,3,2,1,20,16,10,111,83,279,81,55
2019-07-01,13,127,5,6,2,47,23,17,138,147,447,73,64
2019-08-01,9,52,4,5,2,27,2,3,105,39,260,65,51
2019-09-01,10,43,4,4,2,17,6,5,73,75,254,67,55
2019-10-01,12,166,5,3,1,28,17,18,108,128,372,63,63
2019-11-01,7,96,3,3,1,12,2,0,82,28,150,67,55
2019-12-01,10,56,5,4,2,12,5,8,54,36,108,58,50
2020-01-01,14,105,8,5,1,19,6,10,80,84,197,60,53
2020-02-01,9,85,2,4,0,10,5,2,81,87,289,58,39
2020-03-01,6,212,2,1,0,8,20,14,111,502,1008,61,56
2020-04-01,6,108,1,1,0,8,20,6,107,148,308,74,71
2020-05-01,5,142,0,2,0,5,1,0,96,48,287,68,49
2020-06-01,8,62,5,3,2,14,5,6,83,57,198,64,67
2020-07-01,5,397,2,3,0,9,3,2,98,24,97,80,43
2020-08-01,5,181,2,3,1,13,7,3,127,98,149,69,41
